[mkg-runner] GPU grid lookup; CPU threads=2; decoder=softms; SoftMS active
[MKG-ablation:window_5x5] epoch=040/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.722213 train_mle=1.799m best=0.575677 bad=2/8
[MKG-ablation:window_5x5] epoch=041/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.518387 train_mle=1.436m best=0.518387 bad=0/8
[MKG-ablation:window_5x5] epoch=042/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.571531 train_mle=1.523m best=0.518387 bad=1/8
[MKG-ablation:window_5x5] epoch=043/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.495987 train_mle=1.390m best=0.495987 bad=0/8
[MKG-ablation:window_5x5] epoch=044/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.450063 train_mle=1.306m best=0.450063 bad=0/8
[MKG-ablation:window_5x5] epoch=045/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.519122 train_mle=1.424m best=0.450063 bad=1/8
[MKG-ablation:window_5x5] epoch=046/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.397172 train_mle=1.199m best=0.397172 bad=0/8
[MKG-ablation:window_5x5] epoch=047/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.373518 train_mle=1.165m best=0.373518 bad=0/8
[MKG-ablation:window_5x5] epoch=048/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.454280 train_mle=1.312m best=0.373518 bad=1/8
[MKG-ablation:window_5x5] epoch=049/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.420851 train_mle=1.249m best=0.373518 bad=2/8
[MKG-ablation:window_5x5] epoch=050/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.399418 train_mle=1.210m best=0.373518 bad=3/8
[MKG-ablation:window_5x5] epoch=051/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.385294 train_mle=1.184m best=0.373518 bad=4/8
[MKG-ablation:window_5x5] epoch=052/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.379775 train_mle=1.162m best=0.373518 bad=5/8
[MKG-ablation:window_5x5] epoch=053/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.397770 train_mle=1.202m best=0.373518 bad=6/8
[MKG-ablation:window_5x5] epoch=054/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.467576 train_mle=1.329m best=0.373518 bad=7/8
[MKG-ablation:window_5x5] epoch=055/60 pipeline=MKG grid=5x5 decoder=softms gru=full train_loss=0.426891 train_mle=1.258m best=0.373518 bad=8/8
[MKG-ablation:window_5x5] early-stop at epoch 55
{"MLE_m": 5.067096382696982, "MedLE_m": 4.392444027825702, "P90_m": 9.46498177657119, "P95_m": 11.242121607713553, "P99_m": 14.977157712434655, "CVaR90_m": 11.811417860201992, "LSR@5_pct": 56.89806678383128, "LSR@10_pct": 91.91564147627417, "LSR@15_pct": 99.07732864674868, "LSR@20_pct": 100.0, "Route": "route_B", "VisualMLE_m": 4.648498266533571, "Latency_ms_per_frame": 6.734244140059515, "FPS": 148.49476484693682, "PeakCUDAAllocated_MB": 118.46337890625, "Jitter_m": 0.0, "CandidateCount": 25, "CSV": "/yh/study/uav-sat/v36_byTeacher/output/mobilenet_v3_small/mkg_final_ablation_suite/mkg_final_20260901_155118/window_5x5/jitter_0m/route_B_frames.csv"}
{"MLE_m": 4.945653650696551, "MedLE_m": 3.9390998637044055, "P90_m": 10.54799144603756, "P95_m": 12.928734633963124, "P99_m": 15.070416690638092, "CVaR90_m": 13.027511957341488, "LSR@5_pct": 63.910969793322735, "LSR@10_pct": 88.95071542130366, "LSR@15_pct": 98.80763116057234, "LSR@20_pct": 100.0, "Route": "route_C", "VisualMLE_m": 4.035783183456104, "Latency_ms_per_frame": 6.955580744253022, "FPS": 143.76944740757122, "PeakCUDAAllocated_MB": 118.46337890625, "Jitter_m": 0.0, "CandidateCount": 25, "CSV": "/yh/study/uav-sat/v36_byTeacher/output/mobilenet_v3_small/mkg_final_ablation_suite/mkg_final_20260901_155118/window_5x5/jitter_0m/route_C_frames.csv"}
