[mkg-runner] GPU grid lookup; CPU threads=2; decoder=softms; SoftMS active
[MKG-ablation:component_mg] epoch=041/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.934793 train_mle=2.172m best=0.934793 bad=0/8
[MKG-ablation:component_mg] epoch=042/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.944689 train_mle=2.161m best=0.934793 bad=1/8
[MKG-ablation:component_mg] epoch=043/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.905808 train_mle=2.117m best=0.905808 bad=0/8
[MKG-ablation:component_mg] epoch=044/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=1.059970 train_mle=2.384m best=0.905808 bad=1/8
[MKG-ablation:component_mg] epoch=045/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.899778 train_mle=2.119m best=0.899778 bad=0/8
[MKG-ablation:component_mg] epoch=046/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.924078 train_mle=2.158m best=0.899778 bad=1/8
[MKG-ablation:component_mg] epoch=047/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.802639 train_mle=1.949m best=0.802639 bad=0/8
[MKG-ablation:component_mg] epoch=048/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.790647 train_mle=1.926m best=0.790647 bad=0/8
[MKG-ablation:component_mg] epoch=049/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.752223 train_mle=1.851m best=0.752223 bad=0/8
[MKG-ablation:component_mg] epoch=050/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.744450 train_mle=1.845m best=0.744450 bad=0/8
[MKG-ablation:component_mg] epoch=051/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.662351 train_mle=1.691m best=0.662351 bad=0/8
[MKG-ablation:component_mg] epoch=052/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.698134 train_mle=1.752m best=0.662351 bad=1/8
[MKG-ablation:component_mg] epoch=053/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.766484 train_mle=1.866m best=0.662351 bad=2/8
[MKG-ablation:component_mg] epoch=054/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.655608 train_mle=1.680m best=0.655608 bad=0/8
[MKG-ablation:component_mg] epoch=055/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.761079 train_mle=1.847m best=0.655608 bad=1/8
[MKG-ablation:component_mg] epoch=056/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.610817 train_mle=1.592m best=0.610817 bad=0/8
[MKG-ablation:component_mg] epoch=057/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.613929 train_mle=1.600m best=0.610817 bad=1/8
[MKG-ablation:component_mg] epoch=058/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.682859 train_mle=1.711m best=0.610817 bad=2/8
[MKG-ablation:component_mg] epoch=059/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.805313 train_mle=1.928m best=0.610817 bad=3/8
[MKG-ablation:component_mg] epoch=060/60 pipeline=MG grid=6x6 decoder=softms gru=full train_loss=0.692044 train_mle=1.730m best=0.610817 bad=4/8
{"MLE_m": 6.955438557150339, "MedLE_m": 6.222547203702883, "P90_m": 13.176321979093782, "P95_m": 15.236594626279052, "P99_m": 18.61868013128882, "CVaR90_m": 15.683561279266765, "LSR@5_pct": 39.235500878734626, "LSR@10_pct": 77.50439367311071, "LSR@15_pct": 94.59578207381371, "LSR@20_pct": 99.78031634446397, "Route": "route_B", "VisualMLE_m": 6.550177711806255, "Latency_ms_per_frame": 8.690591791189812, "FPS": 115.06696252995816, "PeakCUDAAllocated_MB": 118.54150390625, "Jitter_m": 0.0, "CandidateCount": 36, "CSV": "/yh/study/uav-sat/v36_byTeacher/output/mobilenet_v3_small/mkg_final_ablation_suite/mkg_final_20260901_155118/component_mg/jitter_0m/route_B_frames.csv"}
{"MLE_m": 6.07319175925879, "MedLE_m": 5.102340835487559, "P90_m": 12.179587879320295, "P95_m": 13.616614257256762, "P99_m": 15.56277800290697, "CVaR90_m": 13.84842190426103, "LSR@5_pct": 49.2845786963434, "LSR@10_pct": 80.28616852146264, "LSR@15_pct": 97.8537360890302, "LSR@20_pct": 100.0, "Route": "route_C", "VisualMLE_m": 6.0345389904671265, "Latency_ms_per_frame": 8.101989949976796, "FPS": 123.42646759304658, "PeakCUDAAllocated_MB": 118.54150390625, "Jitter_m": 0.0, "CandidateCount": 36, "CSV": "/yh/study/uav-sat/v36_byTeacher/output/mobilenet_v3_small/mkg_final_ablation_suite/mkg_final_20260901_155118/component_mg/jitter_0m/route_C_frames.csv"}
