pair_current_index,pair_next_index,current_frame_id,next_frame_id,reference_current_x,reference_current_y,search_center_x,search_center_y,search_center_error_m,final_ms_x,final_ms_y,final_error_m,reference_next_x,reference_next_y,provisional_next_x,provisional_next_y,provisional_next_error_m,ms_candidate_count,kalman_current_xy_x,kalman_current_xy_y,gru_next_xy_x,gru_next_xy_y
12,13,12,13,-84.01985931396484,5.2652668952941895,-84.01985931396484,5.2652668952941895,0.0,-83.02679443359375,5.197080612182617,0.9954030469267342,-87.32689666748047,5.565974712371826,-89.49069213867188,7.011425018310547,2.60217936124449,36,-85.55926513671875,5.5590081214904785,-89.49069213867188,7.011425018310547
13,14,13,14,-87.32689666748047,5.565974712371826,-87.32689666748047,5.565974712371826,0.0,-88.45319366455078,5.225813865661621,1.1765433809444543,-90.52931213378906,5.903904438018799,-92.01422119140625,8.004650115966797,2.57256434570853,36,-88.24958801269531,5.290661334991455,-92.01422119140625,8.004650115966797
14,15,14,15,-90.52931213378906,5.903904438018799,-90.52931213378906,5.903904438018799,0.0,-87.89710235595703,3.8179931640625,3.358504750232243,-93.73101806640625,6.241759300231934,-92.90177917480469,5.187647342681885,1.3411894565625633,36,-89.55512237548828,4.518959999084473,-92.90177917480469,5.187647342681885
15,16,15,16,-93.73101806640625,6.241759300231934,-93.73101806640625,6.241759300231934,0.0,-92.50254821777344,4.928804397583008,1.798051374513469,-97.24320983886719,6.612377643585205,-96.28697967529297,4.740822792053223,2.1016882946864595,36,-92.07659912109375,4.489381790161133,-96.28697967529297,4.740822792053223
16,17,16,17,-97.24320983886719,6.612377643585205,-97.24320983886719,6.612377643585205,0.0,-95.82901763916016,5.159788608551025,2.027302267155478,-100.48795318603516,6.946656227111816,-100.27999877929688,6.112194538116455,0.8599833403519289,36,-94.95089721679688,4.611348628997803,-100.27999877929688,6.112194538116455
17,18,17,18,-100.48795318603516,6.946656227111816,-100.48795318603516,6.946656227111816,0.0,-96.0688705444336,5.30503511428833,4.714150111247208,-103.73233032226562,7.28089714050293,-102.72679138183594,7.50685453414917,1.0306140424348296,36,-96.86669921875,4.81198263168335,-102.72679138183594,7.50685453414917
18,19,18,19,-103.73233032226562,7.28089714050293,-103.73233032226562,7.28089714050293,0.0,-99.83624267578125,4.200925827026367,4.96645972911557,-107.29228973388672,7.647648811340332,-104.94575500488281,7.953385353088379,2.3663685400591117,36,-99.42900085449219,4.511242866516113,-104.94575500488281,7.953385353088379
19,20,19,20,-107.29228973388672,7.647648811340332,-107.29228973388672,7.647648811340332,0.0,-108.90025329589844,4.2247443199157715,3.78177497667059,-110.61548614501953,7.9523024559021,-111.80809783935547,9.742294311523438,2.1509052737527883,36,-105.21378326416016,4.326623439788818,-111.80809783935547,9.742294311523438
20,21,20,21,-110.61548614501953,7.9523024559021,-110.61548614501953,7.9523024559021,0.0,-112.25946044921875,3.3430213928222656,4.893681991234582,-113.93445587158203,8.25656795501709,-117.00778198242188,9.66917610168457,3.3824244499472997,36,-110.52745056152344,3.871302366256714,-117.00778198242188,9.66917610168457
21,22,21,22,-113.93445587158203,8.25656795501709,-113.93445587158203,8.25656795501709,0.0,-115.35295104980469,3.897193431854248,4.584351077725415,-117.24945068359375,8.560468673706055,-120.88350677490234,9.817989349365234,3.845480714356453,36,-114.82522583007812,3.7449612617492676,-120.88350677490234,9.817989349365234
22,23,22,23,-117.24945068359375,8.560468673706055,-117.24945068359375,8.560468673706055,0.0,-117.55745697021484,4.316703796386719,4.254927520718457,-120.81004333496094,8.859625816345215,-123.63201141357422,10.028301239013672,3.0543912781864786,36,-118.05901336669922,3.858147144317627,-123.63201141357422,10.028301239013672
23,24,23,24,-120.81004333496094,8.859625816345215,-120.81004333496094,8.859625816345215,0.0,-119.14064025878906,4.784757614135742,4.4035732645330175,-124.06947326660156,9.133479118347168,-126.018310546875,9.758613586425781,2.0466459997184416,36,-120.4798355102539,4.153512001037598,-126.018310546875,9.758613586425781
24,25,24,25,-124.06947326660156,9.133479118347168,-124.06947326660156,9.133479118347168,0.0,-120.57709503173828,5.42210054397583,5.096178632823754,-127.31895446777344,9.40649700164795,-127.5884017944336,10.301937103271484,0.9351015118370154,36,-122.59295654296875,4.6553802490234375,-127.5884017944336,10.301937103271484
25,26,25,26,-127.31895446777344,9.40649700164795,-127.31895446777344,9.40649700164795,0.0,-127.98928833007812,6.5368242263793945,2.9469254018501805,-130.83126831054688,9.741641998291016,-129.64117431640625,9.853072166442871,1.1952992919197838,36,-126.26702880859375,5.495333194732666,-129.64117431640625,9.853072166442871
26,27,26,27,-130.83126831054688,9.741641998291016,-130.83126831054688,9.741641998291016,0.0,-132.18711853027344,6.369978904724121,3.634066845127322,-134.03652954101562,10.047489166259766,-133.9125213623047,10.300542831420898,0.2818052267767341,36,-130.34739685058594,6.014712810516357,-133.9125213623047,10.300542831420898
27,28,27,28,-134.03652954101562,10.047489166259766,-134.03652954101562,10.047489166259766,0.0,-129.80267333984375,5.650232791900635,6.10421182086955,-137.2352752685547,10.352712631225586,-135.9515838623047,10.634038925170898,1.314156805767526,36,-132.3539276123047,6.059891223907471,-135.9515838623047,10.634038925170898
28,29,28,29,-137.2352752685547,10.352712631225586,-137.2352752685547,10.352712631225586,0.0,-139.03201293945312,6.770140647888184,4.0078782758237095,-140.4192352294922,10.665609359741211,-140.00576782226562,10.960786819458008,0.5080206979676294,36,-136.91458129882812,6.500431537628174,-140.00576782226562,10.960786819458008
29,30,29,30,-140.4192352294922,10.665609359741211,-140.4192352294922,10.665609359741211,0.0,-143.71127319335938,7.117038249969482,4.840441186157453,-143.60858154296875,10.979033470153809,-145.19534301757812,11.46270751953125,1.6588407287457376,36,-141.70828247070312,6.931768417358398,-145.19534301757812,11.46270751953125
30,31,30,31,-143.60858154296875,10.979033470153809,-143.60858154296875,10.979033470153809,0.0,-143.79652404785156,7.19068717956543,3.7930054050259874,-147.09031677246094,11.321191787719727,-147.45986938476562,10.40353012084961,0.9892785594078447,36,-144.78302001953125,7.236573696136475,-147.45986938476562,10.40353012084961
31,32,31,32,-147.09031677246094,11.321191787719727,-147.09031677246094,11.321191787719727,0.0,-148.689208984375,7.425718307495117,4.2108395766702715,-150.38534545898438,11.621426582336426,-150.2500457763672,10.430191993713379,1.1988935937973109,36,-148.49517822265625,7.507931232452393,-150.2500457763672,10.430191993713379
32,33,32,33,-150.38534545898438,11.621426582336426,-150.38534545898438,11.621426582336426,0.0,-153.36917114257812,7.573197364807129,5.029053142265607,-153.68882751464844,11.922432899475098,-154.3190155029297,10.694341659545898,1.3803423467259153,36,-152.6196746826172,7.721909999847412,-154.3190155029297,10.694341659545898
33,34,33,34,-153.68882751464844,11.922432899475098,-153.68882751464844,11.922432899475098,0.0,-157.9677734375,7.437360763549805,6.198810391933398,-156.9862060546875,12.222880363464355,-158.97152709960938,11.00423812866211,2.3295039274174876,36,-157.02459716796875,7.781269073486328,-158.97152709960938,11.00423812866211
34,35,34,35,-156.9862060546875,12.222880363464355,-156.9862060546875,12.222880363464355,0.0,-157.99325561523438,7.426774501800537,4.900691813783406,-161.97410583496094,12.701958656311035,-161.56817626953125,11.549860954284668,1.221518696993366,36,-159.72119140625,7.778417110443115,-161.56817626953125,11.549860954284668
35,36,35,36,-161.97410583496094,12.701958656311035,-161.97410583496094,12.701958656311035,0.0,-161.8661651611328,12.129648208618164,0.5824005817346719,-166.95358276367188,13.180227279663086,-165.25982666015625,13.630626678466797,1.7526178581308525,36,-162.75558471679688,9.534186363220215,-165.25982666015625,13.630626678466797
36,37,36,37,-166.95358276367188,13.180227279663086,-166.95358276367188,13.180227279663086,0.0,-167.194091796875,11.910478591918945,1.292325936085889,-170.4643096923828,13.542064666748047,-168.38015747070312,14.647180557250977,2.359019206063075,36,-166.6023712158203,10.808347702026367,-168.38015747070312,14.647180557250977
37,38,37,38,-170.4643096923828,13.542064666748047,-170.4643096923828,13.542064666748047,0.0,-172.6991729736328,11.863723754882812,2.7948957229778975,-173.6732940673828,13.872800827026367,-172.86705017089844,15.543123245239258,1.8547253708845595,36,-171.16835021972656,11.664566993713379,-172.86705017089844,15.543123245239258
38,39,38,39,-173.6732940673828,13.872800827026367,-173.6732940673828,13.872800827026367,0.0,-177.55889892578125,12.10842227935791,4.267429762173268,-176.89031982421875,14.204366683959961,-177.79571533203125,16.374448776245117,2.351382000616611,36,-176.03807067871094,12.29803466796875,-177.79571533203125,16.374448776245117
39,40,39,40,-176.89031982421875,14.204366683959961,-176.89031982421875,14.204366683959961,0.0,-181.65118408203125,12.067343711853027,5.218495536515224,-180.07899475097656,14.495210647583008,-182.1728973388672,16.56885528564453,2.9469357191049084,36,-180.74050903320312,12.640473365783691,-182.1728973388672,16.56885528564453
40,41,40,41,-180.07899475097656,14.495210647583008,-180.07899475097656,14.495210647583008,0.0,-181.76336669921875,12.16914176940918,2.871881837059811,-183.2713623046875,14.786392211914062,-183.36087036132812,14.679435729980469,0.13946820867564227,36,-183.65023803710938,12.835801124572754,-183.36087036132812,14.679435729980469
41,42,41,42,-183.2713623046875,14.786392211914062,-183.2713623046875,14.786392211914062,0.0,-185.98605346679688,12.399600982666016,3.614736570989669,-186.7760009765625,15.10605525970459,-185.47897338867188,14.701802253723145,1.3585658087094667,36,-186.92022705078125,12.981127738952637,-185.47897338867188,14.701802253723145
42,43,42,43,-186.7760009765625,15.10605525970459,-186.7760009765625,15.10605525970459,0.0,-190.37680053710938,12.525959014892578,4.42974650603481,-190.19520568847656,15.40483283996582,-189.05331420898438,15.236604690551758,1.154216990514408,36,-190.55343627929688,13.063668251037598,-189.05331420898438,15.236604690551758
43,44,43,44,-190.19520568847656,15.40483283996582,-190.19520568847656,15.40483283996582,0.0,-190.13711547851562,12.402364730834961,3.0030300063171436,-193.5978240966797,15.702159881591797,-191.73175048828125,15.631155967712402,1.867423965720521,36,-192.6286163330078,13.01287841796875,-191.73175048828125,15.631155967712402
44,45,44,45,-193.5978240966797,15.702159881591797,-193.5978240966797,15.702159881591797,0.0,-195.51419067382812,12.581847190856934,3.661804493138958,-196.71273803710938,15.974347114562988,-194.96151733398438,15.612215995788574,1.788270924171846,36,-195.78152465820312,12.999713897705078,-194.96151733398438,15.612215995788574
45,46,45,46,-196.71273803710938,15.974347114562988,-196.71273803710938,15.974347114562988,0.0,-200.8094024658203,12.616888046264648,5.296715098696953,-199.96063232421875,16.28047752380371,-198.8017578125,15.899057388305664,1.2200292839414633,36,-199.7639923095703,12.966032028198242,-198.8017578125,15.899057388305664
46,47,46,47,-199.96063232421875,16.28047752380371,-199.96063232421875,16.28047752380371,0.0,-200.97105407714844,12.684890747070312,3.7348622983737396,-203.51315307617188,16.61532211303711,-201.50486755371094,15.892768859863281,2.1343134594989284,36,-202.31629943847656,12.940265655517578,-201.50486755371094,15.892768859863281
47,48,47,48,-203.51315307617188,16.61532211303711,-203.51315307617188,16.61532211303711,0.0,-205.95892333984375,12.587655067443848,4.712100806733611,-206.75160217285156,16.920562744140625,-205.12770080566406,15.883771896362305,1.9266527742149906,36,-205.71803283691406,12.862553596496582,-205.12770080566406,15.883771896362305
48,49,48,49,-206.75160217285156,16.920562744140625,-206.75160217285156,16.920562744140625,0.0,-210.5332489013672,12.530745506286621,5.794078646433191,-210.1930389404297,17.253925323486328,-209.985107421875,16.08391571044922,1.1883425478403542,36,-209.62965393066406,12.764966011047363,-209.985107421875,16.08391571044922
49,50,49,50,-210.1930389404297,17.253925323486328,-210.1930389404297,17.253925323486328,0.0,-213.7076416015625,12.276460647583008,6.09324104771075,-213.3181915283203,17.556650161743164,-213.54957580566406,15.853984832763672,1.7183154268965672,36,-213.33721923828125,12.58266830444336,-213.54957580566406,15.853984832763672
50,51,50,51,-213.3181915283203,17.556650161743164,-213.3181915283203,17.556650161743164,0.0,-213.1103973388672,17.139291763305664,0.4662257585299167,-216.74961853027344,17.889041900634766,-215.58688354492188,17.91197967529297,1.1629612150311672,36,-215.2322540283203,14.427270889282227,-215.58688354492188,17.91197967529297
51,52,51,52,-216.74961853027344,17.889041900634766,-216.74961853027344,17.889041900634766,0.0,-216.69357299804688,16.890899658203125,0.999714478143146,-219.85296630859375,18.18168067932129,-218.0855712890625,19.115758895874023,1.999046590177979,36,-217.6217041015625,15.672260284423828,-218.0855712890625,19.115758895874023
52,53,52,53,-219.85296630859375,18.18168067932129,-219.85296630859375,18.18168067932129,0.0,-220.43331909179688,16.7993221282959,1.4992413136532194,-223.26548767089844,18.50347328186035,-220.7684326171875,19.998064041137695,2.9101693213592505,36,-220.50527954101562,16.489973068237305,-220.7684326171875,19.998064041137695
53,54,53,54,-223.26548767089844,18.50347328186035,-223.26548767089844,18.50347328186035,0.0,-220.5812530517578,16.81100082397461,3.173259918647513,-226.6659393310547,18.824125289916992,-222.6098175048828,20.59382438659668,4.4253767253801986,36,-222.24476623535156,17.014589309692383,-222.6098175048828,20.59382438659668
54,55,54,55,-226.6659393310547,18.824125289916992,-226.6659393310547,18.824125289916992,0.0,-224.404296875,16.961790084838867,2.9297301949330525,-229.90402221679688,19.161306381225586,-224.64669799804688,20.79340171813965,5.504833615090644,36,-224.6817626953125,17.37017250061035,-224.64669799804688,20.79340171813965
55,56,55,56,-229.90402221679688,19.161306381225586,-229.90402221679688,19.161306381225586,0.0,-229.5116729736328,18.09854507446289,1.1328722451200597,-233.15289306640625,19.499608993530273,-227.64109802246094,21.17437171936035,5.760617570563932,36,-228.13720703125,17.998367309570312,-227.64109802246094,21.17437171936035
56,57,56,57,-233.15289306640625,19.499608993530273,-233.15289306640625,19.499608993530273,0.0,-228.3546142578125,17.05589485168457,5.384720822109215,-236.7150115966797,19.870529174804688,-229.69891357421875,21.859355926513672,7.292534765710315,36,-229.89854431152344,17.977628707885742,-229.69891357421875,21.859355926513672
57,58,57,58,-236.7150115966797,19.870529174804688,-236.7150115966797,19.870529174804688,0.0,-233.08917236328125,18.479625701904297,3.88346785970706,-241.94894409179688,20.40029525756836,-232.98568725585938,22.501750946044922,9.206307029293061,36,-232.7156524658203,18.439838409423828,-232.98568725585938,22.501750946044922
58,59,58,59,-241.94894409179688,20.40029525756836,-241.94894409179688,20.40029525756836,0.0,-240.3547821044922,20.73047637939453,1.6279963190921594,-246.72323608398438,20.88353729248047,-240.7711944580078,24.448774337768555,6.93813481466397,36,-237.53961181640625,19.567182540893555,-240.7711944580078,24.448774337768555
59,60,59,60,-246.72323608398438,20.88353729248047,-246.72323608398438,20.88353729248047,0.0,-244.84300231933594,18.892742156982422,2.7383469979618584,-250.1058349609375,21.189523696899414,-248.36964416503906,27.016735076904297,6.080357797615274,36,-242.36004638671875,19.678308486938477,-248.36964416503906,27.016735076904297
60,61,60,61,-250.1058349609375,21.189523696899414,-250.1058349609375,21.189523696899414,0.0,-249.0644073486328,16.08112335205078,5.213475381635582,-253.18551635742188,21.468109130859375,-252.7091827392578,26.3387508392334,4.89387825422189,36,-247.19064331054688,18.57158088684082,-252.7091827392578,26.3387508392334
61,62,61,62,-253.18551635742188,21.468109130859375,-253.18551635742188,21.468109130859375,0.0,-252.9582977294922,15.300395965576172,6.171897114671144,-256.56805419921875,21.774091720581055,-256.7860412597656,25.26193618774414,3.4946498230417906,36,-251.8063201904297,17.29726791381836,-256.7860412597656,25.26193618774414
62,63,62,63,-256.56805419921875,21.774091720581055,-256.56805419921875,21.774091720581055,0.0,-252.6568603515625,14.5867919921875,8.182586064302054,-259.78179931640625,22.02918815612793,-259.0664367675781,24.709693908691406,2.7743205773291164,36,-254.49105834960938,16.032251358032227,-259.0664367675781,24.709693908691406
63,64,63,64,-259.78179931640625,22.02918815612793,-259.78179931640625,22.02918815612793,0.0,-257.9659118652344,14.52143383026123,7.724236030371782,-262.99114990234375,22.283937454223633,-262.3241271972656,23.305753707885742,1.220257245558414,36,-258.1026611328125,15.169257164001465,-262.3241271972656,23.305753707885742
64,65,64,65,-262.99114990234375,22.283937454223633,-262.99114990234375,22.283937454223633,0.0,-260.74444580078125,13.94555377960205,8.635758312109798,-266.5252380371094,22.56446075439453,-267.0216064453125,21.292037963867188,1.3658116101847635,36,-261.2852783203125,14.343807220458984,-267.0216064453125,21.292037963867188
65,66,65,66,-266.5252380371094,22.56446075439453,-266.5252380371094,22.56446075439453,0.0,-261.0099182128906,13.877615928649902,10.28980202870719,-269.7339172363281,22.84096336364746,-268.7823181152344,20.65311050415039,2.385841784795443,36,-263.116455078125,13.792966842651367,-268.7823181152344,20.65311050415039
66,67,66,67,-269.7339172363281,22.84096336364746,-269.7339172363281,22.84096336364746,0.0,-264.92425537109375,19.78425407409668,5.698799780542904,-272.9421081542969,23.117422103881836,-269.9618225097656,22.060043334960938,3.162301754096804,36,-265.5155029296875,15.843616485595703,-269.9618225097656,22.060043334960938
67,68,67,68,-272.9421081542969,23.117422103881836,-272.9421081542969,23.117422103881836,0.0,-268.10919189453125,19.1707820892334,6.239635163944377,-276.4721984863281,23.421621322631836,-274.789794921875,23.609493255615234,1.692860778944181,36,-268.2336120605469,17.217031478881836,-274.789794921875,23.609493255615234
68,69,68,69,-276.4721984863281,23.421621322631836,-276.4721984863281,23.421621322631836,0.0,-270.5066833496094,19.507680892944336,7.134865137727755,-279.8583984375,23.757869720458984,-278.2958679199219,25.516674041748047,2.35263559841894,36,-270.6969299316406,18.34998321533203,-278.2958679199219,25.516674041748047
69,70,69,70,-279.8583984375,23.757869720458984,-279.8583984375,23.757869720458984,0.0,-270.7611999511719,20.558837890625,9.643278744697868,-282.95196533203125,24.0650577545166,-279.6616516113281,27.110496520996094,4.483398449951038,36,-271.8366394042969,19.56079864501953,-279.6616516113281,27.110496520996094
70,71,70,71,-282.95196533203125,24.0650577545166,-282.95196533203125,24.0650577545166,0.0,-274.8970642089844,22.293521881103516,8.247409984525522,-286.3374328613281,24.40123176574707,-281.660400390625,28.82708168029785,6.439159898475929,36,-274.51995849609375,21.085912704467773,-281.660400390625,28.82708168029785
71,72,71,72,-286.3374328613281,24.40123176574707,-286.3374328613281,24.40123176574707,0.0,-279.2168884277344,21.924636840820312,7.538943921595114,-289.56787109375,24.758047103881836,-284.47381591796875,29.26500129699707,6.801619971208531,36,-277.7615051269531,21.95821762084961,-284.47381591796875,29.26500129699707
72,73,72,73,-289.56787109375,24.758047103881836,-289.56787109375,24.758047103881836,0.0,-280.11199951171875,22.249061584472656,9.783072917671172,-292.791015625,25.11405372619629,-286.1985168457031,29.716495513916016,8.04011881531483,36,-280.340576171875,22.603466033935547,-286.1985168457031,29.716495513916016
73,74,73,74,-292.791015625,25.11405372619629,-292.791015625,25.11405372619629,0.0,-292.9485168457031,22.470218658447266,2.6485223238595625,-296.3150329589844,25.5032958984375,-290.6456298828125,29.48672103881836,6.9289109598208425,36,-285.79766845703125,23.06977653503418,-290.6456298828125,29.48672103881836
74,75,74,75,-296.3150329589844,25.5032958984375,-296.3150329589844,25.5032958984375,0.0,-298.72283935546875,23.140552520751953,3.373438588702628,-299.6627502441406,25.858945846557617,-296.9488220214844,29.923686981201172,4.887486766160445,36,-292.5355224609375,23.54918670654297,-296.9488220214844,29.923686981201172
75,76,75,76,-299.6627502441406,25.858945846557617,-299.6627502441406,25.858945846557617,0.0,-298.73638916015625,23.131996154785156,2.879999909614343,-303.0234375,26.21597671508789,-301.7315673828125,28.3984432220459,2.5361562360539884,36,-297.5967712402344,23.793607711791992,-301.7315673828125,28.3984432220459
76,77,76,77,-303.0234375,26.21597671508789,-303.0234375,26.21597671508789,0.0,-304.61273193359375,23.20949363708496,3.400705411377182,-306.37432861328125,26.571962356567383,-307.1777038574219,28.45929527282715,2.0512038708269835,36,-303.0690002441406,23.902389526367188,-307.1777038574219,28.45929527282715
77,78,77,78,-306.37432861328125,26.571962356567383,-306.37432861328125,26.571962356567383,0.0,-310.54852294921875,23.514183044433594,5.1743514256268,-309.93170166015625,26.87871551513672,-314.0599060058594,29.26161003112793,4.766577115102949,36,-308.9294738769531,24.021808624267578,-314.0599060058594,29.26161003112793
78,79,78,79,-309.93170166015625,26.87871551513672,-309.93170166015625,26.87871551513672,0.0,-315.26678466796875,23.42792510986328,6.3538228745674745,-313.1907958984375,27.159746170043945,-319.0450439453125,28.590213775634766,6.026479715802957,36,-314.4986267089844,24.011247634887695,-319.0450439453125,28.590213775634766
79,80,79,80,-313.1907958984375,27.159746170043945,-313.1907958984375,27.159746170043945,0.0,-315.329833984375,23.57186508178711,4.177125164100571,-316.4438171386719,27.44025421142578,-322.5288391113281,28.66042709350586,6.206151325086504,36,-317.8772888183594,24.009414672851562,-322.5288391113281,28.66042709350586
80,81,80,81,-316.4438171386719,27.44025421142578,-316.4438171386719,27.44025421142578,0.0,-319.7727966308594,23.508710861206055,5.151615045212704,-321.592041015625,27.871477127075195,-325.429931640625,27.681211471557617,3.84260399587733,36,-321.4991149902344,23.9378719329834,-325.429931640625,27.681211471557617
81,82,81,82,-321.592041015625,27.871477127075195,-321.592041015625,27.871477127075195,0.0,-324.0366516113281,27.96953582763672,2.446576480182012,-326.2784423828125,28.264019012451172,-328.36273193359375,29.37091636657715,2.3599755685318,36,-325.1845397949219,25.66446304321289,-328.36273193359375,29.37091636657715
82,83,82,83,-326.2784423828125,28.264019012451172,-326.2784423828125,28.264019012451172,0.0,-328.401123046875,27.929384231567383,2.1488959114303228,-329.66363525390625,28.562585830688477,-331.66290283203125,30.776397705078125,2.982957234713634,36,-329.0439453125,26.89250373840332,-331.66290283203125,30.776397705078125
83,84,83,84,-329.66363525390625,28.562585830688477,-329.66363525390625,28.562585830688477,0.0,-333.1329345703125,28.005672454833984,3.5137145949866957,-332.744140625,28.834280014038086,-336.7557067871094,32.35518264770508,5.337547979057809,36,-333.1903381347656,27.7532901763916,-336.7557067871094,32.35518264770508
84,85,84,85,-332.744140625,28.834280014038086,-332.744140625,28.834280014038086,0.0,-333.2164306640625,27.974977493286133,0.980540005898953,-336.1232604980469,29.13231086730957,-340.4794006347656,32.41438674926758,5.454170788090751,36,-335.70135498046875,28.281496047973633,-340.4794006347656,32.41438674926758
85,86,85,86,-336.1232604980469,29.13231086730957,-336.1232604980469,29.13231086730957,0.0,-337.64501953125,28.011432647705078,1.890004904310845,-339.6257019042969,29.462242126464844,-343.76397705078125,32.993228912353516,5.439962212196946,36,-338.73956298828125,28.58595085144043,-343.76397705078125,32.993228912353516
86,87,86,87,-339.6257019042969,29.462242126464844,-339.6257019042969,29.462242126464844,0.0,-341.9324951171875,28.002832412719727,2.729683432123926,-342.8448791503906,29.765491485595703,-346.31195068359375,33.09494400024414,4.806853343263789,36,-342.1738586425781,28.706430435180664,-346.31195068359375,33.09494400024414
87,88,87,88,-342.8448791503906,29.765491485595703,-342.8448791503906,29.765491485595703,0.0,-346.68902587890625,28.030433654785156,4.217569175083485,-346.0498046875,30.067394256591797,-350.2136535644531,33.76271438598633,5.56713825307152,36,-346.1189880371094,28.72880744934082,-350.2136535644531,33.76271438598633
88,89,88,89,-346.0498046875,30.067394256591797,-346.0498046875,30.067394256591797,0.0,-346.6361083984375,28.013751983642578,2.1356962861566053,-349.5847473144531,30.437746047973633,-351.3565368652344,33.156776428222656,3.2453604454628415,36,-348.5032958984375,28.66722297668457,-351.3565368652344,33.156776428222656
89,90,89,90,-349.5847473144531,30.437746047973633,-349.5847473144531,30.437746047973633,0.0,-351.42767333984375,27.98910140991211,3.0646756596040525,-352.80938720703125,30.775583267211914,-354.5434265136719,33.083744049072266,2.886953153740616,36,-351.6871643066406,28.558645248413086,-354.5434265136719,33.083744049072266
90,91,90,91,-352.80938720703125,30.775583267211914,-352.80938720703125,30.775583267211914,0.0,-356.27606201171875,27.97325897216797,4.45767379426183,-356.03759765625,31.113798141479492,-358.1778564453125,32.784507751464844,2.715138722985749,36,-355.5113830566406,28.432933807373047,-358.1778564453125,32.784507751464844
