sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,gt_x,gt_y,visual_x,visual_y,final_x,final_y,selected_patch_x,selected_patch_y,progress_s_visual_m,progress_s_final_m,cross_visual_m,cross_final_m,rnn_delta_s_raw_m,predicted_step_m,rnn_delta_cross_m,motion_probability,polynomial_step_m,inertia_cap_m,selected_patch_progress_s_m,candidate_probability_max,candidate_probability_margin,candidate_route_distance_m,route_heading_deg,heading_residual_deg,estimated_heading_deg,search_heading_deg,measurement_variance_s,measurement_variance_cross,forward_candidate_count,error_visual_m,error_final_m
10,10,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000010.jpg,0,1,-77.41057586669922,4.6642866134643555,-44.65486526489258,0.6929315328598022,-41.99847412109375,0.5880611538887024,-46.75927734375,-0.16259177029132843,6.967443466186523,4.314872483335787,0.8841451406478882,0.7073575796036754,2.9921741485595703,2.9921741485595703,0.22965788841247559,0.9982696771621704,2.9921741485595703,3.0,8.969523429870605,0.07098749279975891,0.007950425148010254,1.9575316905975342,173.92622867160193,-0.4896210434353062,173.43660762816663,173.43660634750614,16.0,2.1998887062072754,18,32.99557876586914,35.64593505859375
11,11,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000011.jpg,0,1,-80.71418762207031,4.9646830558776855,-44.99815368652344,0.6762911081314087,-42.336997985839844,0.5710042119026184,-46.75927734375,-0.16259177029132843,7.307046413421631,4.649691392756593,0.9370153546333313,0.7601376663351366,2.9921741485595703,2.9921741485595703,0.22965776920318604,0.9982696771621704,2.9921741485595703,3.0,8.969523429870605,0.07180535048246384,0.008855216205120087,1.9575316905975342,173.92622867160193,-0.48962211065236405,173.43660656094957,173.43660762816663,16.0,2.1998887062072754,18,35.972564697265625,38.62788009643555
12,12,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000012.jpg,0,1,-84.01985931396484,5.2652668952941895,-45.33667755126953,0.6592341065406799,-42.6717643737793,0.553600549697876,-46.75927734375,-0.16259177029132843,7.641865253448486,4.980731651725712,0.9897955060005188,0.8128642253976918,2.992173671722412,2.992173671722412,0.2296578288078308,0.9982695579528809,2.9921741485595703,3.0,8.969523429870605,0.07255826145410538,0.0095534548163414,1.9575316905975342,173.92622867160193,-0.48962323123027474,173.43660544037166,173.43660656094957,16.0,2.1998887062072754,18,38.95643997192383,41.61568069458008
13,13,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000013.jpg,0,1,-87.32689666748047,5.565974712371826,-45.67144012451172,0.641830563545227,-43.003543853759766,0.5359119772911072,-46.75927734375,-0.16259177029132843,7.972905158996582,5.308779720465085,1.0425220727920532,0.8655590011367335,2.992173671722412,2.992173671722412,0.229657843708992,0.9982695579528809,2.992173194885254,3.0,8.969523429870605,0.07279347628355026,0.009502775967121124,1.9575316905975342,173.92622867160193,-0.4896234980345392,173.4366051735674,173.43660544037164,16.0,2.1998887062072754,18,41.945491790771484,44.60786056518555
14,14,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000014.jpg,0,1,-90.52931213378906,5.903904438018799,-46.00321960449219,0.6241418123245239,-43.33296203613281,0.5179909467697144,-46.75927734375,-0.16259177029132843,8.30095386505127,5.63445371943456,1.095216989517212,0.9182349348378979,2.9921741485595703,2.9921741485595703,0.22965797781944275,0.9982696771621704,2.992173671722412,3.0,8.969523429870605,0.07064070552587509,0.007668659090995789,1.9575316905975342,173.92622867160193,-0.48962034974421864,173.4366083218577,173.4366051735674,16.0,2.1998887062072754,18,44.83802795410156,47.50266647338867
15,15,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000015.jpg,0,1,-93.73101806640625,6.241759300231934,-46.332637786865234,0.6062207221984863,-43.66050338745117,0.4998815655708313,-46.75927734375,-0.16259177029132843,8.626627922058105,5.958240937381693,1.147892951965332,0.9708996653867317,2.9921741485595703,2.9921741485595703,0.22965797781944275,0.9982696771621704,2.9921746253967285,3.0,8.969523429870605,0.07027770578861237,0.007235482335090637,1.9575316905975342,173.92622867160193,-0.48962093671360046,173.43660773488833,173.4366083218577,16.0,2.1998887062072754,18,47.73223114013672,50.39866638183594
16,16,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000016.jpg,0,1,-97.24320983886719,6.612377643585205,-46.660179138183594,0.588111162185669,-43.98655319213867,0.48161959648132324,-46.75927734375,-0.16259177029132843,8.950414657592773,6.2805267216566785,1.2005577087402344,1.0235577436625074,2.9921741485595703,2.9921741485595703,0.22965800762176514,0.9982696771621704,2.9921741485595703,3.0,8.969523429870605,0.06867486238479614,0.005097717046737671,1.9575316905975342,173.92622867160193,-0.48962050982677735,173.43660816177515,173.43660773488833,16.0,2.1998887062072754,18,50.94050216674805,53.60837173461914
17,17,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000017.jpg,0,1,-100.48795318603516,6.946656227111816,-46.98623275756836,0.5698492527008057,-44.3114128112793,0.46323513984680176,-46.75927734375,-0.16259177029132843,9.272701263427734,6.601616685472687,1.2532159090042114,1.076211894826793,2.9921741485595703,2.9921741485595703,0.2296580970287323,0.9982696771621704,2.9921741485595703,3.0,8.969523429870605,0.06902040541172028,0.0051880329847335815,1.9575316905975342,173.92622867160193,-0.4896223774566285,173.4366062941453,173.43660816177515,16.0,2.1998887062072754,18,53.880401611328125,56.549434661865234
18,18,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000018.jpg,0,1,-103.73233032226562,7.28089714050293,-47.31108856201172,0.5514649152755737,-44.635318756103516,0.4447523355484009,-46.75927734375,-0.16259177029132843,9.593791007995605,6.9217532710966125,1.3058700561523438,1.1288636956338303,2.9921741485595703,2.9921741485595703,0.2296580970287323,0.9982696771621704,2.9921741485595703,3.0,8.969523429870605,0.06808268278837204,0.004005610942840576,1.9575316905975342,173.92622867160193,-0.4896202430225129,173.43660842857943,173.4366062941453,16.0,2.1998887062072754,18,56.821136474609375,59.4910888671875
19,19,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000019.jpg,0,1,-107.29228973388672,7.647648811340332,-47.63500213623047,0.53298020362854,-44.95847702026367,0.4261898994445801,-51.52117156982422,-4.890744209289551,9.91392707824707,7.241129318776016,1.3585234880447388,1.1815144747114794,2.9921741485595703,2.9921741485595703,0.2296598255634308,0.9982696771621704,2.9921741485595703,3.0,13.20440673828125,0.06359021365642548,0.002507314085960388,7.162993431091309,173.92622867160193,-0.48963833235164284,173.4365903392503,173.4366084285794,16.0,2.1998887062072754,18,60.08003234863281,62.75072479248047
20,20,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000020.jpg,0,1,-110.61548614501953,7.9523024559021,-47.958152770996094,0.5144177675247192,-45.28102493286133,0.40756404399871826,-51.52117156982422,-4.890744209289551,10.23330307006836,7.559898419372455,1.4111742973327637,1.2341644316146554,2.992173671722412,2.992173671722412,0.2296598106622696,0.9982695579528809,2.9921741485595703,3.0,13.20440673828125,0.06353693455457687,0.002457689493894577,7.162993431091309,173.92622867160193,-0.4896381722690842,173.43659049933285,173.43659033925027,16.0,2.1998887062072754,18,63.097251892089844,65.76863861083984
21,21,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000021.jpg,0,1,-113.93445587158203,8.25656795501709,-48.280704498291016,0.495792031288147,-45.60309600830078,0.38888752460479736,-51.52117156982422,-4.890744209289551,10.552072525024414,7.878182960286161,1.4638242721557617,1.286813900095353,2.9921741485595703,2.9921741485595703,0.22965985536575317,0.9982696771621704,2.992173194885254,3.0,13.20440673828125,0.06376643478870392,0.0028437525033950806,7.162993431091309,173.92622867160193,-0.4896394529295535,173.43658921867237,173.43659049933285,16.0,2.1998887062072754,18,66.11084747314453,68.7828140258789
22,22,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000022.jpg,0,1,-117.24945068359375,8.560468673706055,-48.60277557373047,0.4771155118942261,-45.92477798461914,0.3701702356338501,-51.52117156982422,-4.890744209289551,10.870357513427734,8.196080507556822,1.5164737701416016,1.3394630827488498,2.9921741485595703,2.9921741485595703,0.22965988516807556,0.9982696771621704,2.9921746253967285,3.0,13.20440673828125,0.06397850066423416,0.00266478955745697,7.162993431091309,173.92622867160193,-0.48964046678575845,173.43658820481616,173.43658921867237,16.0,2.1998887062072754,18,69.12095642089844,71.79338836669922
23,23,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000023.jpg,0,1,-120.81004333496094,8.859625816345215,-48.92445755004883,0.4583979845046997,-46.24615478515625,0.351420521736145,-51.52117156982422,-4.890744209289551,11.188254356384277,8.513668775157718,1.5691232681274414,1.3921121638752756,2.9921741485595703,2.9921741485595703,0.22966018319129944,0.9982696771621704,2.9921741485595703,3.0,13.20440673828125,0.0648466944694519,0.002730313688516617,7.162993431091309,173.92622867160193,-0.4896426012198741,173.43658607038205,173.43658820481616,16.0,2.1998887062072754,18,72.37484741210938,75.04773712158203
24,24,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000024.jpg,0,1,-124.06947326660156,9.133479118347168,-49.24583053588867,0.439647912979126,-46.56728744506836,0.3326444625854492,-51.52117156982422,-4.890744209289551,11.505843162536621,8.831010026610574,1.6217725276947021,1.4447611826514357,2.9921741485595703,2.9921741485595703,0.22966033220291138,0.9982696771621704,2.9921741485595703,3.0,13.20440673828125,0.06604387611150742,0.003040514886379242,7.162993431091309,173.92622867160193,-0.48964377515863766,173.4365848964433,173.43658607038205,16.0,2.1998887062072754,18,75.32701873779297,78.00027465820312
25,25,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000025.jpg,0,1,-127.31895446777344,9.40649700164795,-49.56696319580078,0.4208719730377197,-46.888221740722656,0.31384754180908203,-51.52117156982422,-4.890744209289551,11.8231840133667,9.148153776352933,1.6744215488433838,1.4974101406303906,2.9921741485595703,2.9921741485595703,0.22966033220291138,0.9982696771621704,2.9921741485595703,3.0,13.20440673828125,0.06573326140642166,0.0028112903237342834,7.162993431091309,173.92622867160193,-0.489645589427636,173.4365830821743,173.4365848964433,16.0,2.1998887062072754,18,78.26949310302734,80.94306182861328
26,26,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000026.jpg,0,1,-130.83126831054688,9.741641998291016,-49.88789749145508,0.402074933052063,-47.2089958190918,0.29503417015075684,-51.52117156982422,-4.890744209289551,12.140327453613281,9.465139664328285,1.7270705699920654,1.5500590766504987,2.9921741485595703,2.9921741485595703,0.22966036200523376,0.9982696771621704,2.9921741485595703,3.0,13.20440673828125,0.06594718992710114,0.0029791221022605896,7.162993431091309,173.92622867160193,-0.48964420204546083,173.43658446955646,173.43658308217428,16.0,2.1998887062072754,18,81.48041534423828,84.1541519165039
27,27,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000027.jpg,0,1,-134.03652954101562,10.047489166259766,-50.20867156982422,0.38326168060302734,-47.5296516418457,0.27620744705200195,-51.52117156982422,-4.890744209289551,12.457313537597656,9.78199940711786,1.779719352722168,1.602707955881614,2.9921741485595703,2.9921741485595703,0.2296602725982666,0.9982696771621704,2.9921741485595703,3.0,13.20440673828125,0.065730981528759,0.002876065671443939,7.162993431091309,173.92622867160193,-0.4896456427884889,173.43658302881343,173.43658446955646,16.0,2.1998887062072754,18,84.38309478759766,87.0569839477539
28,28,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000028.jpg,0,1,-137.2352752685547,10.352712631225586,-50.529327392578125,0.36443495750427246,-47.85020065307617,0.2573699951171875,-51.52117156982422,-4.890744209289551,12.774173736572266,10.098758334603396,1.83236825466156,1.6553568274584598,2.9921741485595703,2.9921741485595703,0.229660302400589,0.9982696771621704,2.9921741485595703,3.0,13.20440673828125,0.06581820547580719,0.002906210720539093,7.162993431091309,173.92622867160193,-0.48964553606678307,173.43658313553516,173.43658302881343,16.0,2.1998887062072754,18,87.27936553955078,89.95336151123047
29,29,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000029.jpg,0,1,-140.4192352294922,10.665609359741211,-50.84988021850586,0.34559762477874756,-48.17067337036133,0.23852407932281494,-51.52117156982422,-4.890744209289551,13.090932846069336,10.415436640284703,1.8850171566009521,1.7080056983561585,2.9921741485595703,2.9921741485595703,0.229660302400589,0.9982696771621704,2.9921741485595703,3.0,13.20440673828125,0.06606169044971466,0.002964422106742859,7.162993431091309,173.92622867160193,-0.4896453226233715,173.43658334897856,173.43658313553513,16.0,2.1998887062072754,18,90.16191864013672,92.83599090576172
30,30,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000030.jpg,0,1,-143.60858154296875,10.979033470153809,-51.17034912109375,0.326751708984375,-48.49108123779297,0.21967124938964844,-51.52117156982422,-4.890744209289551,13.407610893249512,10.732050442091209,1.9376659393310547,1.7606545445033064,2.9921741485595703,2.9921741485595703,0.22966033220291138,0.9982696771621704,2.9921741485595703,3.0,13.20440673828125,0.06613034009933472,0.0029419884085655212,7.162993431091309,173.92622867160193,-0.4896461763970178,173.4365824952049,173.43658334897856,16.0,2.1998887062072754,18,93.04997253417969,95.7240982055664
31,31,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000031.jpg,0,1,-147.09031677246094,11.321191787719727,-51.490760803222656,0.30789899826049805,-48.81143569946289,0.2008131742477417,-51.52117156982422,-4.890744209289551,13.724225044250488,11.04861272644522,1.9903148412704468,1.8133034007445425,2.9921741485595703,2.9921741485595703,0.229660302400589,0.9982696771621704,2.9921741485595703,3.0,13.20440673828125,0.06616856157779694,0.002967648208141327,7.162993431091309,173.92622867160193,-0.48964671000554666,173.43658196159637,173.4365824952049,16.0,2.1998887062072754,18,96.23184967041016,98.9060287475586
32,32,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000032.jpg,0,1,-150.38534545898438,11.621426582336426,-51.81111145019531,0.28904080390930176,-49.13174819946289,0.18195044994354248,-51.52117156982422,-4.890744209289551,14.040786743164062,11.3651337253608,2.0429635047912598,1.8659522112036206,2.9921741485595703,2.9921741485595703,0.2296602576971054,0.9982696771621704,2.9921741485595703,3.0,13.20440673828125,0.0661306157708168,0.0029964447021484375,7.162993431091309,173.92622867160193,-0.48964633647957645,173.43658233512235,173.43658196159637,16.0,2.1998887062072754,18,99.22349548339844,101.89775848388672
33,33,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000033.jpg,0,1,-153.68882751464844,11.922432899475098,-52.13142395019531,0.27018094062805176,-49.45203399658203,0.16308510303497314,-65.7762680053711,-14.31705093383789,14.357307434082031,11.681621727986855,2.095609664916992,1.9186004131311833,2.992173671722412,2.992173671722412,0.22965730726718903,0.9982695579528809,2.9921741485595703,3.0,26.382095336914062,0.06284043937921524,0.0009088888764381409,18.044700622558594,173.92622867160193,-0.48964799066601605,173.43658068093592,173.43658233512235,16.0,2.1998887062072754,18,102.22368621826172,104.89801025390625
34,34,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000034.jpg,0,1,-156.9862060546875,12.222880363464355,-52.45170974731445,0.2513151168823242,-49.77228927612305,0.14421677589416504,-65.7762680053711,-14.31705093383789,14.673795700073242,11.998083398981256,2.1482582092285156,1.9712486929838944,2.992173671722412,2.992173671722412,0.22965775430202484,0.9982695579528809,2.992173194885254,3.0,26.382095336914062,0.06360934674739838,0.002781100571155548,18.044700622558594,173.92622867160193,-0.48965135239974816,173.43657731920217,173.43658068093592,16.0,2.1998887062072754,18,105.2177734375,107.89215850830078
35,35,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000035.jpg,0,1,-161.97410583496094,12.701958656311035,-52.77196502685547,0.23244690895080566,-50.09252166748047,0.12534642219543457,-65.7762680053711,-14.31705093383789,14.990257263183594,12.314523979782662,2.20090651512146,2.023896978470462,2.992173671722412,2.992173671722412,0.22965767979621887,0.9982695579528809,2.992173671722412,3.0,26.382095336914062,0.0636972114443779,0.00293741375207901,18.044700622558594,173.92622867160193,-0.4896527397819233,173.43657593182002,173.43657731920217,16.0,2.1998887062072754,18,109.9117660522461,112.58623504638672
36,36,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000036.jpg,0,1,-166.95358276367188,13.180227279663086,-53.09219741821289,0.2135763168334961,-50.41273880004883,0.10647416114807129,-65.7762680053711,-14.31705093383789,15.306697845458984,12.630947704517377,2.253554582595825,2.0765452137789904,2.992173671722412,2.992173671722412,0.22965757548809052,0.9982695579528809,2.992173671722412,3.0,26.382095336914062,0.06331412494182587,0.0022190771996974945,18.044700622558594,173.92622867160193,-0.48965247297765885,173.43657619862427,173.43657593182,16.0,2.1998887062072754,18,114.59733581542969,117.2718734741211
37,37,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000037.jpg,0,1,-170.4643096923828,13.542064666748047,-53.412418365478516,0.19470429420471191,-50.732948303222656,0.0876002311706543,-65.7762680053711,-14.31705093383789,15.62312126159668,12.947357916929098,2.3062028884887695,2.1291934651502595,2.992173671722412,2.992173671722412,0.22965766489505768,0.9982695579528809,2.992173671722412,3.0,26.382095336914062,0.06345096230506897,0.002482406795024872,18.044700622558594,173.92622867160193,-0.4896529532253349,173.4365757183766,173.43657619862427,16.0,2.1998887062072754,18,117.81043243408203,120.48493957519531
38,38,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000038.jpg,0,1,-173.6732940673828,13.872800827026367,-53.73262405395508,0.17583036422729492,-51.053138732910156,0.0687255859375,-65.7762680053711,-14.31705093383789,15.939531326293945,13.26375733410114,2.358851194381714,2.1818417289500442,2.992173671722412,2.992173671722412,0.2296576201915741,0.9982695579528809,2.992173671722412,3.0,26.382095336914062,0.06352779269218445,0.002782858908176422,18.044700622558594,173.92622867160193,-0.48965423388580426,173.43657443771613,173.4365757183766,16.0,2.1998887062072754,18,120.72023010253906,123.39471435546875
39,39,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000039.jpg,0,1,-176.89031982421875,14.204366683959961,-54.052818298339844,0.15695595741271973,-51.37332534790039,0.0498499870300293,-65.7762680053711,-14.31705093383789,16.255931854248047,13.580148248272101,2.4114990234375,2.234489893044407,2.992173671722412,2.992173671722412,0.22965741157531738,0.9982695579528809,2.992173671722412,3.0,26.382095336914062,0.06303099542856216,0.0015890374779701233,18.044700622558594,173.92622867160193,-0.4896507120695135,173.43657795953243,173.43657443771613,16.0,2.1998887062072754,18,123.63810729980469,126.31257629394531
40,40,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000040.jpg,0,1,-180.07899475097656,14.495210647583008,-54.37300109863281,0.13808012008666992,-51.693504333496094,0.030973196029663086,-65.7762680053711,-14.31705093383789,16.572322845458984,13.896532276774694,2.4641475677490234,2.287138144277434,2.992173671722412,2.992173671722412,0.22965757548809052,0.9982695579528809,2.992173671722412,3.0,26.382095336914062,0.0632665753364563,0.002168521285057068,18.044700622558594,173.92622867160193,-0.48965215281254154,173.4365765187894,173.4365779595324,16.0,2.1998887062072754,18,126.5232162475586,129.19772338867188
41,41,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000041.jpg,0,1,-183.2713623046875,14.786392211914062,-54.693180084228516,0.11920332908630371,-52.013675689697266,0.012096643447875977,-65.7762680053711,-14.31705093383789,16.88870620727539,14.21291072174856,2.5167958736419678,2.3397864080263058,2.992173671722412,2.992173671722412,0.22965770959854126,0.9982695579528809,2.992173671722412,3.0,26.382095336914062,0.06370183825492859,0.003094911575317383,18.044700622558594,173.92622867160193,-0.48965300658618777,173.43657566501574,173.4365765187894,16.0,2.1998887062072754,18,129.41204833984375,132.08656311035156
42,42,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000042.jpg,0,1,-186.7760009765625,15.10605525970459,-55.01335525512695,0.1003267765045166,-52.33384323120117,-0.006781339645385742,-65.7762680053711,-14.31705093383789,17.2050838470459,14.529284672752203,2.569443702697754,2.392434572114479,2.992173671722412,2.992173671722412,0.22965748608112335,0.9982695579528809,2.992173671722412,3.0,26.382095336914062,0.06335703283548355,0.0022629275918006897,18.044700622558594,173.92622867160193,-0.4896516192040126,173.43657705239792,173.43657566501574,16.0,2.1998887062072754,18,132.61436462402344,135.28892517089844
43,43,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000043.jpg,0,1,-190.19520568847656,15.40483283996582,-55.33352279663086,0.08144879341125488,-52.654014587402344,-0.02565908432006836,-65.7762680053711,-14.31705093383789,17.52145767211914,14.845655084640697,2.6220922470092773,2.445082823362371,2.992173671722412,2.992173671722412,0.22965773940086365,0.9982695579528809,2.992173671722412,3.0,26.382095336914062,0.06436516344547272,0.0031334683299064636,18.044700622558594,173.92622867160193,-0.4896556746288323,173.4365729969731,173.43657705239792,16.0,2.1998887062072754,18,135.72943115234375,138.404052734375
44,44,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000044.jpg,0,1,-193.5978240966797,15.702159881591797,-55.653690338134766,0.06257081031799316,-52.97417449951172,-0.04453754425048828,-65.7762680053711,-14.31705093383789,17.83782958984375,15.16202283610894,2.674740791320801,2.497731141791023,2.992173671722412,2.992173671722412,0.22965779900550842,0.9982695579528809,2.992173671722412,3.0,26.382095336914062,0.06507137417793274,0.003345545381307602,18.044700622558594,173.92622867160193,-0.4896564216807728,173.43657224992117,173.4365729969731,16.0,2.1998887062072754,18,138.82789611816406,141.50254821777344
