route,frame_id,requested_slot,used_slot,top1_idx,hardms_snapped_idx,hardms_mode_to_anchor_m,Top-1 patch center_error_m,Gaussian local average + Top-1_error_m,3x3 local average + Top-1_error_m,Fixed HardMS (snapped anchor)_error_m,Oracle nearest anchor_error_m,Fixed HardMS (continuous mode; diagnostic)_error_m
model_dataset_new_2_flight,0,3,3,5,10,1.1427807807922363,8.468147277832031,8.468147277832031,8.468147277832031,6.282179355621338,1.1097068786621094,6.5880937576293945
model_dataset_new_2_flight,1,33,33,35,21,2.272202730178833,7.626553058624268,7.626553058624268,2.9642984867095947,8.737587928771973,2.1660690307617188,6.992850303649902
model_dataset_new_2_flight,2,9,9,23,22,1.0015637874603271,12.8691987991333,12.8691987991333,16.926349639892578,10.78107738494873,2.1660690307617188,11.66750431060791
model_dataset_new_2_flight,3,8,8,22,22,2.682304620742798,12.8691987991333,12.8691987991333,16.13328742980957,12.8691987991333,2.1660690307617188,10.250506401062012
model_dataset_new_2_flight,4,5,5,29,16,1.679122805595398,20.462230682373047,15.754754066467285,15.754754066467285,11.311922073364258,2.3187670707702637,12.734909057617188
model_dataset_new_2_flight,5,32,32,31,27,2.3234703540802,3.2938289642333984,16.144689559936523,16.144689559936523,7.333660125732422,2.3187670707702637,7.150227069854736
model_dataset_new_2_flight,6,25,25,30,21,1.8435131311416626,6.856973171234131,6.856973171234131,21.736921310424805,11.784324645996094,2.3187670707702637,10.358400344848633
model_dataset_new_2_flight,7,29,29,34,27,1.5235230922698975,7.60817813873291,7.60817813873291,6.641636848449707,8.78097152709961,2.066364288330078,7.526136875152588
model_dataset_new_2_flight,8,17,17,28,22,1.769744634628296,11.93712043762207,16.488719940185547,16.065874099731445,7.60817813873291,2.066364288330078,8.425151824951172
model_dataset_new_2_flight,9,19,19,35,27,2.2267701625823975,22.944896697998047,22.944896697998047,22.944896697998047,12.345494270324707,2.066364288330078,10.40372371673584
model_dataset_new_2_flight,10,15,15,32,27,1.4341615438461304,17.125457763671875,19.10068130493164,19.10068130493164,11.756672859191895,2.2966055870056152,11.006692886352539
model_dataset_new_2_flight,11,4,4,33,21,0.25018033385276794,26.36009979248047,26.36009979248047,26.36009979248047,17.125457763671875,2.2966055870056152,16.92347526550293
model_dataset_new_2_flight,12,29,29,27,26,1.710069179534912,9.666423797607422,11.726825714111328,15.79621410369873,14.333368301391602,2.2966055870056152,12.749327659606934
model_dataset_new_2_flight,13,26,26,24,26,2.5495734214782715,10.41934871673584,10.593029022216797,10.593029022216797,2.103764772415161,2.103764772415161,4.293044567108154
model_dataset_new_2_flight,14,8,8,24,27,1.851831078529358,15.932014465332031,21.70584487915039,21.70584487915039,12.86779499053955,2.103764772415161,11.017200469970703
model_dataset_new_2_flight,15,29,29,34,27,1.2241199016571045,6.1242499351501465,2.84299898147583,2.84299898147583,10.41934871673584,2.103764772415161,11.451919555664062
model_dataset_new_2_flight,16,26,26,34,27,0.8925216794013977,8.45429801940918,12.982221603393555,12.982221603393555,3.417851686477661,2.2773985862731934,3.5310356616973877
model_dataset_new_2_flight,17,24,24,34,27,1.417804479598999,17.631874084472656,17.631874084472656,22.32733726501465,12.669574737548828,2.2773985862731934,13.943233489990234
model_dataset_new_2_flight,18,18,18,35,27,1.559126853942871,23.47999382019043,23.47999382019043,23.47999382019043,12.982221603393555,2.2773985862731934,14.50693416595459
model_dataset_new_2_flight,19,16,16,35,27,1.5077944993972778,14.931471824645996,14.931471824645996,14.931471824645996,8.943320274353027,2.286299705505371,7.540895462036133
model_dataset_new_2_flight,20,23,23,30,21,0.8201719522476196,23.318965911865234,23.318965911865234,18.971120834350586,7.48395299911499,2.286299705505371,8.047074317932129
model_dataset_new_2_flight,21,22,22,35,21,1.992663860321045,10.944380760192871,10.944380760192871,10.944380760192871,2.8244194984436035,2.286299705505371,2.7850847244262695
model_dataset_new_2_flight,22,33,33,34,27,1.851797103881836,6.013886451721191,1.3117784261703491,1.3117784261703491,5.304978370666504,1.3117784261703491,6.311808109283447
