frame_id,image_path,forward_rows,candidate_count,reference_x,reference_y,previous_kalman_output_s,previous_kalman_output_e,previous_ms_s,previous_ms_e,previous_ms_x,previous_ms_y,previous_ms_support,kalman_prior_s,kalman_prior_e,current_softms_x,current_softms_y,gru_measurement_s,gru_measurement_e,gru_measurement_var_s,gru_measurement_var_e,gru_velocity_s,gru_velocity_e,gru_acceleration_s,gru_acceleration_e,gru_heading_residual_deg,final_s,final_e,final_x,final_y,error_final_m,prior_center_x,prior_center_y,prior_jitter_x,prior_jitter_y,search_heading_deg,tracking_core_latency_ms
0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,3,18,-37.63298034667969,0.8348962068557739,0.0,0.0,0.0,0.0,-37.632978691184114,0.8348961808190729,0.0,0.0,0.0,-51.530296325683594,1.5536372661590576,8.232389450073242,1.4925516843795776,24.65117073059082,4.309106826782227,0.6774346828460693,0.01079482026398182,-0.4714186191558838,0.022122522816061974,0.8015789414399431,0.0,0.0,-37.632978691184114,0.8348961808190729,1.6557003061335768e-06,-41.41473208662878,-2.1012529727827833,-3.781751739949091,-2.9361491796385573,173.92622821886636,1311.5277960314415
1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,3,18,-47.69226837158203,1.7922438383102417,0.0,0.0,9.498883549607298,1.3634119825817042,-47.222801208496094,0.4842039942741394,0.6690651774406433,10.046361691698882,0.016820138320326805,-59.80302429199219,0.7340971231460571,16.190555572509766,3.3280720710754395,35.38572692871094,4.547372817993164,0.7633936405181885,0.011328164488077164,-0.3734703063964844,0.02778686210513115,0.8267416251465346,7.82538765602102,1.6623200753747283,-45.59032664186869,0.009903094947554703,2.755884170381796,-51.3870498450466,-1.2895301306937865,-3.6947814734645634,-3.0817739690040282,174.20678085370642,222.22089703427628
2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,3,18,-50.9120979309082,2.1374623775482178,7.82538765602102,1.6623200753747283,17.82557400902241,1.7621258899200967,-55.54493713378906,0.9687660932540894,0.6933293342590332,11.245969190134542,1.6891718281476555,-63.0560188293457,0.7129215002059937,19.364091873168945,3.7476718425750732,41.22351837158203,4.669394493103027,0.696463406085968,0.02965754084289074,-0.5724714994430542,0.03859752416610718,1.0675327406201938,11.729492339725507,2.4774088336042794,-49.55875920406768,-0.38752119267757523,2.8647980276934932,-54.51428199964562,-1.0873869059428523,-3.6021840687374134,-3.22484928349107,174.39794701632192,143.56430200859904
3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,3,18,-54.1414794921875,2.4837052822113037,11.729492339725507,2.4774088336042794,21.780980190750352,2.802195371733298,-59.58818817138672,0.35305216908454895,0.7167441844940186,15.106414845453507,2.522103961359683,-62.97020721435547,0.5523739457130432,19.272724151611328,4.2862443923950195,34.85758972167969,4.7406005859375,0.7520135641098022,0.029201127588748932,-0.4429433345794678,0.035299427807331085,1.1705776701940607,15.639181120986155,3.3125483686658166,-53.534866067710624,-0.80429285465764,3.3434879384871734,-57.64550818893699,-0.8814474091462432,-3.504028696749486,-3.365152691357547,174.60648192310998,160.5772899929434
4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,3,18,-57.659645080566406,2.8609108924865723,15.639181120986155,3.3125483686658166,21.799502247507107,2.7967806175650667,-59.60603332519531,0.3603963255882263,0.7394951581954956,19.2535987891142,3.365034128967168,-74.73336029052734,5.058094501495361,31.406513214111328,1.280767560005188,48.228416442871094,4.959334850311279,1.072965145111084,0.014573666267096996,0.13601326942443848,0.03543392941355705,0.9698689328952393,19.890011398076755,2.746678364773677,-57.70196016916285,0.2081762340443749,2.653072131477651,-61.06003871509445,-0.6415523486375916,-3.400393634528043,-3.502463241124164,174.77809528184414,142.76315900497139
5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,3,18,-60.85377502441406,3.1642963886260986,19.890011398076755,2.746678364773677,25.150817692118686,2.7948117969413384,-62.93832778930664,0.7169530391693115,0.7461289167404175,23.117589115713635,2.798631933828281,-78.10476684570312,4.125687122344971,34.651405334472656,2.6336052417755127,50.533382415771484,5.111326217651367,1.221656084060669,0.012380206026136875,0.3625655770301819,0.03546934947371483,0.9301712331088906,23.336917263843283,2.7265207782717007,-61.127383923094186,0.5929339263030791,2.5858783308734488,-64.14514128436127,-0.472265461726169,-3.2913662599472175,-3.6365618503522676,174.81939594165135,157.71015296922997
6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,3,18,-64.02477264404297,3.465484857559204,23.336917263843283,2.7265207782717007,37.19722664733842,0.0233697394044704,-74.62387084960938,4.747454643249512,0.8206486105918884,26.52198285419817,2.7790338039727467,-77.74629974365234,3.906187057495117,34.265933990478516,2.951934814453125,49.066551208496094,5.196372985839844,1.1341768503189087,0.020976664498448372,0.24030649662017822,0.03393116965889931,1.1074775011554268,26.52198285419817,2.8164549382668014,-64.3040859308683,0.8405128466511096,2.6397905163569426,-67.2018156732335,-0.30174683902330957,-3.1770430291905294,-3.7672316965825137,174.83234715425644,150.86386998882517
7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,3,18,-67.50447845458984,3.795994520187378,26.52198285419817,2.8164549382668014,39.580955006842935,1.8295993611273431,-77.18533325195312,3.2035839557647705,0.7593979835510254,30.017126139965036,2.8747674064975257,-79.46158599853516,3.2997937202453613,35.904945373535156,3.345104217529297,41.820255279541016,5.010871887207031,1.126390814781189,0.030514376237988472,0.20207425951957703,0.03874602168798447,1.172031219826804,30.017126139965036,3.0385174942928734,-67.8031053660934,0.9895140504953845,2.822323627622592,-70.56200789127028,-0.09826408944263809,-3.0575294366804333,-3.894258609630016,174.90282264693823,185.45386503683403
8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,3,18,-70.70535278320312,4.076558589935303,30.017126139965036,3.0385174942928734,39.19444248572961,1.9427027070456189,-76.81295776367188,3.0502190589904785,0.7575044631958008,33.22971848128238,3.106832419129032,-83.75900268554688,2.6453816890716553,40.09769821166992,4.682242393493652,50.445556640625,5.223452091217041,1.2660609483718872,0.023153210058808327,0.41220635175704956,0.036784932017326355,1.1274256022349778,33.22971848128238,3.665988353736382,-71.06405576091255,0.7054863168662981,3.3901026675415356,-73.63829274052361,0.05912712551819155,-2.9329399573204826,-4.017431464417111,174.97122549737202,197.52784800948575
9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,3,18,-73.90149688720703,4.35670804977417,33.22971848128238,3.665988353736382,40.576228136100276,2.5696070451968778,-78.2533187866211,2.5730390548706055,0.7247884273529053,36.43756328176886,3.7356167041730695,-83.31334686279297,2.0586256980895996,39.58756637573242,4.937845706939697,45.5794792175293,5.061976909637451,1.335518479347229,0.022270798683166504,0.49740222096443176,0.036092791706323624,1.1245596975479228,36.43756328176886,4.310549572372382,-74.322093577118,0.4039618290499858,3.9750602839470726,-76.7048948581411,0.22016547625838356,-2.80339797093407,-4.136542573515786,175.00007536265252,168.95863000536337
