protocol,controlled_gt_prior,gt_prior_jitter_limit_m,prior_center_x,prior_center_y,prior_jitter_x,prior_jitter_y,progress_capped_to_gt,frame_id,image_path,gt_x,gt_y,gt_progress_s,gt_cross_e,gt_waypoint_leg,gt_step_parallel,gt_step_norm_m,controlled_gt_motion_envelope,gt_velocity_parallel,gt_heading_deg,gt_turn_rate_deg_per_frame,predicted_progress_s,predicted_cross_e,predicted_x,predicted_y,kalman_progress_std_m,acquisition_hypothesis_count,acquisition_radius_m,acquisition_selected_index,acquisition_target_index,acquisition_confidence,acquisition_margin,selected_hypothesis_center_s,selected_hypothesis_center_e,selected_candidate_capture,bank_candidate_capture,search_grid_size,raw_top1_x,raw_top1_y,hardms_x,hardms_y,visual_anchor_x,visual_anchor_y,visual_anchor_s,visual_anchor_e,visual_entropy,visual_margin,visual_var_s,visual_var_e,candidate_capture,measurement_s,measurement_e,measurement_var_s,measurement_var_e,local_visual_confidence,kalman_raw_measurement_s,kalman_raw_measurement_e,kalman_used_measurement_s,kalman_used_measurement_e,kalman_measurement_clip_s,kalman_measurement_clip_e,kalman_posterior_projection_m,kalman_step_limited,kalman_step_limit_m,kalman_motion_step_s,kalman_motion_step_e,v_parallel,v_cross,a_parallel,a_cross,heading_residual_deg,turn_rate_deg_per_frame,estimated_heading_deg,polynomial_heading_deg,heading_error_deg,poly_next_step_parallel,poly_next_step_cross,kalman_nis,kalman_r_scale,final_progress_s,final_cross_e,waypoint_leg_before_update,waypoint_leg,target_waypoint,route_remaining_m,route_leg_progress,progress_error_m,speed_error_m_per_frame,final_x,final_y,final_step_m,error_final_m
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_RNN_polynomial_constrained_Kalman,1,8.0,-41.41473208662878,-2.1012529727827833,-3.781751739949091,-2.9361491796385573,0,0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,-37.63298034667969,0.8348962068557739,1.6489573374209092e-06,1.4927559429529398e-07,0,0.0,0.0,1,0.0,173.92622821886636,0.0,0.0,0.0,-37.632978691184114,0.8348961808190729,3.647934002272275,1,0.0,0,0,0.4328393750041492,1.0,3.4498538970947266,3.319810152053833,1,1,6,-32.53472900390625,4.505537986755371,-37.266056060791016,4.535549163818359,-34.176910400390625,4.294039726257324,0.0,-3.805408239364624,0.5513505935668945,0.02468249201774597,6.22622013092041,23.745986938476562,1,-0.5175638794898987,-3.5324015617370605,8.657206535339355,24.249982833862305,0.4328393750041492,-0.5175638794898987,-3.5324015617370605,-0.5175638794898987,-2.0641849687568463,0.0,-1.4682165929802142,0.0,1,0.0,0.0,0.0,0.6479105949401855,-0.07220236957073212,-0.15524062514305115,-0.05716140195727348,0.237443122161163,-0.22404325150495003,174.1636713410275,174.1636713410275,0.237443122161163,0.5707030296325684,-0.09841883927583694,0.021302510067501758,1.0,0.0,0.0,0,0,1,729.3023853156254,0.0,1.6489573374209092e-06,0.6479105949401855,-37.632978691184114,0.8348961808190729,0.0,1.6557003061335768e-06
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_RNN_polynomial_constrained_Kalman,1,8.0,-51.3870498450466,-1.2895301306937865,-3.6947814734645634,-3.0817739690040282,0,1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,-47.69226837158203,1.7922438383102417,10.104117586693746,0.11238863701456824,0,10.10411593773641,10.104740969237914,1,10.10411593773641,174.56350519669104,0.6372769778246966,0.34242182970046997,-0.059051305055618286,-37.96723017792669,0.9298472718847717,5.319399694031088,1,0.0,0,0,0.41416814108683786,1.0,13.452078819274902,3.5678036212921143,1,1,6,-42.0279541015625,-0.19259993731975555,-46.75927734375,-0.16259177029132843,-45.23747253417969,-1.432462215423584,7.3218994140625,3.059253454208374,0.670826256275177,0.05604523420333862,42.30845260620117,34.16094207763672,1,7.173633575439453,3.3853750228881836,58.65269470214844,34.16776657104492,0.41416814108683786,7.173633575439453,3.3853750228881836,3.731384217689274,1.9743261277376645,3.442249357750179,1.4110488951505191,0.0,1,0.3474762813260631,0.34242182970046997,-0.059051305055618286,1.74082350730896,0.029507307335734367,0.12441298365592957,0.029626239091157913,-0.02551213726206617,-0.03634471056400061,173.9007160816043,173.9007160816043,0.6627891150867627,1.8030495643615723,0.0435175858438015,0.02567975397433097,1.0,0.3449044062530067,0.04219853826200901,0,0,1,728.9574809093724,0.00047292373259377176,9.75921318044074,8.36329243042745,-37.98041195135808,0.8294284748028167,0.3474762813260641,9.75946558737983
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_RNN_polynomial_constrained_Kalman,1,8.0,-54.51428199964562,-1.0873869059428523,-3.6021840687374134,-3.22484928349107,0,2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,-50.9120979309082,2.1374623775482178,13.342399770459824,0.10979455772263991,0,3.238282183766078,3.2382832227808875,1,3.238282183766078,173.8803305005938,-0.6831746960972553,1.5637029244338538,0.044688570726274836,-39.19263219250398,0.9559121304175711,8.534642891985708,1,0.0,0,0,0.14289990869805544,1.0,16.583145141601562,3.6976842880249023,1,1,6,-70.35478210449219,9.503743171691895,-60.98381805419922,-4.830735206604004,-59.57240676879883,-1.8062787055969238,21.53681182861328,4.947734832763672,0.9125677943229675,0.014452211558818817,92.45767211914062,57.70359802246094,1,21.655719757080078,5.548095703125,116.32341003417969,57.70407485961914,0.14289990869805544,21.655719757080078,5.548095703125,4.206677673353506,1.6304734200780662,17.44904208372657,3.9176222830469336,0.0,1,1.2188010617740297,1.2187985181808472,0.0024900324642658234,2.4658384323120117,0.040015507489442825,0.15173101425170898,0.040521107614040375,-0.045691270824314324,-0.0217095628437938,173.88053694804205,173.88053694804205,0.0002064474482443333,2.5417513847351074,0.05824912711977959,0.0036915405554780547,1.0,1.562966222300562,0.08464191782153314,0,0,1,727.7394190933248,0.0021430976420351976,11.779433548159263,0.7724437514540661,-39.196127044902084,0.9161051124325116,1.218801061774029,11.779460402361133
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_RNN_polynomial_constrained_Kalman,1,8.0,-57.64550818893699,-0.8814474091462432,-3.504028696749486,-3.365152691357547,0,3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,-54.1414794921875,2.4837052822113037,16.590288722828088,0.10719254995743437,0,3.247888952368264,3.2478899946519495,1,3.247888952368264,173.88032639355833,-4.107035451511243e-06,3.575536603465113,0.12058740782416529,-41.201203182838725,1.0933092277047571,11.868157084707772,1,0.0,0,0,0.19397049187169269,1.0,19.718584060668945,3.8242123126983643,1,1,6,-70.35478210449219,9.503743171691895,-60.98381805419922,-4.830735206604004,-60.5369758605957,-0.821093738079071,22.60020637512207,4.070140361785889,0.9034596681594849,0.03259332478046417,90.50204467773438,57.73947525024414,1,22.817514419555664,4.775937080383301,117.16304016113281,57.73965072631836,0.19397049187169269,22.817514419555664,4.775937080383301,6.358955456112268,1.7906387194124582,16.458558963443394,2.985298360970843,0.0,1,2.0128913575730696,2.012570381164551,0.03594549000263214,2.727443218231201,0.04029267281293869,0.15934579074382782,0.04136689379811287,-0.07153194418752208,-0.008522365201830105,173.85469627467882,173.85469627467882,0.02563011887951191,2.80718994140625,0.05747147649526596,0.0039798503093171,1.0,3.572471953050985,0.20133954193428902,0,0,1,725.7299133625744,0.0048984783609406415,13.017816769777102,0.5204457341370627,-41.20670002902643,1.0126861297272607,2.012891357573071,13.01815720859094
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_RNN_polynomial_constrained_Kalman,1,8.0,-61.06003871509445,-0.6415523486375916,-3.400393634528043,-3.502463241124164,0,4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,-57.659645080566406,2.8609108924865723,20.12861673793889,0.1043575616514216,0,3.538328015110803,3.5383291508389427,1,3.538328015110803,173.88032155632646,-4.837231877058128e-06,6.061814165727987,0.25020062830284984,-43.68723821715408,1.2274938456434386,14.877333373930604,1,0.0,0,0,0.3013089617171224,1.0,23.13932991027832,3.9469516277313232,1,1,6,-75.08610534667969,9.533742904663086,-70.41590118408203,-0.01257393043488264,-73.28302764892578,1.5071663856506348,35.52105712890625,3.103595495223999,0.6435408592224121,0.0036992430686950684,26.089811325073242,45.30224609375,1,36.164772033691406,4.1302056312561035,56.29515075683594,45.30229568481445,0.3013089617171224,36.164772033691406,4.1302056312561035,9.140413810450074,2.0973604151361016,27.024358223241332,2.032845216120002,0.0,1,2.4898216919242926,2.489342212677002,0.04886108636856079,3.1685357093811035,0.035816438496112823,0.156419575214386,0.04134516417980194,-0.1480825966513358,0.02245071841001952,173.77814562221502,173.77814562221502,0.1021759341114486,3.2468807697296143,0.048097532242536545,0.00470281939531086,1.0,6.055275000963714,0.3881578570214493,0,0,1,723.2471103146618,0.008302831751116692,14.073341736975177,0.3697923057296997,-43.69533286041512,1.0896191402692952,2.4898216919242953,14.076202977129148
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_RNN_polynomial_constrained_Kalman,1,8.0,-64.14514128436127,-0.472265461726169,-3.2913662599472175,-3.6365618503522676,0,5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,-60.85377502441406,3.1642963886260986,23.336917263843283,0.14064244739825194,0,3.2083005259043915,3.208505704756041,1,3.2083005259043915,174.57419812183036,0.6938765655039107,8.999140538607147,0.4365608146396858,-46.62779442560722,1.3529750186961145,16.228878980575786,1,0.0,0,0,0.5952434226792319,1.0,26.225027084350586,4.105046272277832,1,1,6,-79.81743621826172,9.563739776611328,-75.11666870117188,4.775583744049072,-77.13702392578125,3.9059526920318604,39.607234954833984,1.1260617971420288,0.6499819159507751,0.15212209522724152,18.313383102416992,42.246177673339844,1,40.39733123779297,2.293221950531006,50.21863555908203,42.2462043762207,0.5952434226792319,40.39733123779297,2.293221950531006,12.886059950975035,2.293221950531006,27.511271286817934,0.0,0.0,1,2.944263430814378,2.9438655376434326,0.04840295761823654,3.357543468475342,0.032237011939287186,0.15106353163719177,0.03993178904056549,-0.19228373897825018,0.04150920069038973,173.7339444798881,173.7339444798881,0.8402536419422737,3.4332311153411865,0.04068128764629364,0.012816689052744351,1.0,8.972166944029006,0.7886931769517129,0,0,1,720.3302183715964,0.01230239626893042,14.364750319814277,0.14924294257095028,-46.638230979774306,0.9999653109981079,2.944263430814372,14.379360955851938
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_RNN_polynomial_constrained_Kalman,1,8.0,-67.2018156732335,-0.30174683902330957,-3.1770430291905294,-3.7672316965825137,0,6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,-64.02477264404297,3.465484857559204,26.52198285419817,0.17666442190985815,0,3.1850655903548883,3.1852692817892896,1,3.1850655903548883,174.57419576006495,-2.3617654319307122e-06,12.157145158578418,0.8317532554014706,-49.809886408001816,1.2941459393634491,16.331583531722533,1,0.0,0,0,0.6206513122678108,1.0,29.28258514404297,4.258908271789551,1,1,6,-79.81743621826172,9.563739776611328,-75.11666870117188,4.775583744049072,-77.5286865234375,4.489935874938965,40.05848693847656,0.5867982506752014,0.6120627522468567,0.18169023096561432,15.353715896606445,38.26848602294922,1,40.915016174316406,1.8289594650268555,47.91023254394531,38.26850891113281,0.6206513122678108,40.915016174316406,1.8289594650268555,16.113936267314898,1.8289594650268555,24.80107990700151,0.0,0.0,1,3.1852692817892896,3.1849782145494117,0.04306007844975773,3.3838326930999756,0.032319728285074234,0.1508537083864212,0.03983699530363083,-0.23066287874945596,0.05305193357312699,173.6955653401169,173.6955653401169,0.8786304199480476,3.459441661834717,0.03831145912408829,0.013130222405689349,1.0,12.145773313323684,1.0610220411631737,0,0,1,717.1566120023017,0.016653960768368076,14.376209540874488,0.19876710274508724,-49.82283707298817,1.0649609152768944,3.185269281789288,14.403384642571417
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_RNN_polynomial_constrained_Kalman,1,8.0,-70.56200789127028,-0.09826408944263809,-3.0575294366804333,-3.894258609630016,0,7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,-67.50447845458984,3.795994520187378,30.017126139965036,0.21619386667028173,0,3.495143285766865,3.4953668140903713,1,3.495143285766865,174.57420559931634,9.839251396384248e-06,15.516432187835402,1.101516900381771,-53.178859416899876,1.38133902626615,17.825296327604637,1,0.0,0,0,0.36613448254467085,1.0,32.64544677734375,4.412105560302734,1,1,6,-84.54875946044922,9.593735694885254,-79.84799194335938,4.805581092834473,-82.4906005859375,4.7575201988220215,45.0208625793457,0.8457306027412415,0.6077423691749573,0.014450818300247192,12.93586540222168,30.60149383544922,1,45.932220458984375,2.1436102390289307,46.12547302246094,30.601511001586914,0.36613448254467085,45.932220458984375,2.1436102390289307,18.77330201483325,2.1436102390289307,27.158918444151126,0.0,0.0,1,3.370902116933647,3.3706588745117188,0.04049485921859741,3.4586732387542725,0.0306477602571249,0.14733168482780457,0.039241623133420944,-0.26575142814566266,0.06785778933183784,173.66047679072068,173.66047679072068,0.9137288085956506,3.53253436088562,0.03388426452875137,0.004145256763646557,1.0,15.5129064120055,1.2203825686131589,0,0,1,713.78947890362,0.02127088396302429,14.504219727959537,0.03647004701259249,-53.187930476692614,1.262767553923374,3.370902116933651,14.53894029377796
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_RNN_polynomial_constrained_Kalman,1,8.0,-73.63829274052361,0.05912712551819155,-2.9329399573204826,-4.017431464417111,0,8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,-70.70535278320312,4.076558589935303,33.22971848128238,0.2758856861948469,0,3.2125923413173467,3.2131468476882663,1,3.2125923413173467,174.9906943779613,0.4164887786449554,18.725875011939777,1.2542269277501823,-56.38644406086802,1.5690738004388407,18.197736195158697,1,0.0,0,0,0.4984484201790658,1.0,35.72111511230469,4.581096172332764,1,1,6,-89.28009033203125,9.623729705810547,-84.5793228149414,4.835577011108398,-87.26212310791016,4.342400550842285,49.721675872802734,1.7633894681930542,0.6327273845672607,0.07403719425201416,11.60981559753418,36.05539321899414,1,50.643211364746094,3.0640041828155518,45.15660095214844,36.0554084777832,0.4984484201790658,50.643211364746094,3.0640041828155518,22.34660816743221,3.0640041828155518,28.296603197313885,0.0,0.0,1,3.213146847688266,3.2129685999342796,0.03384435913702335,3.479104995727539,0.03184332698583603,0.1492975950241089,0.039981771260499954,-0.2869466523985494,0.07750849311341546,173.6392815664678,173.6392815664678,1.3514128114934927,3.553968906402588,0.034035854041576385,0.00847346330083073,1.0,18.706199173740174,1.5770252506661944,0,0,1,710.5961861418853,0.0256494419192727,14.523519307542209,0.26651265441019234,-56.40103360339104,1.2460056325002216,3.2131468476882614,14.581686364847664
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_RNN_polynomial_constrained_Kalman,1,8.0,-76.7048948581411,0.22016547625838356,-2.80339797093407,-4.136542573515786,0,9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,-73.90149688720703,4.35670804977417,36.43756328176886,0.33548928842530945,0,3.207844800486477,3.2083984873152747,1,3.207844800486477,174.99069428429587,-9.36654270362917e-08,21.914438726704503,1.6089599371714653,-59.594642626847076,1.5537104564909623,18.205332128419922,1,0.0,0,0,0.4890717888798418,1.0,38.787540435791016,4.74543571472168,1,1,6,-89.28009033203125,9.623729705810547,-84.5793228149414,4.835577011108398,-87.27328491210938,4.204402923583984,49.71817398071289,1.901793360710144,0.6370289325714111,0.07160434126853943,11.919164657592773,37.08595275878906,1,50.6593017578125,3.2249295711517334,45.97697448730469,37.08596420288086,0.4890717888798418,50.6593017578125,3.2249295711517334,25.50938614612407,3.2249295711517334,25.14991561168843,0.0,0.0,1,3.2083984873152747,3.2082395529643284,0.03193468650527107,3.5969178676605225,0.026943687349557877,0.14001773297786713,0.0375078059732914,-0.312545294273258,0.09584619033315098,173.6136829245931,173.6136829245931,1.3770113597027744,3.667121410369873,0.02569412812590599,0.008218680603190698,1.0,21.89834415235817,1.8995640683158617,0,0,1,707.4040411632673,0.030026426065891815,14.53921912941069,0.38907306717404566,-59.60938689826072,1.263034687253037,3.20839848731527,14.623105785369662
