protocol,controlled_gt_prior,search_center_x,search_center_y,progress_capped_to_gt,frame_id,image_path,gt_x,gt_y,gt_progress_s,gt_cross_e,gt_waypoint_leg,gt_step_parallel,gt_step_norm_m,controlled_gt_motion_envelope,gt_velocity_parallel,gt_heading_deg,gt_turn_rate_deg_per_frame,predicted_progress_s,predicted_cross_e,predicted_x,predicted_y,kalman_progress_std_m,acquisition_hypothesis_count,acquisition_radius_m,acquisition_selected_index,acquisition_target_index,acquisition_confidence,acquisition_margin,selected_hypothesis_center_s,selected_hypothesis_center_e,selected_candidate_capture,bank_candidate_capture,search_grid_size,search_candidate_count,forward_only_search,search_heading_deg,raw_top1_x,raw_top1_y,softms_x,softms_y,visual_anchor_x,visual_anchor_y,visual_anchor_s,visual_anchor_e,visual_entropy,visual_margin,visual_var_s,visual_var_e,candidate_capture,measurement_s,measurement_e,measurement_var_s,measurement_var_e,local_visual_confidence,kalman_raw_measurement_s,kalman_raw_measurement_e,kalman_used_measurement_s,kalman_used_measurement_e,kalman_measurement_clip_s,kalman_measurement_clip_e,kalman_posterior_projection_m,kalman_step_limited,kalman_step_limit_m,kalman_motion_step_s,kalman_motion_step_e,v_parallel,v_cross,a_parallel,a_cross,heading_residual_deg,turn_rate_deg_per_frame,estimated_heading_deg,polynomial_heading_deg,heading_error_deg,poly_next_step_parallel,poly_next_step_cross,kalman_nis,kalman_r_scale,final_progress_s,final_cross_e,waypoint_leg_before_update,waypoint_leg,target_waypoint,route_remaining_m,route_leg_progress,progress_error_m,speed_error_m_per_frame,final_x,final_y,final_step_m,gt_step_for_jump_m,excess_step_over_gt_m,abnormal_jump,error_final_m,end_to_end_latency_ms
W0_closedloop_forward3x6_SoftMS_minimal_3frame_GRU_heading_polynomial_external_Kalman,0,-37.632978691184114,0.8348961808190729,0,0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,-37.63298034667969,0.8348962068557739,1.6489573374209092e-06,1.4927559429529398e-07,0,0.0,0.0,0,0.0,173.92622821886636,0.0,0.0,0.0,-37.632978691184114,0.8348961808190729,3.0524411446349755,1,0.0,0,0,0.2147879626174814,1.0,0.0,0.0,1,1,6,18,1,173.92622821886636,-42.0279541015625,-0.19259993731975555,-46.07093811035156,-0.42947515845298767,-46.07093811035156,-0.42947515845298767,8.256811141967773,2.1500847339630127,0.8822693824768066,0.01687125861644745,13.50910472869873,39.262088775634766,1,8.256811141967773,2.1500847339630127,13.50910472869873,39.262088775634766,0.2147879626174814,8.256811141967773,2.1500847339630127,5.0,2.1500847339630127,3.2568111419677734,0.0,0.0,1,0.0,0.0,0.0,1.0544110536575317,-0.032139867544174194,2.241683006286621,-0.015753652900457382,-0.03645385018342867,0.0,173.8897743686829,173.8897743686829,0.03645385018342867,2.1752264499664307,-0.04140067100524902,0.7152079110561942,1.0,0.0,0.0,0,0,1,729.3023853156254,0.0,1.6489573374209092e-06,1.0544110536575317,-37.632978691184114,0.8348961808190729,0.0,0.0,0.0,0,1.6557003061335768e-06,61.40519678592682
W0_closedloop_forward3x6_SoftMS_minimal_3frame_GRU_heading_polynomial_external_Kalman,0,-38.92815991998833,0.9976921212927479,0,1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,-47.69226837158203,1.7922438383102417,10.104117586693746,0.11238863701456824,0,10.104740969237914,10.104740969237914,0,10.104740969237914,174.56350519669104,0.6372769778246966,1.30513596534729,-0.024840403348207474,-38.92815991998833,0.9976921212927479,3.2912261922807127,1,0.0,0,0,0.20537443322829763,1.0,1.30513596534729,-0.024840403348207474,1,1,6,18,1,173.91346937130214,-42.0279541015625,-0.19259993731975555,-46.09498977661133,-0.34787529706954956,-46.09498977661133,-0.34787529706954956,8.289361953735352,2.0714879035949707,0.8832710981369019,0.013191655278205872,13.474817276000977,38.798091888427734,1,8.289361953735352,2.0714879035949707,13.474817276000977,38.798091888427734,0.20537443322829763,8.289361953735352,2.0714879035949707,6.30513596534729,2.0714879035949707,1.9842259883880615,0.0,0.0,1,1.305372335267415,1.30513596534729,-0.024840403348207474,1.1932659149169922,-0.04651977866888046,2.94404935836792,-0.023671286180615425,-0.03468775936519775,0.0,173.89154045950116,173.89154045950116,0.6719647371898944,2.665254831314087,-0.05996901914477348,0.6200424027508064,1.0,1.2913409531926903,0.1908807907802623,0,0,1,728.0110443624327,0.0017706523099246787,8.812776633501056,8.911475054320922,-38.93726756501735,0.7817222466375454,1.3053723352674185,10.104740969237914,0.0,0,8.81312617691276,61.26824393868446
W0_closedloop_forward3x6_SoftMS_minimal_3frame_GRU_heading_polynomial_external_Kalman,0,-41.04170888491479,1.0518246310665902,0,2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,-50.9120979309082,2.1374623775482178,13.342399770459824,0.10979455772263991,0,3.2382832227808875,3.2382832227808875,0,3.2382832227808875,173.8803305005938,-0.6831746960972553,3.4125481904363424,0.1449632164639991,-41.04170888491479,1.0518246310665902,4.046600335017259,1,0.0,0,0,0.33234077645596405,1.0,3.412548303604126,0.14496321976184845,1,1,6,18,1,173.9057942522135,-46.75927734375,-0.16259177029132843,-51.32820129394531,-1.1296653747558594,-51.32820129394531,-1.1296653747558594,13.410475730895996,3.4026095867156982,0.9254268407821655,0.07374170422554016,15.372620582580566,38.71936798095703,1,13.410475730895996,3.4026095867156982,15.372620582580566,38.71936798095703,0.33234077645596405,13.410475730895996,3.4026095867156982,8.412548190436343,3.144963216463999,4.997927540459653,0.25764637025169934,0.0,1,2.1217041657511864,2.1212072372436523,-0.0459175743162632,1.2518397569656372,-0.052613984793424606,3.1869888305664062,-0.02716793492436409,-0.037003020071060176,0.0,173.8892251987953,173.8892251987953,0.008894698201498477,2.8452908992767334,-0.06803552806377411,0.44968578527752834,1.0,3.3536237453735396,0.6894971282990991,0,0,1,725.9487615702519,0.004598399529328521,9.988776025086285,1.9864434658152503,-41.04073173830802,0.5041127391481249,2.12170416575118,3.2382832227808875,0.0,0,10.005583518699526,62.60687392205
W0_closedloop_forward3x6_SoftMS_minimal_3frame_GRU_heading_polynomial_external_Kalman,0,-43.575780486424605,0.833380111300868,0,3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,-54.1414794921875,2.4837052822113037,16.590288722828088,0.10719254995743437,0,3.2478899946519495,3.2478899946519495,0,3.2478899946519495,173.88032639355833,-4.107035451511243e-06,5.909281370571904,0.6303087809892713,-43.575780486424605,0.833380111300868,3.806759474250538,1,0.0,0,0,0.29444919439636247,1.0,5.909281253814697,0.6303088068962097,1,1,6,18,1,173.8999950814327,-46.75927734375,-0.16259177029132843,-51.360443115234375,-1.0900447368621826,-51.360443115234375,-1.0900447368621826,13.44672966003418,3.3666229248046875,0.9306851029396057,0.05988532304763794,15.346877098083496,39.28235626220703,1,13.44672966003418,3.3666229248046875,15.346877098083496,39.28235626220703,0.29444919439636247,13.44672966003418,3.3666229248046875,10.909281370571904,3.3666229248046875,2.537448289462276,0.0,0.13189016038990609,1,2.556342926465816,2.5556576251983643,-0.059188347309827805,1.279710292816162,-0.05540536344051361,3.292658805847168,-0.02877812832593918,-0.04131262597844691,0.0,173.8849155928879,173.8849155928879,0.004589199329563257,2.9259886741638184,-0.07190421223640442,0.46233424806456647,1.0,5.831519772594483,1.317924081870061,0,0,1,723.470865543031,0.007996024543469352,10.758768950233605,1.9681797018357874,-43.57121121156015,0.141396881841805,2.5563429264658195,3.2478899946519495,0.0,0,10.826679092264547,62.18777783215046
W0_closedloop_forward3x6_SoftMS_minimal_3frame_GRU_heading_polynomial_external_Kalman,0,-46.32640409767495,0.5017615419926982,0,4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,-57.659645080566406,2.8609108924865723,20.12861673793889,0.1043575616514216,0,3.5383291508389427,3.5383291508389427,0,3.5383291508389427,173.88032155632646,-4.837231877058128e-06,8.609376122539551,1.2511062170944034,-46.32640409767495,0.5017615419926982,3.803831774003546,1,0.0,0,0,0.1362026836559212,1.0,8.609375953674316,1.2511062622070312,1,1,6,18,1,173.89471726119243,-56.221927642822266,-0.10258004069328308,-56.26401901245117,-1.4838366508483887,-56.26401901245117,-1.4838366508483887,18.281112670898438,4.277046203613281,0.9608626961708069,0.004720039665699005,15.274238586425781,45.06184768676758,1,18.281112670898438,4.277046203613281,15.274238586425781,45.06184768676758,0.1362026836559212,18.281112670898438,4.277046203613281,13.609376122539551,4.251106217094403,4.671736548358886,0.025939986518877856,0.0,1,2.7786598438785766,2.7778563499450684,-0.06681786477565765,1.294465184211731,-0.056778717786073685,3.346151828765869,-0.029562799260020256,-0.0462848903024038,0.0,173.87994332856394,173.87994332856394,0.0003782277625165747,2.967482566833496,-0.07395733892917633,0.49380274538388386,1.0,8.547334402343516,1.9055476219230747,0,0,1,720.7550509132819,0.011719877206550511,11.581282335595375,2.2438639666272118,-46.33395636391372,-0.15557071088530172,2.778659843878575,3.5383291508389427,0.0,0,11.720511344220222,62.047455459833145
W0_closedloop_forward3x6_SoftMS_minimal_3frame_GRU_heading_polynomial_external_Kalman,0,-49.20183304597101,0.2210920746311158,0,5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,-60.85377502441406,3.1642963886260986,23.336917263843283,0.14064244739825194,0,3.208505704756041,3.208505704756041,0,3.208505704756041,174.57419812183036,0.6938765655039107,11.438966482421641,1.8344460681849575,-49.20183304597101,0.2210920746311158,3.7903391846010535,1,0.0,0,0,0.19127870441937314,1.0,11.438966751098633,1.8344460725784302,1,1,6,18,1,173.88954638443894,-56.221927642822266,-0.10258004069328308,-60.76506042480469,-1.2902748584747314,-60.76506042480469,-1.2902748584747314,22.777366638183594,4.560821056365967,0.9672511219978333,0.02971823513507843,14.674612045288086,51.8543586730957,1,22.777366638183594,4.560821056365967,14.674612045288086,51.8543586730957,0.19127870441937314,22.777366638183594,4.560821056365967,16.43896648242164,4.560821056365967,6.338400155761953,0.0,0.0,1,2.8925060963601994,2.891632080078125,-0.07110155373811722,1.302884578704834,-0.057447146624326706,3.3759326934814453,-0.02992899902164936,-0.05118335656681282,0.0,173.87504486229955,173.87504486229955,0.6991532595308362,2.9907851219177246,-0.07508339732885361,0.4695864516379577,1.0,11.402878439459524,2.3664812066965557,0,0,1,717.8995068761659,0.015635323110213904,11.934038824383759,1.9056211260512068,-49.22224162771506,-0.31177491181774153,2.8925060963601954,3.208505704756041,0.0,0,12.139836936478744,61.61920074373484
W0_closedloop_forward3x6_SoftMS_minimal_3frame_GRU_heading_polynomial_external_Kalman,0,-52.14902343487183,0.07355834164182484,0,6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,-64.02477264404297,3.465484857559204,26.52198285419817,0.17666442190985815,0,3.1852692817892896,3.1852692817892896,0,3.1852692817892896,174.57419576006495,-2.3617654319307122e-06,14.354002392325125,2.2929905423336483,-52.14902343487183,0.07355834164182484,3.4680425249431406,1,0.0,0,0,0.18181280023021495,1.0,14.354001998901367,2.2929904460906982,1,1,6,18,1,173.8844708501894,-56.221927642822266,-0.10258004069328308,-60.76407241821289,-1.3042269945144653,-60.76407241821289,-1.3042269945144653,22.7749080657959,4.57459020614624,0.9690617322921753,0.026438765227794647,14.723875045776367,52.24443817138672,1,22.7749080657959,4.57459020614624,14.723875045776367,52.24443817138672,0.18181280023021495,22.7749080657959,4.57459020614624,19.354002392325125,4.57459020614624,3.4209056734707737,0.0,0.0,1,2.9520388654158314,2.9511239528656006,-0.07349066436290741,1.3079913854599,-0.057854555547237396,3.3937346935272217,-0.030156556516885757,-0.05521675669447724,0.0,173.87101146217188,173.87101146217188,0.7031842978930687,3.004786968231201,-0.07582861930131912,0.5548971112375494,1.0,14.32028558911311,2.817334826040712,0,0,1,714.9820997265123,0.019635594065574895,12.20169726508506,1.8772778963293897,-52.17097618461556,-0.4514100645063932,2.9520388654158327,3.1852692817892896,0.0,0,12.484172232552584,61.65214907377958
W0_closedloop_forward3x6_SoftMS_minimal_3frame_GRU_heading_polynomial_external_Kalman,0,-55.129626774492166,-0.06127508319575847,0,7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,-67.50447845458984,3.795994520187378,30.017126139965036,0.21619386667028173,0,3.4953668140903713,3.4953668140903713,0,3.4953668140903713,174.57420559931634,9.839251396384248e-06,17.30360749424922,2.7424413887147576,-55.129626774492166,-0.06127508319575847,3.4715372581926,1,0.0,0,0,0.14174287788779683,1.0,17.303607940673828,2.742441415786743,1,1,6,18,1,173.87976006404975,-70.35478210449219,9.503743171691895,-65.51451110839844,-0.881546139717102,-65.51451110839844,-0.881546139717102,27.54340362548828,4.656920909881592,0.9729176163673401,0.013468824326992035,16.406906127929688,59.777156829833984,1,27.54340362548828,4.656920909881592,16.406906127929688,59.777156829833984,0.14174287788779683,27.54340362548828,4.656920909881592,22.30360749424922,4.656920909881592,5.239796131239061,0.0,0.0,1,2.9842618210571668,2.9833219051361084,-0.07489343732595444,1.3112726211547852,-0.058073945343494415,3.4050722122192383,-0.030272845178842545,-0.05905444255395171,0.0,173.8671737763124,173.8671737763124,0.7070318230039397,3.0137317180633545,-0.07631664723157883,0.4984029184441419,1.0,17.289478182866002,3.116857709678036,0,0,1,712.0129071327594,0.023706871842169432,12.727647957099034,2.184094192935586,-55.15519335105071,-0.43508461893142725,2.984261821057171,3.4953668140903713,0.0,0,13.053998362569985,61.10259145498276
W0_closedloop_forward3x6_SoftMS_minimal_3frame_GRU_heading_polynomial_external_Kalman,0,-58.1318970995722,-0.0421699231494177,0,8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,-70.70535278320312,4.076558589935303,33.22971848128238,0.2758856861948469,0,3.2131468476882663,3.2131468476882663,0,3.2131468476882663,174.9906943779613,0.4164887786449554,20.291046023442174,3.041110346408707,-58.1318970995722,-0.0421699231494177,3.22624588185541,1,0.0,0,0,0.12130633361756846,1.0,20.291046142578125,3.0411102771759033,1,1,6,18,1,173.87535486217442,-70.35478210449219,9.503743171691895,-65.52518463134766,-0.7363216280937195,-65.52518463134766,-0.7363216280937195,27.56938362121582,4.513640880584717,0.9701375365257263,0.00460401177406311,16.486570358276367,59.36052322387695,1,27.56938362121582,4.513640880584717,16.486570358276367,59.36052322387695,0.12130633361756846,27.56938362121582,4.513640880584717,25.291046023442174,4.513640880584717,2.278337597773646,0.0,0.0,1,3.00252346612368,3.001567840576172,-0.07574736326932907,1.3134634494781494,-0.058200448751449585,3.4125962257385254,-0.030336571857333183,-0.06248044943337424,0.0,173.86374776943296,173.86374776943296,1.1269466085283175,3.019679546356201,-0.07666170597076416,0.6058526512568193,1.0,20.280130063792527,3.3835944558042637,0,0,1,709.0222552518329,0.02780757402159839,12.949588417489856,1.899683398210117,-58.157280278014966,-0.3838864981288639,3.002523466123685,3.2131468476882663,0.0,0,13.317270515353165,61.795796267688274
W0_closedloop_forward3x6_SoftMS_minimal_3frame_GRU_heading_polynomial_external_Kalman,0,-61.14473209496647,0.010723564340513914,0,9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,-73.90149688720703,4.35670804977417,36.43756328176886,0.33548928842530945,0,3.2083984873152747,3.2083984873152747,0,3.2083984873152747,174.99069428429587,-9.36654270362917e-08,23.292565023204148,3.3072984839338413,-61.14473209496647,0.010723564340513914,3.2463373155695447,1,0.0,0,0,0.1621915490044999,1.0,23.292564392089844,3.307298421859741,1,1,6,18,1,173.8712923803819,-75.08610534667969,9.533742904663086,-71.70867919921875,-0.11947863548994064,-71.70867919921875,-0.11947863548994064,33.7834358215332,4.554529190063477,0.8842798471450806,0.0006068050861358643,15.190293312072754,54.51067352294922,1,33.7834358215332,4.554529190063477,15.190293312072754,54.51067352294922,0.1621915490044999,33.7834358215332,4.554529190063477,28.292565023204148,4.554529190063477,5.4908707983290554,0.0,0.0,1,3.0134009789619682,3.012434959411621,-0.07629597187042236,1.3149453401565552,-0.05824331194162369,3.417663335800171,-0.030348697677254677,-0.0660449277260482,0.0,173.8601832911403,173.8601832911403,1.1305109931555646,3.0236904621124268,-0.07690312713384628,0.5349118673868014,1.0,23.288707470589575,3.5540275726545136,0,0,1,706.0136778450359,0.031932855204512674,13.148855811179285,1.8934531471587195,-61.16700232615256,-0.23502867010716155,3.013400978961962,3.2083984873152747,0.0,0,13.537038000620091,62.031153589487076
