frame_id,image_path,reference_x,reference_y,search_center_x,search_center_y,search_center_error_m,base_ms_x,base_ms_y,base_ms_error_m,base_ms_candidate_count,variance_x,variance_y,final_x,final_y,error_final_m,gru_xy_x,gru_xy_y,kalman_xy_x,kalman_xy_y,center_ms_xy_x,center_ms_xy_y,center_ms_candidate_count
0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,0.0,-29.69103240966797,0.6151264905929565,7.944988090764576,36,15.407035827636719,52.73325729370117,-27.231346130371094,0.498327374458313,10.40707802165541,-31.2840518951416,1.1781179904937744,-30.963647842407227,0.7216981649398804,-27.231346130371094,0.498327374458313,36
1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,-47.69226837158203,1.7922438383102417,-47.69226837158203,1.7922438383102417,0.0,-39.5966911315918,-1.8984417915344238,8.897164226144746,36,17.700273513793945,54.681270599365234,-27.68947982788086,1.5698906183242798,20.004024357075277,-30.478111267089844,-2.1323156356811523,-31.984100341796875,-0.8764139413833618,-27.68947982788086,1.5698906183242798,36
2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,-50.9120979309082,2.1374623775482178,-50.9120979309082,2.1374623775482178,0.0,-51.9869384765625,0.570592999458313,1.900095220397723,36,8.272064208984375,50.80286407470703,-29.4920597076416,1.4717365503311157,21.430380966357692,-38.86506652832031,-1.9385696649551392,-42.50088882446289,-0.4164659082889557,-29.4920597076416,1.4717365503311157,36
3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,-54.1414794921875,2.4837052822113037,-54.1414794921875,2.4837052822113037,0.0,-54.185997009277344,4.601127624511719,2.117890267459771,36,40.894752502441406,50.973228454589844,-38.49626159667969,-2.853245258331299,16.530453232446952,-46.91770935058594,0.7916134595870972,-50.47269821166992,2.1759302616119385,-38.49626159667969,-2.853245258331299,36
4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,-57.659645080566406,2.8609108924865723,-57.659645080566406,2.8609108924865723,0.0,-53.45266342163086,4.556041240692139,4.535654481552537,36,46.25640106201172,52.777584075927734,-50.502532958984375,4.317763328552246,7.303880676829745,-51.29528045654297,2.440305709838867,-54.626380920410156,3.681154251098633,-50.502532958984375,4.317763328552246,36
5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,-60.85377502441406,3.1642963886260986,-60.85377502441406,3.1642963886260986,0.0,-73.4153060913086,9.627350807189941,14.126681675534211,36,93.09471130371094,43.707462310791016,-73.4153060913086,9.627350807189941,14.126681675534211,-59.30329513549805,5.055898666381836,-64.28559875488281,7.115807056427002,-73.4153060913086,9.627350807189941,36
6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,-64.02477264404297,3.465484857559204,-64.02477264404297,3.465484857559204,0.0,-76.6735610961914,7.9935503005981445,13.434851170133859,36,30.732107162475586,42.115447998046875,-78.72355651855469,7.616741180419922,15.27374140306483,-68.31950378417969,5.928582191467285,-73.86697387695312,8.335955619812012,-78.72355651855469,7.616741180419922,36
7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,-67.50447845458984,3.795994520187378,-67.50447845458984,3.795994520187378,0.0,-75.13109588623047,6.675940990447998,8.15226257674342,36,34.660797119140625,42.58963394165039,-79.90371704101562,6.381417751312256,12.66592005371699,-73.09368896484375,5.998166561126709,-78.69279479980469,8.408661842346191,-79.90371704101562,6.381417751312256,36
8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,-70.70535278320312,4.076558589935303,-70.70535278320312,4.076558589935303,0.0,-77.14640045166016,6.686550617218018,6.949759236823611,36,35.30708694458008,43.71688461303711,-79.10327911376953,6.523624420166016,8.747187995641987,-75.3803939819336,5.711441993713379,-81.4210205078125,8.257287979125977,-79.10327911376953,6.523624420166016,36
9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,-73.90149688720703,4.35670804977417,-73.90149688720703,4.35670804977417,0.0,-77.87831115722656,5.52518892288208,4.144924521514234,36,35.64717483520508,44.25139617919922,-77.87831115722656,5.52518892288208,4.144924521514234,-75.73225402832031,5.024408340454102,-82.29512786865234,7.493522644042969,-77.87831115722656,5.52518892288208,36
