frame_id,image_path,gt_x,gt_y,gt_progress_s,gt_cross_e,gt_waypoint_leg,gt_step_parallel,gt_velocity_parallel,predicted_progress_s,predicted_cross_e,predicted_x,predicted_y,search_grid_size,raw_top1_x,raw_top1_y,hardms_x,hardms_y,visual_anchor_x,visual_anchor_y,visual_anchor_s,visual_anchor_e,visual_entropy,visual_margin,visual_var_s,visual_var_e,candidate_capture,measurement_s,measurement_e,measurement_var_s,measurement_var_e,v_parallel,v_cross,a_parallel,a_cross,poly_next_step_parallel,poly_next_step_cross,kalman_nis,kalman_r_scale,final_progress_s,final_cross_e,waypoint_leg_before_update,waypoint_leg,target_waypoint,route_remaining_m,route_leg_progress,progress_error_m,speed_error_m_per_frame,final_x,final_y,final_step_m,error_final_m
0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,-37.63298034667969,0.8348962068557739,1.6489573374209092e-06,1.4927559429529398e-07,0,10.10411593773641,10.10411593773641,0.0,0.0,-37.632978691184114,0.8348961808190729,12,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,-27.84847640991211,10.800833702087402,0.0,-10.945281028747559,0.5000625848770142,0.19976487755775452,13.45047664642334,37.206451416015625,1,-0.8618794679641724,-10.161154747009277,22.6263484954834,37.46979904174805,1.0001516342163086,0.05793016031384468,-0.12182943522930145,0.046172019094228745,0.9392369389533997,0.0810161679983139,2.517639704167337,1.0,0.0,-0.9801016625887137,0,0,1,729.3023853156254,0.0,1.6489573374209092e-06,9.103964303520101,-37.52927522869179,1.8094960273593146,0.0,0.9801018118656949
1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,-47.69226837158203,1.7922438383102417,10.104117586693746,0.11238863701456824,0,3.238282183766078,6.671199060751244,0.9392369166016579,-0.8990854927277546,-38.47181195460387,1.8283142523888758,12,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,-27.84864616394043,10.793414115905762,0.0,-10.937885284423828,0.5048695206642151,0.1966206282377243,13.898273468017578,38.0249137878418,1,-1.3953415155410767,-9.753074645996094,28.19997215270996,38.13121032714844,1.0484063625335693,0.06619817763566971,-0.13438738882541656,0.05213957652449608,0.9812126755714417,0.0922679677605629,1.666863173065912,1.0,0.2065209352217554,-3.1455638718172554,0,0,1,729.0958643804037,0.00028317600405540684,9.897596651471991,5.622792698217674,-37.505511717101264,3.984654130072474,2.1752879065268176,10.420013148985618
2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,-50.9120979309082,2.1374623775482178,13.342399770459824,0.10979455772263991,0,3.247888952368264,3.243085568067171,1.1877336033426165,-3.0532959059193376,-38.49097910296773,3.9967251285947394,12,-27.772829055786133,9.233684539794922,-27.74225425720215,13.991843223571777,-27.868152618408203,11.26099967956543,0.0,-11.400781631469727,0.513177752494812,0.19349896907806396,13.901817321777344,41.80511474609375,1,-1.3023865222930908,-10.0358247756958,35.35850524902344,41.83329772949219,1.1574769020080566,0.06104890629649162,-0.07945804297924042,0.04871417209506035,1.1177479028701782,0.08540599048137665,0.7593742604835755,1.0,0.2065209352217554,-6.059254720797579,0,0,1,729.0958643804037,0.00028317600405540684,13.135878835238069,2.085608666059114,-37.197217341930646,6.8819889297926995,2.913690848980324,14.51235617585464
3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,-54.1414794921875,2.4837052822113037,16.590288722828088,0.10719254995743437,0,3.538328015110803,3.3931084837395336,1.3242688157401918,-5.973848728453557,-38.31772743988002,6.915330020435084,12,-27.772829055786133,9.233684539794922,-27.74225425720215,13.991843223571777,-28.06536102294922,11.3883056640625,0.0,-11.50650691986084,0.520434558391571,0.19335278868675232,15.943946838378906,41.27111053466797,1,-0.232596293091774,-10.004146575927734,55.57078552246094,41.27202224731445,1.5813528299331665,0.007575275842100382,0.15700732171535492,0.0028207069262862206,1.6598564386367798,0.008985629305243492,0.22302684883364599,1.0,0.6987597675852998,-7.987455014005701,0,0,1,728.6036255480401,0.0009581207763126847,15.891528955242789,1.811755653806367,-37.48267226398362,8.851448481621638,1.99003905459529,17.834349209323403
4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,-57.659645080566406,2.8609108924865723,20.12861673793889,0.1043575616514216,0,3.2083005259043915,3.3733142705075974,2.3586162583761436,-7.978469384700458,-39.134161883744056,9.018140855106546,12,-27.772829055786133,9.233684539794922,-27.74225425720215,13.991843223571777,-28.161386489868164,11.595067977905273,0.0,-11.701948165893555,0.5256544947624207,0.1868566870689392,16.789518356323242,42.61029052734375,1,-0.003480170853435993,-10.014925003051758,65.61503601074219,42.610450744628906,1.7175171375274658,-0.006562366615980864,0.1871531903743744,-0.010002839379012585,1.8110936880111694,-0.011563786305487156,0.10189417235237003,1.0,1.4239826317984248,-8.958135854042393,0,0,1,727.878402683827,0.0019525270456672887,18.704634106140468,1.6557971329801315,-38.101117422501,9.893415410990437,1.2116804430178054,20.784420221745105
5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,-60.85377502441406,3.1642963886260986,23.336917263843283,0.14064244739825194,0,3.1850655903548883,3.19668305812964,3.235076364513078,-8.96969964034788,-39.900821000837325,10.096544089308946,12,-27.772829055786133,9.233684539794922,-27.74225425720215,13.991843223571777,-28.312267303466797,11.86311149597168,0.0,-11.952522277832031,0.515647828578949,0.1841103881597519,14.939590454101562,42.96142578125,1,-0.2380267083644867,-10.172710418701172,66.88785552978516,42.96151351928711,1.731225848197937,-0.009340349584817886,0.17429526150226593,-0.013613485731184483,1.818373441696167,-0.01614709198474884,0.1260717684676185,1.0,1.8367362738432254,-9.517715155840365,0,0,1,727.4656490417822,0.002518483842677037,21.500180990000057,1.465457209931703,-38.452345604433745,10.493526507570204,0.6953377337826221,23.569931145313028
6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,-64.02477264404297,3.465484857559204,26.52198285419817,0.17666442190985815,0,3.495143285766865,3.3401044380608766,3.6551097527922956,-9.533862248290776,-40.25880310952961,10.701983025392902,12,-27.772829055786133,9.233684539794922,-27.74225425720215,13.991843223571777,-28.37857437133789,11.914873123168945,0.0,-11.996977806091309,0.5165544152259827,0.18616817891597748,15.399415969848633,42.879241943359375,1,0.6366649270057678,-10.23436450958252,75.7752914428711,42.8792610168457,1.922959566116333,-0.02148759365081787,0.2593573033809662,-0.023950820788741112,2.052638292312622,-0.033463004976511,0.08239803198626733,1.0,2.5427526517737284,-9.838282919037706,0,0,1,726.7596326638517,0.003486554689757779,23.979230202424443,1.4171448719445436,-39.12047983129484,10.886997563181902,0.7753855922748715,25.986585988598375
7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,-67.50447845458984,3.795994520187378,30.017126139965036,0.21619386667028173,0,3.2125923413173467,3.353867813542106,4.5953908695805445,-9.871745923082894,-41.15805484919408,11.137460079886026,12,-27.772829055786133,9.233684539794922,-27.74225425720215,13.991843223571777,-28.49449920654297,11.95736312866211,0.0,-12.026963233947754,0.5206847190856934,0.1869051456451416,17.324277877807617,43.104881286621094,1,1.3805302381515503,-10.328201293945312,84.08171844482422,43.10488510131836,2.0379061698913574,-0.02787194959819317,0.29987287521362305,-0.029750259593129158,2.187842607498169,-0.04274708032608032,0.08319814250564984,1.0,3.4829258987176948,-10.062545242814119,0,0,1,725.8194594169078,0.004775695197007156,26.53420024124734,1.3159616436507484,-40.03164645492028,11.209479668306773,0.9665502181132413,28.455513703383655
8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,-70.70535278320312,4.076558589935303,33.22971848128238,0.2758856861948469,0,3.207844800486477,3.2102185709019118,5.670768506215864,-10.105292322208877,-42.20268455290396,11.483479969555798,12,-27.772829055786133,9.233684539794922,-27.74225425720215,13.991843223571777,-28.787837982177734,12.056169509887695,0.0,-12.09417724609375,0.5295075178146362,0.18765997886657715,23.24226188659668,43.83381652832031,1,1.9852209091186523,-10.462340354919434,95.15416717529297,43.83382034301758,2.1260650157928467,-0.031735628843307495,0.3278082609176636,-0.03305763751268387,2.2899692058563232,-0.04826444759964943,0.09823367485313232,1.0,4.4768197078865954,-10.250184084092561,0,0,1,724.8255656077388,0.006138495907906745,28.75289877339579,1.084153555109065,-41.00010716934006,11.501227990129031,1.0114510559886634,30.61906812236623
9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,-73.90149688720703,4.35670804977417,36.43756328176886,0.33548928842530945,0,3.521925253995086,3.3648850272407813,6.766788854138274,-10.29844853169221,-43.27211473058206,11.791520582776394,12,-27.772829055786133,9.233684539794922,-27.74225425720215,13.991843223571777,-28.748058319091797,12.229437828063965,0.0,-12.270681381225586,0.5303356051445007,0.1832301765680313,22.151981353759766,46.28121566772461,1,2.0724496841430664,-10.672647476196289,95.74118041992188,46.28121566772461,2.0996010303497314,-0.03203815966844559,0.3103059232234955,-0.03365279734134674,2.254754066467285,-0.04886455833911896,0.15535437175574007,1.0,5.2033146885342445,-10.44468092386984,0,0,1,724.0990706270912,0.007134646469423473,31.234248593234614,1.2652839968910499,-41.70194446559143,11.771502641511923,0.7520797681028096,33.042251058153326
