frame_id,gt_x,gt_y,raw_top1_x,raw_top1_y,hardms_x,hardms_y,path_x,path_y,temporal_x,temporal_y,correction_gate,path_entropy,emission_entropy,candidate_capture
1481,-555.7323608398438,107.80179595947266,-547.5802001953125,112.44715881347656,-552.3115844726562,112.47700500488281,-552.9708862304688,108.88629150390625,-552.9384765625,109.06285095214844,0.9508290886878967,0.6318907141685486,0.9057809710502625,1
1482,-545.9487915039062,106.07633972167969,-547.5802001953125,112.44715881347656,-542.90966796875,102.90100860595703,-545.1980590820312,106.92952728271484,-545.0988159179688,106.7548599243164,0.9566423296928406,0.5871965885162354,0.8960729241371155,1
1483,-545.9487915039062,106.07633972167969,-547.5802001953125,112.44715881347656,-552.3115844726562,112.47700500488281,-545.5338745117188,108.88566589355469,-545.7489624023438,108.99964141845703,0.9682629704475403,0.5929473042488098,0.9090257287025452,1
1484,-536.0938110351562,104.42881774902344,-538.1478881835938,107.62931060791016,-542.9400634765625,98.14285278320312,-541.737548828125,106.07801055908203,-541.7725830078125,105.84673309326172,0.9708538055419922,0.495768278837204,0.8901833295822144,1
1485,-536.0938110351562,104.42881774902344,-514.5215454101562,102.7219009399414,-524.0146484375,98.02345275878906,-531.2496337890625,102.95620727539062,-531.044189453125,102.8161392211914,0.9716051816940308,0.5394682288169861,0.8975473642349243,1
1486,-536.0938110351562,104.42881774902344,-547.5802001953125,112.44715881347656,-538.1783447265625,102.87115478515625,-530.5704956054688,103.33990478515625,-530.7903442382812,103.32635498046875,0.9710991382598877,0.6811094880104065,0.8986701965332031,1
1487,-526.1570434570312,102.70336151123047,-538.1478881835938,107.62931060791016,-533.4469604492188,102.84130859375,-529.7454833984375,104.97706604003906,-529.9064331054688,104.88418579101562,0.9565125107765198,0.6684083342552185,0.9167536497116089,1
1488,-526.1570434570312,102.70336151123047,-514.5215454101562,102.7219009399414,-524.0146484375,98.02345275878906,-525.3486328125,101.76527404785156,-525.2771606445312,101.5648193359375,0.9464296102523804,0.60301673412323,0.899474024772644,1
1489,-526.1570434570312,102.70336151123047,-514.5215454101562,102.7219009399414,-524.0146484375,98.02345275878906,-522.8960571289062,102.64527893066406,-522.9398803710938,102.46426391601562,0.9608353972434998,0.7145791053771973,0.9007019400596619,1
1490,-516.2815551757812,100.77753448486328,-514.5215454101562,102.7219009399414,-524.0146484375,98.02345275878906,-523.724853515625,102.24152374267578,-523.7376708984375,102.05487823486328,0.9557508230209351,0.7115864157676697,0.8984214663505554,1
1491,-516.2815551757812,100.77753448486328,-514.5215454101562,102.7219009399414,-514.5215454101562,102.7219009399414,-516.90283203125,104.09437561035156,-516.767822265625,104.01657104492188,0.9433086514472961,0.651619017124176,0.9162364602088928,1
1492,-516.2815551757812,100.77753448486328,-514.5215454101562,102.7219009399414,-514.5823974609375,93.2055892944336,-512.5482788085938,97.85707092285156,-512.6307983398438,97.66840362548828,0.9594390988349915,0.6084054112434387,0.8866591453552246,1
1493,-506.4673767089844,98.92963409423828,-495.59613037109375,102.60247039794922,-509.82061767578125,97.93389129638672,-508.7049865722656,99.69155883789062,-508.7724609375,99.58525848388672,0.9395209550857544,0.6263161301612854,0.917144775390625,1
1494,-506.4673767089844,98.92963409423828,-514.5215454101562,102.7219009399414,-514.5823974609375,93.2055892944336,-508.8079833984375,98.13111877441406,-509.0038757324219,97.9640121459961,0.9660734534263611,0.595507800579071,0.8865428566932678,1
1495,-506.4673767089844,98.92963409423828,-495.59613037109375,102.60247039794922,-509.8510437011719,93.17573547363281,-506.82659912109375,97.93254089355469,-506.9566955566406,97.7279281616211,0.9569857716560364,0.61661297082901,0.8924354314804077,1
1496,-496.7144775390625,97.32662963867188,-495.59613037109375,102.60247039794922,-490.9256286621094,93.0562973022461,-495.2135009765625,95.3310317993164,-495.0066833496094,95.22132110595703,0.9517697095870972,0.5668325424194336,0.8987356424331665,1
1497,-496.7144775390625,97.32662963867188,-495.59613037109375,102.60247039794922,-509.82061767578125,97.93389129638672,-498.07568359375,95.98560333251953,-498.2976379394531,96.02242279052734,0.9811025261878967,0.5594712495803833,0.8984163999557495,1
1498,-486.8185729980469,95.66796875,-495.59613037109375,102.60247039794922,-495.656982421875,93.0861587524414,-497.59820556640625,93.71389770507812,-497.4842529296875,93.67704772949219,0.941302478313446,0.7125186324119568,0.8876900672912598,1
1499,-486.8185729980469,95.66796875,-471.96978759765625,97.69499206542969,-481.4324951171875,97.75472259521484,-485.529541015625,96.70108032226562,-485.3349609375,96.75111389160156,0.9525103569030762,0.5623328685760498,0.9164130687713623,1
1500,-486.8185729980469,95.66796875,-495.59613037109375,102.60247039794922,-490.9256286621094,93.0562973022461,-483.9961242675781,96.2872085571289,-484.1954040527344,96.19429016113281,0.9712402820587158,0.6881501078605652,0.9076499938964844,1
1501,-476.9226989746094,93.92025756835938,-462.5375061035156,92.87709045410156,-472.06109619140625,83.42052459716797,-477.15838623046875,91.14128112792969,-477.03155517578125,90.9491958618164,0.9751209616661072,0.565314531326294,0.8944869637489319,1
1502,-476.9226989746094,93.92025756835938,-462.507080078125,97.63524627685547,-472.0002136230469,92.93683624267578,-474.6377868652344,91.47697448730469,-474.5035400390625,91.55128479003906,0.9490994811058044,0.6761173605918884,0.9057672619819641,1
