frame_id,gt_x,gt_y,visual_x,visual_y,prediction_x,prediction_y,robust_x,robust_y,mahalanobis_d2,visual_update_weight
14,-87.32689666748047,5.565974712371826,-89.3106460571289,4.86557149887085,-87.35497283935547,5.621634483337402,-88.46764373779297,5.191474914550781,0.0962020680308342,1.0
17,-97.24320983886719,6.612377643585205,-94.0419692993164,4.895564079284668,-98.41204071044922,6.148822784423828,-96.12933349609375,5.494182586669922,0.5090694427490234,1.0
20,-107.29228973388672,7.647648811340332,-108.20539855957031,9.743692398071289,-106.07373046875,6.451530456542969,-107.15068054199219,8.114776611328125,0.3860650062561035,1.0
23,-117.24945068359375,8.560468673706055,-122.39938354492188,9.833647727966309,-117.09507751464844,9.072124481201172,-119.75971221923828,9.45467758178711,0.7227166295051575,1.0
26,-127.31895446777344,9.40649700164795,-127.1307144165039,9.863629341125488,-129.70411682128906,10.412025451660156,-128.41775512695312,10.137898445129395,0.1736154854297638,1.0
29,-137.2352752685547,10.352712631225586,-141.32469177246094,9.953566551208496,-138.36215209960938,11.095246315002441,-139.8336944580078,10.528157234191895,0.25073400139808655,1.0
32,-147.09031677246094,11.321191787719727,-155.5186767578125,10.043489456176758,-149.77809143066406,11.485505104064941,-152.63543701171875,10.76775074005127,0.8697110414505005,1.0
35,-156.9862060546875,12.222880363464355,-160.25,10.073460578918457,-162.579833984375,11.725098609924316,-161.41966247558594,10.902647018432617,0.20235799252986908,1.0
37,-166.95358276367188,13.180227279663086,-169.71266174316406,10.13339900970459,-171.3640594482422,11.859994888305664,-170.5415802001953,11.000057220458984,0.1416119933128357,1.0
40,-176.89031982421875,14.204366683959961,-179.17530822753906,10.193330764770508,-180.48597717285156,11.957405090332031,-179.83323669433594,11.078864097595215,0.1198047399520874,1.0
43,-186.7760009765625,15.10605525970459,-188.63796997070312,10.253256797790527,-189.7776336669922,12.036211967468262,-189.2100372314453,11.148222923278809,0.11107093095779419,1.0
46,-196.71273803710938,15.974347114562988,-198.10061645507812,10.313176155090332,-199.15443420410156,12.105570793151855,-198.6295166015625,11.212759971618652,0.10725115984678268,1.0
49,-206.75160217285156,16.920562744140625,-207.5937957763672,5.614932060241699,-208.57391357421875,12.1701078414917,-208.08526611328125,8.901992797851562,1.0908911228179932,1.0
52,-216.74961853027344,17.889041900634766,-217.0564422607422,5.674839973449707,-218.0296630859375,9.85934066772461,-217.53407287597656,7.728507041931152,0.46835654973983765,1.0
55,-226.6659393310547,18.824125289916992,-221.7877655029297,5.704791069030762,-227.4784698486328,8.6858549118042,-224.5197296142578,7.135921478271484,1.0810651779174805,1.0
58,-236.7150115966797,19.870529174804688,-235.98175048828125,5.794636249542236,-234.46412658691406,8.093269348144531,-235.21937561035156,6.949349403381348,0.19333617389202118,1.0
60,-246.72323608398438,20.88353729248047,-240.7435760498047,1.066424012184143,-245.1637725830078,7.9066972732543945,-242.9622039794922,4.499752998352051,1.667609453201294,1.0
63,-256.56805419921875,21.774091720581055,-254.9375457763672,1.1562509536743164,-252.90660095214844,5.457100868225098,-253.91624450683594,3.319030523300171,0.5638992190361023,1.0
