frame_index,frame_id,reference_x,reference_y,search_center_x,search_center_y,jitter_m,visual_x,visual_y,visual_error_m,final_x,final_y,final_error_m,kalman_xy_x,kalman_xy_y,gru_xy_x,gru_xy_y
0,0,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,0.0,-30.52837562561035,-0.2868213653564453,7.1926113863082,-32.50248336791992,1.2532166242599487,5.147522823716305,-33.00630569458008,0.29873302578926086,-32.50248336791992,1.2532166242599487
1,1,-47.69226837158203,1.7922438383102417,-47.69226837158203,1.7922438383102417,0.0,-42.75677490234375,-1.5253254175186157,5.946878303119592,-34.30360412597656,1.1063376665115356,13.406222344794443,-35.8944206237793,-0.8523162603378296,-34.30360412597656,1.1063376665115356
2,2,-50.9120979309082,2.1374623775482178,-50.9120979309082,2.1374623775482178,0.0,-52.13804244995117,-0.11907569319009781,2.568054522097009,-44.30376052856445,1.4384117126464844,6.645208428282359,-45.381263732910156,-0.7506855130195618,-44.30376052856445,1.4384117126464844
3,3,-54.1414794921875,2.4837052822113037,-54.1414794921875,2.4837052822113037,0.0,-55.34840393066406,4.312392234802246,2.191064255280596,-51.4576416015625,3.9493064880371094,3.057936022494994,-52.335113525390625,1.8208438158035278,-51.4576416015625,3.9493064880371094
4,4,-57.659645080566406,2.8609108924865723,-57.659645080566406,2.8609108924865723,0.0,-54.7276725769043,4.363495826721191,3.294574972104826,-53.88374328613281,5.044159412384033,4.361652033443439,-55.936370849609375,3.3560521602630615,-53.88374328613281,5.044159412384033
5,5,-60.85377502441406,3.1642963886260986,-60.85377502441406,3.1642963886260986,0.0,-68.79888916015625,6.733049392700195,8.709812663545538,-61.221221923828125,6.738068103790283,3.5926120714595062,-63.35622024536133,5.399330139160156,-61.221221923828125,6.738068103790283
6,6,-64.02477264404297,3.465484857559204,-64.02477264404297,3.465484857559204,0.0,-75.12842559814453,6.443218231201172,11.495999520251797,-68.40989685058594,7.0353169441223145,5.6544686251728935,-71.5107421875,6.47868013381958,-68.40989685058594,7.0353169441223145
7,7,-67.50447845458984,3.795994520187378,-67.50447845458984,3.795994520187378,0.0,-73.17219543457031,5.4808831214904785,5.912855939726592,-72.7124252319336,7.156202793121338,6.1978794174410154,-75.69951629638672,6.66752290725708,-72.7124252319336,7.156202793121338
8,8,-70.70535278320312,4.076558589935303,-70.70535278320312,4.076558589935303,0.0,-76.40766906738281,5.548040390014648,5.889114508377774,-74.51819610595703,6.685571670532227,4.620035006208816,-78.995361328125,6.681027889251709,-74.51819610595703,6.685571670532227
9,9,-73.90149688720703,4.35670804977417,-73.90149688720703,4.35670804977417,0.0,-78.23716735839844,4.815788269042969,4.359907462605714,-76.34335327148438,6.146026134490967,3.0272630889519014,-81.20807647705078,6.2648234367370605,-76.34335327148438,6.146026134490967
