protocol,controlled_gt_prior,reference_protocol,gt_prior_jitter_limit_m,prior_center_x,prior_center_y,prior_jitter_x,prior_jitter_y,progress_capped_to_gt,frame_id,image_path,gt_x,gt_y,gt_progress_s,gt_cross_e,gt_waypoint_leg,gt_step_parallel,gt_step_norm_m,controlled_gt_motion_envelope,gt_velocity_parallel,gt_heading_deg,gt_turn_rate_deg_per_frame,predicted_progress_s,predicted_cross_e,predicted_x,predicted_y,motion_prediction_error_m,kalman_progress_std_m,acquisition_hypothesis_count,acquisition_radius_m,acquisition_selected_index,acquisition_target_index,acquisition_confidence,acquisition_margin,selected_hypothesis_center_s,selected_hypothesis_center_e,selected_candidate_capture,bank_candidate_capture,search_grid_size,search_candidate_count,forward_only_search,search_heading_deg,raw_top1_x,raw_top1_y,softms_x,softms_y,softms_mode_count,visual_anchor_x,visual_anchor_y,visual_anchor_s,visual_anchor_e,visual_entropy,visual_margin,visual_var_s,visual_var_e,candidate_capture,measurement_s,measurement_e,visual_measurement_error_m,measurement_var_s,measurement_var_e,local_visual_confidence,kalman_raw_measurement_s,kalman_raw_measurement_e,kalman_used_measurement_s,kalman_used_measurement_e,kalman_measurement_clip_s,kalman_measurement_clip_e,kalman_posterior_projection_m,kalman_step_limited,kalman_step_limit_m,kalman_motion_step_s,kalman_motion_step_e,v_parallel,v_cross,a_parallel,a_cross,heading_residual_deg,turn_rate_deg_per_frame,estimated_heading_deg,polynomial_heading_deg,heading_error_deg,poly_next_step_parallel,poly_next_step_cross,kalman_nis,kalman_r_scale,final_progress_s,final_cross_e,waypoint_leg_before_update,waypoint_leg,target_waypoint,route_remaining_m,route_leg_progress,progress_error_m,speed_error_m_per_frame,final_x,final_y,final_step_m,gt_step_for_jump_m,excess_step_over_gt_m,abnormal_jump,error_final_m,end_to_end_latency_ms
route_reference_motion_prior_forward3x6_SoftMS_3frame_GRU_next_position_polynomial_Kalman,0,route_reference,0.0,-18.780745674413577,-2.1595981213156596,0.0,0.0,0,0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,-18.780746459960938,-2.1595981121063232,7.820911271948188e-07,7.418177846642066e-08,0,0.0,0.0,1,0.0,173.90999929632898,0.0,0.0,0.0,-18.780745674413577,-2.1595981213156596,7.856013413017934e-07,3.711499387388017,1,0.0,0,-1,0.3772054376042262,1.0,0.0,0.0,0,0,6,18,1,173.90999929632898,-27.772829055786133,9.233684539794922,-27.647655487060547,2.087568759918213,1,-27.647655487060547,2.087568759918213,9.26745319366455,-3.2825026512145996,0.8288282752037048,0.05615063011646271,4.0,4.0,0,9.26745319366455,-3.2825026512145996,9.831607108861334,5.0,5.0,0.3772054376042262,9.26745319366455,-3.2825026512145996,3.287314953411622,-1.9723889720469732,5.980138240252929,-1.3101136791676264,0.0,1,0.0,0.0,0.0,0.7554895281791687,-0.009491835720837116,0.08641451597213745,-0.008050963282585144,0.05199433480904605,0.0,173.961993631138,173.961993631138,0.05199433480904605,0.7987086772918701,-0.012792516499757767,0.1299123589881047,1.0,0.0,0.0,0,0,1,731.5633515869471,0.0,7.820911271948188e-07,0.7554895281791687,-18.780745674413577,-2.1595981213156596,0.0,0.0,0.0,0,7.856013413017934e-07,69.32841520756483
route_reference_motion_prior_forward3x6_SoftMS_3frame_GRU_next_position_polynomial_Kalman,0,route_reference,0.0,-19.257266372857195,-2.1087568604569435,0.0,0.0,0,1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,-25.919267654418945,-1.4582853317260742,7.172638198106864,0.05997471900717796,0,7.172888153292986,7.172888153292986,1,7.172888153292986,174.38907188095573,0.4790725846267536,0.479225218296051,-0.007675510365515947,-19.256452073839075,-2.1011246670317067,6.693754841031606,4.74244314151298,1,0.0,0,-1,0.3845291944182292,1.0,0.479225218296051,0.0,0,0,6,18,1,173.92819731484616,-27.772829055786133,9.233684539794922,-27.669557571411133,2.0899837017059326,1,-27.669557571411133,2.0899837017059326,9.289487838745117,-3.2825803756713867,0.8291534185409546,0.05915166437625885,4.0,4.0,0,9.289487838745117,-3.2825803756713867,3.956479111790169,5.0,5.0,0.3845291944182292,9.289487838745117,-3.2825803756713867,3.786680502946181,-1.9921486811555942,5.502807335798936,-1.2904316945157925,0.0,1,0.4792866817576605,0.479225218296051,-0.007675510365515947,0.7594962120056152,-0.009475506842136383,0.13622432947158813,-0.008256408385932446,0.06510953198519363,0.0,173.97510882831415,173.97510882831415,0.41396305264155997,0.8276232481002808,-0.012663228437304497,0.12554452998300653,1.0,0.4552438779262245,-0.14989574684080179,0,0,1,731.1081077090208,0.0006222890703022297,6.71739432018064,6.413391941287371,-19.21751785148948,-1.962251247404148,0.4792866817576606,7.172888153292986,0.0,0,6.720671995063468,68.98996885865927
route_reference_motion_prior_forward3x6_SoftMS_3frame_GRU_next_position_polynomial_Kalman,0,route_reference,0.0,-19.917800148469375,-2.0382827549215996,0.0,0.0,0,2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,-28.881437301635742,-1.16508948802948,10.149196069256064,0.08269170281191505,0,2.976644557493125,2.976644557493125,1,2.976644557493125,174.34727015796543,-0.041801722990300653,1.1435078902629554,-0.1605638886081844,-19.900765839268693,-1.8786250127509267,9.008972908162917,5.851567503950883,1,0.0,0,-1,0.3945686953103915,1.0,1.1435078382492065,0.0,0,0,6,18,1,173.94461634255893,-27.772829055786133,9.233684539794922,-27.662429809570312,2.1500442028045654,1,-27.662429809570312,2.1500442028045654,9.288772583007812,-3.3430581092834473,0.8251548409461975,0.06228777766227722,4.0,4.0,0,9.288772583007812,-3.3430581092834473,3.5321509524309698,5.0,5.0,0.3945686953103915,9.288772583007812,-3.3430581092834473,4.478571802366533,-2.1616022358703306,4.81020078064128,-1.1814558734131166,0.0,1,0.6883466858543191,0.688264012336731,-0.010668141767382622,0.7633938193321228,-0.008826200850307941,0.18258878588676453,-0.007960488088428974,0.07591966037838091,0.0,173.98591895670734,173.98591895670734,0.3613512012580721,0.8547044396400452,-0.011673931032419205,0.10916405867091847,1.0,1.0936401672692766,-0.4073279470016343,0,0,1,730.4697114196778,0.0014949356947650436,9.055555901986788,2.213250738161002,-19.82500021453138,-1.6385440671939242,0.6883466858543191,2.976644557493125,0.0,0,9.068804328642843,69.04806476086378
route_reference_motion_prior_forward3x6_SoftMS_3frame_GRU_next_position_polynomial_Kalman,0,route_reference,0.0,-20.65189428995165,-1.9599602982815103,0.0,0.0,0,3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,-31.84273910522461,-0.8719794154167175,13.12488189497482,0.1054019036524543,0,2.9757724856927044,2.9757724856927044,1,2.9757724856927044,174.34726770228437,-2.4556810541204664e-06,1.8817684240670671,-0.4185995625143034,-20.607484837484172,-1.5437231131710192,11.2553177678932,5.894255926318289,1,0.0,0,-1,0.40788363832596697,1.0,1.8817684650421143,0.0,0,0,6,18,1,173.95907225784438,-27.772829055786133,9.233684539794922,-27.67272186279297,2.1586897373199463,1,-27.67272186279297,2.1586897373199463,9.29992389678955,-3.3505630493164062,0.825468897819519,0.06768284738063812,4.0,4.0,0,9.29992389678955,-3.3505630493164062,5.154997327257363,5.0,5.0,0.40788363832596697,9.29992389678955,-3.3505630493164062,5.253448429463476,-2.441607565752149,4.046475467326075,-0.9089554835642573,0.0,1,0.7882088546060552,0.7881282567977905,-0.011271615512669086,0.7669209241867065,-0.008143323473632336,0.22499915957450867,-0.007628315594047308,0.08686647259624779,0.0,173.9968657689252,173.9968657689252,0.35040193335915104,0.8794376254081726,-0.01062417309731245,0.11100720080571476,1.0,1.8205788289313372,-0.7120136550031116,0,0,1,729.7427727580157,0.0024886140413978345,11.304303066043483,2.208851561505998,-20.51551210870307,-1.2584565476845198,0.7882088546060555,2.9757724856927044,0.0,0,11.333818244726368,69.8542082682252
route_reference_motion_prior_forward3x6_SoftMS_3frame_GRU_next_position_polynomial_Kalman,0,route_reference,0.0,-21.429206879818278,-1.8770267504225198,0.0,0.0,0,4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,-34.80412292480469,-0.5788613557815552,16.100650121172926,0.12811286366612776,0,2.9758548895661856,2.9758548895661856,1,2.9758548895661856,174.34727021093266,2.508648307008251e-06,2.663492694974428,-0.7228968056253603,-21.352514369354385,-1.1582096315236337,13.464078771073389,5.3769129234865165,1,0.0,0,-1,0.5118453117049113,1.0,2.6634926795959473,0.0,0,0,6,18,1,173.97229998638917,-27.772829055786133,9.233684539794922,-31.27456283569336,2.0846691131591797,1,-31.27456283569336,2.0846691131591797,12.873584747314453,-2.894838809967041,0.745166003704071,0.09160088002681732,4.0,4.0,0,12.873584747314453,-2.894838809967041,4.421785583706874,5.0,5.0,0.5118453117049113,12.873584747314453,-2.894838809967041,6.321067302162934,-2.894838809967041,6.552517445151519,0.0,0.0,1,0.8429841211643172,0.8429138660430908,-0.01088315062224865,0.7704203128814697,-0.007562225218862295,0.266828328371048,-0.0073698884807527065,0.09636205637847206,0.0,174.00636135270744,174.00636135270744,0.34090885822523376,0.9038520455360413,-0.009727053344249725,0.15547920750375885,1.0,2.5979648477620825,-1.0380400439069253,0,0,1,728.965386739185,0.003551250677233128,13.502685273410844,2.205434576684716,-21.253922614783406,-0.8517967967312705,0.8429841211643165,2.9758548895661856,0.0,0,13.552948837674672,71.53744716197252
route_reference_motion_prior_forward3x6_SoftMS_3frame_GRU_next_position_polynomial_Kalman,0,route_reference,0.0,-22.238562276484416,-1.7906744702724446,0.0,0.0,0,5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,-38.077056884765625,-0.2521708011627197,19.38977197054549,0.1504933176997437,0,3.2891979911131446,3.2891979911131446,1,3.2891979911131446,174.29985586865408,-0.047414342278598545,3.4774416334218725,-1.0482295361623746,-22.127355041862387,-0.7483606444738478,15.957418125690513,5.176528023522307,1,0.0,0,-1,0.46767853069666776,1.0,3.4774415493011475,0.0,0,0,6,18,1,173.9842214679356,-27.772829055786133,9.233684539794922,-31.35222053527832,1.9214738607406616,1,-31.35222053527832,1.9214738607406616,12.933490753173828,-2.7243258953094482,0.7646746039390564,0.07822605967521667,4.0,4.0,0,12.933490753173828,-2.7243258953094482,7.067400700772029,5.0,5.0,0.46767853069666776,12.933490753173828,-2.7243258953094482,7.013557592837708,-2.7243258953094482,5.91993316033612,0.0,0.0,1,0.8795358106790764,0.87947678565979,-0.010189492255449295,0.7748008966445923,-0.006685039959847927,0.3184339702129364,-0.0069287680089473724,0.10454472972585312,0.0,174.0145440260548,174.0145440260548,0.2853118425992542,0.9340348839759827,-0.008445153012871742,0.1408912268790986,1.0,3.439552345507066,-1.293605546090294,0,0,1,728.12379924144,0.004701646601139603,15.950219625038423,2.5143970944685523,-22.063647510404703,-0.5083891152825588,0.8795358106790766,3.2891979911131446,0.0,0,16.015459019814596,70.03835029900074
route_reference_motion_prior_forward3x6_SoftMS_3frame_GRU_next_position_polynomial_Kalman,0,route_reference,0.0,-23.107950384351632,-1.6979171404777293,0.0,0.0,0,6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,-41.34334182739258,0.07385636121034622,22.672211946844765,0.17282802228696428,0,3.282515961429067,3.282515961429067,1,3.282515961429067,174.29985092199666,-4.946657410540945e-06,4.3517640020775,-1.3027484348001968,-22.969741103040306,-0.40252079999587953,18.37977526461184,4.724076853955007,1,0.0,0,-1,0.495841278318204,1.0,4.35176420211792,0.0,0,0,6,18,1,173.9948343612763,-27.772829055786133,9.233684539794922,-31.332483291625977,2.010016918182373,1,-31.332483291625977,2.010016918182373,12.923257827758789,-2.8144631385803223,0.7588452696800232,0.08820870518684387,4.0,4.0,0,12.923257827758789,-2.8144631385803223,10.196372634218474,5.0,5.0,0.495841278318204,12.923257827758789,-2.8144631385803223,7.965327517452561,-2.8144631385803223,4.957930310306228,0.0,0.0,1,0.91225747396058,0.9122116565704346,-0.009142888709902763,0.7775242328643799,-0.00632251612842083,0.3512178063392639,-0.006800668779760599,0.11227491638093405,0.0,174.0222742127099,174.0222742127099,0.2775767092867627,0.9531503319740295,-0.00785510428249836,0.1712300935629727,1.0,4.320198537718643,-1.5316727276592528,0,0,1,727.2431530492285,0.005905433245592516,18.352013409126123,2.504991728564687,-22.91406707797963,-0.17823724434644728,0.9122574739605822,3.282515961429067,0.0,0,18.4309988599455,69.61518991738558
route_reference_motion_prior_forward3x6_SoftMS_3frame_GRU_next_position_polynomial_Kalman,0,route_reference,0.0,-24.00805125668966,-1.601882984145882,0.0,0.0,0,7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,-44.61831283569336,0.40075016021728516,25.963380910728766,0.19522249050012924,0,3.291245153591544,3.291245153591544,1,3.291245153591544,174.29985734525803,6.423261370735073e-06,5.256973447214951,-1.5400429455264484,-23.844667273255872,-0.07053131061589668,20.778990740132915,4.310722031646465,1,0.0,0,-1,0.5016162114179508,1.0,5.2569732666015625,0.0,0,0,6,18,1,174.00443830761054,-27.772829055786133,9.233684539794922,-31.35845375061035,1.974184274673462,1,-31.35845375061035,1.974184274673462,12.945281028747559,-2.7760775089263916,0.766165554523468,0.09212914109230042,4.0,4.0,0,12.945281028747559,-2.7760775089263916,13.352885389451648,5.0,5.0,0.5016162114179508,12.945281028747559,-2.7760775089263916,8.886418028614315,-2.7760775089263916,4.058863000133243,0.0,0.0,1,0.9368123032971756,0.9367749094963074,-0.008370217867195606,0.7812216281890869,-0.005667815450578928,0.3946632146835327,-0.006495883222669363,0.11848675998764908,0.0,174.0284860563166,174.0284860563166,0.2713712889414184,0.9785695672035217,-0.006892106030136347,0.19534798877321796,1.0,5.236191833232975,-1.7280742912521976,0,0,1,726.3271597537141,0.007157537104441252,20.72718907749579,2.510023525402457,-23.80405459436486,0.11423414277955612,0.9368123032971746,3.291245153591544,0.0,0,20.816230147770746,69.3401638418436
route_reference_motion_prior_forward3x6_SoftMS_3frame_GRU_next_position_polynomial_Kalman,0,route_reference,0.0,-24.943810405409607,-1.502044351456079,0.0,0.0,0,8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,-47.93851089477539,0.7270652055740356,29.29946028508333,0.2229906082666523,0,3.3361949374037283,3.3361949374037283,1,3.3361949374037283,174.38689418808866,0.08703684283063444,6.19804354927454,-1.7355576422965544,-24.759684162760944,0.22371862662117126,23.18429137263615,4.017861945440722,1,0.0,0,-1,0.4863979520237819,1.0,6.198043346405029,0.0,0,0,6,18,1,174.01285502165868,-27.772829055786133,9.233684539794922,-31.383522033691406,1.9069421291351318,1,-31.383522033691406,1.9069421291351318,12.96307373046875,-2.7065553665161133,0.7734854817390442,0.08765222132205963,4.0,4.0,0,12.96307373046875,-2.7065553665161133,16.59698060733211,5.0,5.0,0.4863979520237819,12.96307373046875,-2.7065553665161133,9.78563791733994,-2.7065553665161133,3.1774358131288096,0.0,0.0,1,0.961880826399485,0.9618517160415649,-0.007483351044356823,0.7845791578292847,-0.00503265205770731,0.4339475631713867,-0.006187654100358486,0.12468921208425536,0.0,174.0346885084132,174.0346885084132,0.3522056796754466,1.0015681982040405,-0.005946843884885311,0.20640884623184058,1.0,6.1855975771294895,-1.8824875602780848,0,0,1,725.3777540098176,0.008455313628971919,23.113862707953842,2.5516157795744436,-24.73172055584755,0.36849894195819344,0.9618808263994835,3.3361949374037283,0.0,0,23.20956026296832,69.40745748579502
route_reference_motion_prior_forward3x6_SoftMS_3frame_GRU_next_position_polynomial_Kalman,0,route_reference,0.0,-25.91155360567583,-1.3987932552294475,0.0,0.0,0,9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,-51.25859451293945,1.0533686876296997,32.635424637613376,0.25075808297800684,0,3.3360799142111426,3.3360799142111426,1,3.3360799142111426,174.38689958652537,5.39843670493681e-06,7.171279230152256,-1.8890490072130233,-25.711143381664446,0.4795948552962275,25.553893552951088,4.23568315436765,1,0.0,0,-1,0.43987199980381886,1.0,7.171279430389404,0.0,0,0,6,18,1,174.0204967426898,-32.50415802001953,9.263697624206543,-36.02348327636719,1.1508129835128784,1,-36.02348327636719,1.1508129835128784,17.496631622314453,-1.462437391281128,0.788871169090271,0.0724266916513443,4.0,4.0,0,17.496631622314453,-1.462437391281128,15.235422301107567,5.0,5.0,0.43987199980381886,17.496631622314453,-1.462437391281128,10.630927229612759,-1.462437391281128,6.865704392701696,0.0,0.0,1,0.9857034917720301,0.9856816530227661,-0.006561446934938431,0.7875930070877075,-0.004659472499042749,0.4698444902896881,-0.006066653411835432,0.130586280019768,0.0,174.04058557634872,174.04058557634872,0.3463140101766389,1.022530198097229,-0.005362304393202066,0.12091722459257577,1.0,7.1700580110498775,-1.8329999079105157,0,0,1,724.3932935758972,0.009801007657773175,25.465366626563497,2.548486907123435,-25.71587533359924,0.42373251073743545,0.9857034917720293,3.3360799142111426,0.0,0,25.550478367143853,69.8525719344616
