sequence_index,frame_id,image_path,gt_x,gt_y,kf_predict_x,kf_predict_y,kf_predict_vx,kf_predict_vy,polynomial_x,polynomial_y,polynomial_vx,polynomial_vy,polynomial_ax,polynomial_ay,polynomial_route_gate,polynomial_uses_rnn_state,waypoint_segment_index,waypoint_cross_track_m,waypoint_tangent_alignment,waypoint_endpoint_distance_m,hardms_x,hardms_y,hardms_support,raw_top1_x,raw_top1_y,hardms_innovation_dx,hardms_innovation_dy,hardms_innovation_radius,hardms_visual_dx,hardms_visual_dy,hardms_visual_speed,model_motion_dx,model_motion_dy,model_motion_speed,model_acceleration_dx,model_acceleration_dy,model_acceleration_magnitude,stop_probability,route_gate,correction_gate,correction_x,correction_y,measurement_x,measurement_y,measurement_variance_x,measurement_variance_y,final_x,final_y,final_vx,final_vy,final_speed,state_norm,error_polynomial_m,error_hardms_m,error_measurement_m,error_final_m,state_00,state_01,state_02,state_03,state_04,state_05,state_06,state_07,state_08,state_09,state_10,state_11,state_12,state_13,state_14,state_15
0,0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,0.0,0.0,-18.780746459960938,-2.1595981121063232,0.0,0.0,0.0,0.0,0.0,0,0,7.418177846642068e-08,0.0,731.5633508048558,-13.640005111694336,-0.3726810812950134,0.49316897988319397,-8.908679962158203,-0.4026999771595001,5.140741348266602,1.7869170308113098,5.442452947410884,5.140741348266602,1.786916971206665,5.442452907562256,-0.4186195433139801,-0.01658063381910324,0.4189477562904358,-0.008891559205949306,-0.004039176274091005,0.009766001254320145,0.4839158058166504,0.34515148401260376,0.9986642599105835,-4.315512657165527,4.168494701385498,-17.949752807617188,3.790245532989502,36.0,36.0,-18.555948785010806,-0.550065940636632,0.15154899434840424,1.0850778684065334,1.0956099115075943,2.993673086166382,0.0,5.442452907562256,6.007594108581543,1.6251547020695982,-0.04186195507645607,-0.001658063381910324,-0.0014819265343248844,-0.0006731960456818342,-0.7192521095275879,0.694749116897583,0.9986642599105835,0.4839158058166504,0.34515148401260376,1.0,1.0,-0.9966824650764465,0.9914244413375854,-0.85125732421875,0.9661700129508972,-0.9875547289848328
1,1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,-25.919267654418945,-1.4582853317260742,-18.404399790662403,0.5350119277699015,0.15154899434840424,1.0850778684065334,-18.978085815700997,-0.5599654733663328,-0.4186195507645607,-0.01658063381910324,-0.008891559205949306,-0.004039176274091005,0.34515148401260376,1,0,1.5696691583293014,0.9893786960068449,731.199104063519,-13.640005111694336,-0.3726810812950134,0.4888855516910553,-8.908679962158203,-0.4026999771595001,5.338080704006661,0.18728439207131942,5.34136509199678,0.0,0.0,0.0,-0.41666141152381897,-0.01634916476905346,0.4169820547103882,-0.004695358220487833,-0.004515108652412891,0.006514030508697033,0.4838560223579407,0.34973838925361633,0.9989200830459595,-4.314445972442627,4.169600009918213,-17.949790954589844,3.7924160957336426,36.0,36.0,-18.193411291373618,2.04680572155796,0.24983634805387359,1.789335265566368,1.8066928054897327,2.995354413986206,6.999070215826625,12.327157974243164,9.54371166229248,8.483779808211654,-0.041666142642498016,-0.0016349165234714746,-0.0007825597422197461,-0.0007525181281380355,-0.7190743684768677,0.6949333548545837,0.9989200830459595,0.4838560223579407,0.34973838925361633,1.0,1.0,-0.9969504475593567,0.9927629232406616,-0.8508257865905762,0.9680951237678528,-0.987690269947052
2,2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,-28.881437301635742,-1.16508948802948,-17.943574943319746,3.836140987124328,0.24983634805387359,1.789335265566368,-18.61148605150945,2.0369563570921323,-0.41666142642498016,-0.016349165234714746,-0.004695358453318477,-0.004515108768828213,0.34973838925361633,1,0,4.190827959533199,0.9894322405603743,731.2984494882528,-13.640005111694336,-0.3726810812950134,0.4623537063598633,-8.908679962158203,-0.4026999771595001,4.9714809398151125,-2.4096374383871457,5.524669702291886,0.0,0.0,0.0,-0.4166778028011322,-0.016348622739315033,0.41699841618537903,-0.00469354959204793,-0.004501752555370331,0.006503474898636341,0.48385635018348694,0.3498091995716095,0.9989196062088013,-4.314442157745361,4.169602394104004,-17.949787139892578,3.792416572570801,36.0,36.0,-17.946766747232957,3.813675542601027,0.24872871848358935,1.7815392381974575,1.7988185101993102,2.995368719100952,10.757555311232716,15.262017250061035,12.003243446350098,12.014787612086721,-0.04166778177022934,-0.0016348622739315033,-0.0007822582847438753,-0.0007502920925617218,-0.7190737128257751,0.6949337720870972,0.9989196062088013,0.48385635018348694,0.3498091995716095,1.0,1.0,-0.9969488978385925,0.9927617907524109,-0.8508607745170593,0.9680884480476379,-0.987687885761261
3,3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,-31.84273910522461,-0.8719794154167175,-17.698038028749366,5.595214780798485,0.24872871848358935,1.7815392381974575,-18.36485688729201,3.803834401446066,-0.4166778177022934,-0.016348622739315033,-0.004693549708463252,-0.004501752555370331,0.3498091995716095,1,0,5.97389960269889,0.9894326525109473,731.3686276772961,-27.772829055786133,9.233684539794922,0.46101149916648865,-8.908679962158203,-0.4026999771595001,-9.407972168494123,5.429850138348856,10.862468082718912,-14.132823944091797,9.606365203857422,17.08856201171875,-0.41674453020095825,-0.016353720799088478,0.41706526279449463,-0.004682218190282583,-0.00447559729218483,0.006477201357483864,0.483857125043869,0.3500370383262634,0.9989171028137207,-4.31443452835083,4.169610500335693,-32.08259201049805,13.39877986907959,36.0,36.0,-24.8246791502785,9.461390118819812,-1.7841803090389026,2.8843845495609095,3.3916033973487885,2.995351791381836,14.265922470363726,10.894430160522461,14.272774696350098,12.491264606208048,-0.041674453765153885,-0.0016353720566257834,-0.0007803697371855378,-0.0007459329208359122,-0.7190724611282349,0.6949350833892822,0.9989171028137207,0.483857125043869,0.3500370383262634,1.0,1.0,-0.9969416260719299,0.9927477836608887,-0.8508104085922241,0.9680426120758057,-0.9876670837402344
4,4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,-34.80412292480469,-0.5788613557815552,-26.6088594593174,12.345774668380722,-1.7841803090389026,2.8843845495609095,-25.225822464611817,9.471166552398422,-0.41674453765153885,-0.016353720566257834,-0.004682218423113227,-0.004475597525015473,0.3500370383262634,1,10,5.165084090516006,-0.8235325566061831,33.61432857335809,-27.772829055786133,9.233684539794922,0.5773059725761414,-27.772829055786133,9.233684539794922,-2.5470065911743163,-0.23748201260350044,2.5580540029083867,0.0,0.0,0.0,-0.4166235625743866,-0.01644599623978138,0.41694802045822144,-0.004604283720254898,-0.004466019570827484,0.006414418108761311,0.4838517904281616,0.35099324584007263,0.9989047050476074,-4.313811779022217,4.170254230499268,-32.08191680908203,13.399371147155762,36.0,36.0,-29.149957242176487,12.834951284876167,-2.429809885461766,3.0086721286672025,3.8673096665907885,2.995577096939087,13.883331756495894,12.071667671203613,14.240835189819336,14.556783955437385,-0.04166235774755478,-0.0016445996006950736,-0.0007673806394450366,-0.0007443366339430213,-0.7189686298370361,0.6950423717498779,0.9989047050476074,0.4838517904281616,0.35099324584007263,1.0,1.0,-0.9969646334648132,0.9927409291267395,-0.8511037826538086,0.9682350158691406,-0.9875696897506714
5,5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,-38.077056884765625,-0.2521708011627197,-31.579767127638252,15.84362341354337,-2.429809885461766,3.0086721286672025,-29.550892482129893,12.844716355159909,-0.4166235774755478,-0.016445996006950736,-0.00460428383667022,-0.004466019803658128,0.35099324584007263,1,10,4.625880009292158,-0.8234006346764566,38.949408326809746,-27.74225425720215,13.991843223571777,0.5748248100280762,-27.772829055786133,9.233684539794922,1.8086382249277442,1.1471268684118687,2.1417451484483867,0.030574798583984375,4.7581586837768555,4.758256912231445,-0.41664692759513855,-0.01638931781053543,0.4169691503047943,-0.004623148124665022,-0.004480438772588968,0.0064379991963505745,0.483853280544281,0.3500932455062866,0.9989145994186401,-4.314173221588135,4.169881343841553,-32.0517463684082,18.157197952270508,36.0,36.0,-31.786516942261592,16.85708134914834,-2.479549322549295,3.2524877147692544,4.0898461068455365,2.9954614639282227,15.627665616022803,17.598297119140625,19.370317459106445,18.229026356642372,-0.041664693504571915,-0.0016389318043366075,-0.0007705247262492776,-0.0007467397954314947,-0.719028890132904,0.694980263710022,0.9989145994186401,0.483853280544281,0.3500932455062866,1.0,1.0,-0.9969640374183655,0.9927647113800049,-0.8509466648101807,0.9682034254074097,-0.9876699447631836
6,6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,-41.34334182739258,0.07385636121034622,-34.26606626481089,20.109569063917597,-2.479549322549295,3.2524877147692544,-32.187532919911355,16.866820079328562,-0.41664693504571915,-0.016389318043366075,-0.0046231483574956656,-0.004480438772588968,0.3500932455062866,1,10,2.636020753651253,-0.8234789546458481,43.13267384168211,-27.74225425720215,13.991843223571777,0.5878984332084656,-27.772829055786133,9.233684539794922,4.445278662709207,-2.8749768557567847,5.293958283767914,0.0,0.0,0.0,-0.41659921407699585,-0.016386788338422775,0.41692137718200684,-0.004643676802515984,-0.004476747941225767,0.006450194399803877,0.4838527739048004,0.3500494360923767,0.9989149570465088,-4.314156532287598,4.169898509979248,-32.05173110961914,18.157217025756836,36.0,36.0,-33.33539444394503,19.289007180109675,-2.2589430055363824,3.05798184168971,3.8018517128322795,2.9954874515533447,19.126747428361867,19.460214614868164,20.330814361572266,20.817042111911864,-0.041659921407699585,-0.0016386788338422775,-0.0007739461725577712,-0.0007461246568709612,-0.7190260887145996,0.6949831247329712,0.9989149570465088,0.4838527739048004,0.3500494360923767,1.0,1.0,-0.9969649910926819,0.9927685856819153,-0.8510463237762451,0.9682028293609619,-0.9876747727394104
7,7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,-44.61831283569336,0.40075016021728516,-35.59433744948141,22.346989021799384,-2.2589430055363824,3.05798184168971,-33.73637698556068,19.298743928596608,-0.41659921407699585,-0.016386788338422775,-0.004643677035346627,-0.004476747941225767,0.3500494360923767,1,10,1.4086186845156408,-0.8234798419382936,45.682728521159774,-27.74225425720215,13.991843223571777,0.5797300934791565,-27.772829055786133,9.233684539794922,5.994122728358533,-5.30690070502483,8.005791801915498,0.0,0.0,0.0,-0.41660425066947937,-0.01638290472328663,0.4169262647628784,-0.004646848421543837,-0.004481212235987186,0.006455576047301292,0.48385313153266907,0.3500080704689026,0.9989153146743774,-4.314183712005615,4.169870376586914,-32.0517578125,18.157190322875977,36.0,36.0,-34.141422298905866,20.62863047200697,-1.9128033447048318,2.6486034651365253,3.267096103736038,2.9954781532287598,21.807124897980167,21.66839027404785,21.75337791442871,22.780087296319042,-0.04166042432188988,-0.0016382904723286629,-0.0007744747563265264,-0.000746868725400418,-0.7190306186676025,0.6949784159660339,0.9989153146743774,0.48385313153266907,0.3500080704689026,1.0,1.0,-0.9969632625579834,0.9927675724029541,-0.8510423898696899,0.968190610408783,-0.987679123878479
8,8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,-47.93851089477539,0.7270652055740356,-36.0542256436107,23.277233937143496,-1.9128033447048318,2.6486034651365253,-34.54241341505185,20.638365773594277,-0.4166042432188988,-0.01638290472328663,-0.004646848537959158,-0.004481212352402508,0.3500080704689026,1,10,0.7073065666754252,-0.8234853915482305,47.06361973313551,-27.74225425720215,13.991843223571777,0.5820527672767639,-27.772829055786133,9.233684539794922,6.8001591578496985,-6.6465225500225,9.508860424890289,0.0,0.0,0.0,-0.4166077971458435,-0.01638064533472061,0.416929692029953,-0.004643443506211042,-0.004484053701162338,0.006455099210143089,0.4838533401489258,0.3499991297721863,0.998915433883667,-4.314197540283203,4.169857025146484,-32.05177307128906,18.157176971435547,36.0,36.0,-34.431681867164265,21.201627439714883,-1.5220045203685704,2.1486819278845006,2.633122060831935,2.9954745769500732,23.998235726742468,24.162845611572266,23.583833694458008,24.528394343308026,-0.04166078194975853,-0.0016380645101889968,-0.000773907289840281,-0.00074734230292961,-0.7190329432487488,0.6949762105941772,0.998915433883667,0.4838533401489258,0.3499991297721863,1.0,1.0,-0.9969624876976013,0.9927678108215332,-0.8510372638702393,0.9681872129440308,-0.9876790642738342
9,9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,-51.25859451293945,1.0533686876296997,-35.953686387532834,23.350309367599383,-1.5220045203685704,2.1486819278845006,-34.832675293462195,21.211362890416467,-0.4166078194975853,-0.016380645101889968,-0.004643443739041686,-0.00448405381757766,0.3499991297721863,1,10,0.37819911245606863,-0.8234886551652031,47.61140966144089,-32.47358322143555,14.021856307983398,0.6121402382850647,-27.772829055786133,9.233684539794922,2.359092072026648,-7.189506582433069,7.5666584634928125,-4.731328964233398,0.030013084411621094,4.731423854827881,-0.4166327118873596,-0.016397425904870033,0.41695526242256165,-0.0046017104759812355,-0.004470057785511017,0.006415384355932474,0.48385295271873474,0.35018017888069153,0.9989134073257446,-4.314133167266846,4.169922828674316,-36.78302764892578,18.18724822998047,36.0,36.0,-36.28864288150672,21.265038879640084,-1.603465499351943,1.6415468866168927,2.2947282602900043,2.9954700469970703,26.00299122186479,22.826702117919922,22.43015480041504,25.151760650062588,-0.0416632704436779,-0.001639742637053132,-0.0007669517653994262,-0.0007450096309185028,-0.7190222144126892,0.6949871778488159,0.9989134073257446,0.48385295271873474,0.35018017888069153,1.0,1.0,-0.9969625473022461,0.9927607774734497,-0.850967288017273,0.9681910276412964,-0.9876668453216553
