frame_id,leg_index,leg_changed,gt_x,gt_y,gt_progress_s,gt_cross_d,prediction_x,prediction_y,prediction_s,prediction_v,prediction_d,prediction_vd,raw_top1_x,raw_top1_y,hardms_x,hardms_y,measurement_s,measurement_d,measurement_var_s,measurement_var_d,final_x,final_y,final_s,final_v,final_d,final_vd,candidate_capture
0,0,0,-18.780746459960938,-2.1595981121063232,0.0,0.0,-18.780746459960938,-2.1595981121063232,0.0,0.0,0.0,0.0,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,4.66214656829834,-0.9912090301513672,225.0,89.95188903808594,-19.023904527122447,-2.0243337202292,0.25613607658493903,0.07832907540823823,-0.10870425326737229,-0.019621706365951678,1
1,0,0,-25.919267654418945,-1.4582853317260742,7.172637462615967,0.05997467041015625,-19.099709871209917,-1.9965127755264722,0.3344651519931773,0.07832907540823823,-0.12832595963332397,-0.019621706365951678,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,4.76661491394043,-0.9448051452636719,225.0,91.34537506103516,-19.512756151345577,-1.8328879638172195,0.7625394487440356,0.21772495900777372,-0.24720704657146597,-0.048955697479741614,1
2,0,0,-25.919267654418945,-1.4582853317260742,7.172637462615967,0.05997467041015625,-19.724058632746775,-1.7611099903929293,0.9802644077518092,0.21772495900777372,-0.29616274405120757,-0.048955697479741614,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,5.624895095825195,-0.6770493984222412,225.0,91.361328125,-20.41172954783522,-1.613494813412102,1.679715022416437,0.4106518141296409,-0.3699894682208248,-0.06678283656344723,1
3,0,0,-25.919267654418945,-1.4582853317260742,7.172637462615967,0.05997467041015625,-20.812978801751782,-1.5035225938626893,2.090366836546078,0.4106518141296409,-0.43677230478427204,-0.06678283656344723,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,5.656863212585449,-0.6741065979003906,225.0,91.36165618896484,-21.516259331107726,-1.3721694048405855,2.803613729264265,0.5746865840155839,-0.4927727830795043,-0.07898980506882347,1
4,0,0,-34.80412292480469,-0.5788613557815552,16.100648880004883,0.12811291217803955,-22.079322573095908,-1.232656569137696,3.3783003132798486,0.5746865840155839,-0.5717625881483277,-0.07898980506882347,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,5.735016822814941,-0.6641831398010254,225.0,91.36165618896484,-22.626041316036957,-1.1498310523092616,3.930720649715708,0.6826472084436584,-0.5961189865225283,-0.08372566265142224,1
5,0,0,-34.80412292480469,-0.5788613557815552,16.100648880004883,0.12811291217803955,-23.295953471925237,-0.9941554845018901,4.613367858159366,0.6826472084436584,-0.6798446491739505,-0.08372566265142224,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,6.497125625610352,-0.511207103729248,225.0,91.36165618896484,-23.774098083584732,-0.9900697490425451,5.08924751521152,0.763521518829126,-0.6331807019912614,-0.07556352118446366,1
6,0,0,-34.80412292480469,-0.5788613557815552,16.100648880004883,0.12811291217803955,-24.525294057962526,-0.833930259558351,5.852769034040646,0.763521518829126,-0.708744223175725,-0.07556352118446366,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,7.981899261474609,-0.5208406448364258,225.0,91.36165618896484,-25.07805457777465,-0.8277712606923948,6.403063457489992,0.8466218122770749,-0.6562257961984022,-0.06717897948543232,1
7,0,0,-44.61831283569336,0.40075016021728516,25.963380813598633,0.1952226161956787,-25.912771385827316,-0.671152838879666,7.249685269767067,0.8466218122770749,-0.7234047756838344,-0.06717897948543232,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,9.072296142578125,-0.1604459285736084,225.0,91.36164093017578,-26.394191201668733,-0.7761249693636478,7.717251638398187,0.9105943469771286,-0.5679509631901349,-0.04416181351372786,1
8,0,0,-44.61831283569336,0.40075016021728516,25.963380813598633,0.1952226161956787,-27.2949614161393,-0.6356069339610761,8.627845985375316,0.9105943469771286,-0.6121127767038628,-0.04416181351372786,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,8.897459030151367,-0.1782972812652588,225.0,91.36162567138672,-27.374522837737466,-0.7448129642455026,8.695372673721607,0.9191135303179776,-0.4950823364656399,-0.02783697133458584,1
9,0,0,-44.61831283569336,0.40075016021728516,25.963380813598633,0.1952226161956787,-28.28549606855537,-0.6196238362056437,9.614486204039585,0.9191135303179776,-0.5229193078002258,-0.02783697133458584,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,9.413915634155273,-0.2418985366821289,225.0,91.36160278320312,-28.244939220778228,-0.6981033600857605,9.565832303280962,0.9133625930862069,-0.44918538195467206,-0.01800473733689892,1
