Experiment,Category,GRU,Kalman,Kalman_mode,MS,Motion,MS_grid,MS_bandwidth_m,B_MLE_m,C_MLE_m,BC_weighted_MLE_m,Delta_vs_Full_pct,B_P90_m,C_P90_m,B_LSR5_pct,C_LSR5_pct,B_LSR15_pct,C_LSR15_pct,B_JumpRate_pct,C_JumpRate_pct,B_MS_Latency_ms,C_MS_Latency_ms,BC_MS_Latency_ms,MS_FPS,B_SpeedError,C_SpeedError
baseline_visual,module_ablation,no,no,none,no,none,-,-,5.596930898802881,4.645159773984032,5.258128387478005,169.70621081390775,10.029284072895795,9.046665679398926,47.23198594024605,58.50556438791733,99.16520210896309,99.68203497615262,2.857142857142857,2.863961813842482,0.0,0.0,0.0,0.0,3.1352388049032,2.158884268852016
abl_gru_only,module_ablation,yes,no,none,no,quadratic,-,-,5.769182991325351,5.026881217592885,5.504945404637337,182.36624449071252,10.05953246533306,9.488513995306644,44.463971880492096,53.97456279809221,98.98945518453426,99.04610492845786,3.472527472527472,3.182179793158314,0.0,0.0,0.0,0.0,0.6485111051102607,1.188136285554306
abl_gru_kalman,module_ablation,yes,yes,fixed,no,quadratic,-,-,4.481276574877475,3.8829379850942325,4.26828564506782,118.93401285980927,8.370032341193092,7.688341691360746,60.76449912126538,68.91891891891892,100.0,100.0,0.04395604395604395,0.0,0.0,0.0,0.0,0.0,0.6485111051102607,1.188136285554306
full_model,module_ablation,yes,yes,fixed,yes,quadratic,6,7.0,2.085430886806907,1.7037853532759901,1.9495763080910344,0.0,3.8808395818082717,3.661800946794086,97.67135325131811,95.78696343402225,100.0,100.0,0.0,0.0,19.776244246619004,21.917092411760667,20.538323191652452,48.68946654839075,0.6485111051102607,1.188136285554306
design_motion_none,gru_motion,yes,yes,fixed,yes,none,6,7.0,2.406820484151217,1.9442749005950852,2.2421678683861876,15.007956297009484,4.2074476967104975,4.066282310900788,96.48506151142355,93.79968203497614,100.0,100.0,0.0,0.0,98.88946512284443,97.16050215186824,98.27400518580764,10.17563086097173,0.6485111051102607,1.188136285554306
design_motion_velocity,gru_motion,yes,yes,fixed,yes,velocity,6,7.0,2.081803226125177,1.6970791868778414,1.9448527899697872,-0.2422843415589293,3.8496803600016944,3.672302977347226,97.93497363796133,95.46899841017488,100.0,100.0,0.0,0.0,102.1498888920709,101.90112941218874,102.06133783782875,9.7980295103417,0.6485111051102607,1.188136285554306
design_kalman_none,kalman_design,yes,no,none,yes,quadratic,6,7.0,2.580585155117031,2.165244730940619,2.4327361869184103,24.782814441383483,4.522034868741846,4.19095947027277,93.05799648506151,94.19713831478538,100.0,99.76152623211448,0.6593406593406593,0.6364359586316627,91.16948448556525,40.250801491734634,73.04393179562781,13.69039118537506,0.6485111051102607,1.188136285554306
design_kalman_learned,kalman_design,yes,yes,learned,yes,quadratic,6,7.0,2.1829001548802096,1.76378892234041,2.033708889873116,4.315429020804085,4.071223066458524,3.7226947058752144,97.18804920913884,95.1510333863275,100.0,100.0,0.0,0.0,97.34076782092801,101.2361019774695,98.72739214716717,10.12890119197475,0.6485111051102607,1.188136285554306
sens_ms_grid4x4,ms_window,yes,yes,fixed,yes,quadratic,4,7.0,2.227039114787207,1.8303161282768396,2.085817406516114,6.988241386585314,4.3291019843723495,4.21749735989124,94.4639718804921,92.76629570747218,100.0,100.0,0.04395604395604395,0.0,10.534233503928533,10.42475026625691,10.495260693235013,95.28110155897085,0.6485111051102607,1.188136285554306
sens_ms_grid8x8,ms_window,yes,yes,fixed,yes,quadratic,8,7.0,2.084506710731492,1.7028209323594725,1.9486378060365286,-0.048138769978423035,3.8800125829340733,3.6609736161048554,97.71528998242532,95.86645468998411,100.0,100.0,0.0,0.0,108.80828706297994,102.71026460921804,106.63757052454403,9.377557975871524,0.6485111051102607,1.188136285554306
sens_ms_bandwidth3,meanshift_bandwidth,yes,yes,fixed,yes,quadratic,6,3.0,2.2639127511622363,1.8905967914154873,2.1310232555874173,9.306993870583625,4.161994575447922,3.9354692498056325,96.52899824253075,94.83306836248012,100.0,100.0,0.0,0.0,95.6829776678513,101.36285600372278,97.70484720563464,10.234906748232753,0.6485111051102607,1.188136285554306
sens_ms_bandwidth5,meanshift_bandwidth,yes,yes,fixed,yes,quadratic,6,5.0,2.1188481629816205,1.7371393874652128,1.9829710719800244,1.7129241748782498,3.931545747988345,3.7095278905236673,97.49560632688929,95.62798092209857,100.0,100.0,0.0,0.0,92.04857876148648,41.192391938120366,73.94527286907149,13.523514907715787,0.6485111051102607,1.188136285554306
