variant,label,frames,MLE_m,MedLE_m,P90_m,P95_m,P99_m,CVaR90_m,LSR@3_pct,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,MS_Latency_ms
frames1,1 frame,386,3.6608377869998865,3.29169501894399,6.639172434982008,7.615011880335745,10.697830677718285,8.161650150231255,44.30051813471503,76.42487046632125,98.18652849740933,100.0,100.0,5.135065384862992
frames2,2 frames,386,3.660805217960116,3.28959991361958,6.62832681263022,7.625436759894082,10.715764266590298,8.16716133377504,44.559585492227974,76.42487046632125,98.18652849740933,100.0,100.0,5.43779637852074
full,Full,386,3.6666220578419404,3.327230502688715,6.630654200726783,7.624683008151315,10.744742226874363,8.169085145573733,44.81865284974093,76.68393782383419,98.18652849740933,100.0,100.0,5.0589049216527355
grid4,4x4,386,4.204221029216897,3.6089733564787467,7.8642048154560165,9.349574647429957,12.00736053233557,9.932480485894208,37.82383419689119,69.17098445595855,96.11398963730569,100.0,100.0,2.8145244027411844
grid5,5x5,386,3.666170913367776,3.3289344708684148,6.629676111546813,7.623009922850832,10.744349925816142,8.168497050662223,44.81865284974093,76.68393782383419,98.18652849740933,100.0,100.0,3.7249915091206693
grid7,7x7,386,3.6425445825203484,3.31605137218593,6.603458704912164,7.6145057861454575,10.733095603452751,8.142966073059211,45.33678756476684,77.46113989637306,98.18652849740933,100.0,100.0,6.524054587261838
grid8,8x8,386,3.643047277746471,3.315351551741855,6.606175435738402,7.6160214080384,10.733535340676308,8.143552156109378,45.33678756476684,77.46113989637306,98.18652849740933,100.0,100.0,7.939837416912792
no_gru,w/o GRU,386,4.091041979964301,3.73989791837556,7.108978641274387,8.191478656369357,10.830830094192814,8.585723611479889,36.01036269430052,69.94818652849742,98.44559585492227,100.0,100.0,5.446553469183775
no_kalman,w/o Kalman,386,3.6766761344104633,3.2804108208820724,6.6469770899652465,7.590304076283075,10.901001897191513,8.193247160220526,44.559585492227974,76.68393782383419,98.18652849740933,100.0,100.0,5.189183620801024
no_ms,w/o MeanShift,386,6.863454412091233,6.789757238180732,11.781561930151529,13.908514003944848,16.64983785898848,14.081135836530352,15.284974093264248,35.49222797927461,80.56994818652849,97.66839378238342,100.0,0.0
