frame_id,image_path,reference_x,reference_y,raw_visual_x,raw_visual_y,forward_ms_x,forward_ms_y,variance_x,variance_y,final_x,final_y,error_final_m,gru_xy_x,gru_xy_y,kalman_xy_x,kalman_xy_y,center_ms_xy_x,center_ms_xy_y
0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,-18.780746459960938,-2.1595981121063232,-26.108793258666992,-1.327972650527954,-25.940465927124023,-1.1768090724945068,43.06544876098633,40.68419647216797,-13.725164413452148,-1.2636386156082153,5.134360062203189,-20.750038146972656,1.5357246398925781,-20.399980545043945,-0.14114578068256378,-13.725164413452148,-1.2636386156082153
1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,-25.919267654418945,-1.4582853317260742,-32.75385284423828,-1.6537009477615356,-32.7042121887207,-1.453289270401001,20.64237403869629,39.683265686035156,-22.217599868774414,-1.649889349937439,3.706623327918987,-27.48981285095215,1.7370246648788452,-26.198368072509766,1.375354528427124,-22.217599868774414,-1.649889349937439
2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,-28.881437301635742,-1.16508948802948,-32.741546630859375,-1.2173349857330322,-32.694419860839844,-1.063921332359314,22.799339294433594,37.238067626953125,-22.66036605834961,-0.38370823860168457,6.269950882662401,-25.324670791625977,2.849623918533325,-26.57731819152832,2.7505152225494385,-22.66036605834961,-0.38370823860168457
3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,-31.84273910522461,-0.8719794154167175,-37.759361267089844,-4.056197166442871,-37.6081657409668,-3.554225206375122,22.78635597229004,44.398582458496094,-23.365055084228516,-1.3836865425109863,8.493113124395057,-29.917400360107422,-0.8798782825469971,-29.50638198852539,1.6772539615631104,-23.365055084228516,-1.3836865425109863
4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,-34.80412292480469,-0.5788613557815552,-38.089752197265625,-3.3902556896209717,-37.825706481933594,-2.8977434635162354,13.121379852294922,47.23345184326172,-26.296127319335938,-0.8229289054870605,8.511495649502196,-32.38190460205078,-0.2008218765258789,-32.22022247314453,1.0294086933135986,-26.296127319335938,-0.8229289054870605
5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,-38.077056884765625,-0.2521708011627197,-47.043678283691406,-0.372569739818573,-47.302757263183594,0.40231069922447205,15.776595115661621,49.3802490234375,-29.965103149414062,-0.7308599948883057,8.126065268546261,-41.22003173828125,2.0349974632263184,-37.75779724121094,1.629759669303894,-29.965103149414062,-0.7308599948883057
6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,-41.34334182739258,0.07385636121034622,-51.81388473510742,1.0276379585266113,-51.7908935546875,1.8516839742660522,24.25766372680664,51.301612854003906,-33.22948455810547,3.5365171432495117,8.821830846135928,-46.00279998779297,4.037100791931152,-43.98526382446289,2.952754497528076,-33.22948455810547,3.5365171432495117
7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,-44.61831283569336,0.40075016021728516,-55.695167541503906,0.7258738279342651,-55.67182540893555,1.3402328491210938,66.89895629882812,56.12995147705078,-39.78464889526367,0.46322280168533325,4.834067637088071,-49.577537536621094,4.689568996429443,-49.040287017822266,4.100615501403809,-39.78464889526367,0.46322280168533325
8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,-47.93851089477539,0.7270652055740356,-55.38252639770508,0.8341972231864929,-55.31098556518555,1.6038086414337158,45.81337356567383,52.291812896728516,-51.725799560546875,5.558361530303955,6.138809299467607,-49.920692443847656,5.132875442504883,-51.73448181152344,4.953609466552734,-51.725799560546875,5.558361530303955
9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,-51.25859451293945,1.0533686876296997,-59.47618103027344,-0.388387531042099,-59.605567932128906,0.5304596424102783,54.721351623535156,49.18604278564453,-53.99815368652344,4.43250846862793,4.350145988940248,-53.83892059326172,3.7654221057891846,-54.50070571899414,4.879142761230469,-53.99815368652344,4.43250846862793
