frame_id,image_path,reference_x,reference_y,previous_final_x,previous_final_y,previous_final_error_to_current_ref_m,prior_x,prior_y,prior_error_m,ms1_x,ms1_y,ms1_error_m,ms1_support,kalman_x_prime_x,kalman_x_prime_y,kalman_error_m,pred_speed_m_per_frame,pred_acceleration_m_per_frame2,pred_heading_deg,pred_heading_delta_deg,delta_x,delta_y,ms2_x,ms2_y,ms2_support,final_x,final_y,next_prior_x,next_prior_y,error_final_m,tracking_core_latency_ms
0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,-18.780746459960938,-2.1595981121063232,-18.780745674413577,-2.1595981213156596,7.856013413017934e-07,-18.780746459960938,-2.1595981121063232,0.0,-13.806585311889648,-11.579551696777344,10.652596146683601,0.5422593355178833,-14.552709366268239,-10.16655866045809,9.054706780923556,0.6578403115272522,0.010210307314991951,171.38821563545912,-2.521784175300751,-0.65547114610672,0.0992685928940773,-10.592126846313477,-7.165225982666016,0.6594085693359375,-10.592126846313477,-7.165225982666016,-10.592126846313477,-7.165225982666016,9.597385141565168,1411.6268350044265
1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,-25.919267654418945,-1.4582853317260742,-10.592126846313477,-7.165225982666016,16.35513426862778,-25.919267654418945,-1.4582853317260742,0.0,-21.567596435546875,-10.538421630859375,10.069057433940761,0.6234604120254517,-19.14257451321216,-9.793116536741366,10.742112508542057,0.6450912356376648,0.007775984704494476,170.68131837711948,-3.2286884772729727,-0.6404146552085876,0.10508634150028229,-15.664119720458984,-6.762767791748047,0.6919702291488647,-15.664119720458984,-6.762767791748047,-16.304534375667572,-6.657681450247765,11.54580414332774,22.203129017725587
2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,-28.881437301635742,-1.16508948802948,-15.664119720458984,-6.762767791748047,14.353796934386587,-28.881437301635742,-1.16508948802948,0.0,-21.679506301879883,-10.764687538146973,12.000837172841901,0.6008124947547913,-20.037052407902376,-9.671994893727469,12.271535508239896,0.5948324203491211,0.006042955443263054,167.17644778566245,-3.5048669629190266,-0.5829423666000366,0.13269327580928802,-16.57152557373047,-6.665369987487793,0.675092875957489,-16.57152557373047,-6.665369987487793,-17.154467940330505,-6.532676711678505,13.482841403856279,23.28758896328509
3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,-31.84273910522461,-0.8719794154167175,-16.57152557373047,-6.665369987487793,16.333197391969883,-31.84273910522461,-0.8719794154167175,0.0,-25.91769790649414,-10.862147331237793,11.61505782133495,0.6568561792373657,-22.824010374720263,-9.472967110745193,12.46252210628396,0.5458155274391174,0.005594276357442141,163.5818011877548,-3.5946534280968407,-0.5262425541877747,0.15506325662136078,-21.58746337890625,-6.425778388977051,0.690697193145752,-21.58746337890625,-6.425778388977051,-22.113705933094025,-6.27071513235569,11.662562465493352,23.924499982967973
4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,-34.80412292480469,-0.5788613557815552,-21.58746337890625,-6.425778388977051,14.452215343858528,-34.80412292480469,-0.5788613557815552,0.0,-26.091577529907227,-10.405698776245117,13.132980657351624,0.6588493585586548,-24.415228064133426,-8.924444706888021,13.325835729752455,0.4986945688724518,0.005484601482748985,159.90599828212902,-3.6758037593994084,-0.4709145426750183,0.17227435111999512,-22.762731552124023,-5.932012557983398,0.7024228572845459,-22.762731552124023,-5.932012557983398,-23.23364609479904,-5.759738206863403,13.177683179667941,24.072333006188273
5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,-38.077056884765625,-0.2521708011627197,-22.762731552124023,-5.932012557983398,16.33368184998447,-38.077056884765625,-0.2521708011627197,0.0,-30.132526397705078,-9.749848365783691,12.382303654059653,0.6977665424346924,-27.219690649503885,-8.240887959865297,13.479688550124244,0.45469212532043457,0.005865754559636116,156.1697345419703,-3.7362658745928305,-0.4186108112335205,0.18489356338977814,-26.076444625854492,-5.734567165374756,0.7301387190818787,-26.076444625854492,-5.734567165374756,-26.495055437088013,-5.549673601984978,13.193610744714789,22.89680205285549
6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,-41.34334182739258,0.07385636121034622,-26.076444625854492,-5.734567165374756,16.334501340001744,-41.34334182739258,0.07385636121034622,0.0,-33.940582275390625,-11.465272903442383,13.709571589627489,0.6233195662498474,-30.74978646635217,-9.14009592069496,14.039954837557561,0.4134318232536316,0.005792951676994562,152.456106048721,-3.713639592306694,-0.3691403269767761,0.192521870136261,-28.78931999206543,-6.106242656707764,0.7318993806838989,-28.78931999206543,-6.106242656707764,-29.158460319042206,-5.913720786571503,13.992751270323618,22.104886011220515
7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,-44.61831283569336,0.40075016021728516,-28.78931999206543,-6.106242656707764,17.11426217992287,-44.61831283569336,0.40075016021728516,0.0,-38.814239501953125,-14.17782211303711,15.691463819221465,0.5337558388710022,-34.70847094422953,-10.872056205362908,15.009368063635348,0.3747449815273285,0.005402565002441406,148.66962675778436,-3.786475448955241,-0.3224082887172699,0.19626149535179138,-30.50684928894043,-7.536688327789307,0.7222720980644226,-30.50684928894043,-7.536688327789307,-30.8292575776577,-7.340426832437515,16.19062485459487,22.786215064115822
8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,-47.93851089477539,0.7270652055740356,-30.50684928894043,-7.536688327789307,19.291253168224085,-47.93851089477539,0.7270652055740356,0.0,-38.20796203613281,-15.660886764526367,19.059080535659323,0.5614186525344849,-35.04586793141348,-12.325072730152968,18.346077163087735,0.3389502167701721,0.004467412363737822,144.83032278380685,-3.839300131996119,-0.27890077233314514,0.19652187824249268,-30.609468460083008,-10.136327743530273,0.7886159420013428,-30.609468460083008,-10.136327743530273,-30.888369232416153,-9.93980586528778,20.452604187976124,21.473170025274158
9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,-51.25859451293945,1.0533686876296997,-30.609468460083008,-10.136327743530273,23.486074873598376,-51.25859451293945,1.0533686876296997,0.0,-47.81697082519531,-22.377779006958008,23.68255594089507,0.5621320009231567,-40.748335364725264,-17.349137740360312,21.192399349644997,0.3055996894836426,0.005619904492050409,140.95905352451365,-3.8712675517458948,-0.23954053223133087,0.19425971806049347,-34.265159606933594,-16.34662628173828,0.7635746002197266,-34.265159606933594,-16.34662628173828,-34.504700139164925,-16.152366563677788,24.321526572949516,22.57504197768867
