frame_id,image_path,reference_x,reference_y,search_center_x,search_center_y,search_center_error_m,base_ms_x,base_ms_y,base_ms_error_m,base_ms_candidate_count,variance_x,variance_y,final_x,final_y,error_final_m,gru_xy_x,gru_xy_y,kalman_xy_x,kalman_xy_y,center_ms_xy_x,center_ms_xy_y,center_ms_candidate_count
0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,0.0,-13.725164413452148,-1.2636386156082153,5.134360062203189,36,45.585968017578125,39.88373565673828,-13.141615867614746,-1.7802927494049072,5.651872821968729,-13.639911651611328,-0.904373288154602,-13.141615867614746,-1.7802927494049072,-8.10112190246582,-1.4836629629135132,36
1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,-25.919267654418945,-1.4582853317260742,-25.919267654418945,-1.4582853317260742,0.0,-22.217599868774414,-1.649889349937439,3.706623327918987,36,31.146759033203125,40.00969314575195,-15.27280044555664,-1.5300098657608032,10.646708807803602,-21.829418182373047,-0.776105523109436,-15.27280044555664,-1.5300098657608032,-17.50860023498535,-1.4900606870651245,36
2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,-28.881437301635742,-1.16508948802948,-28.881437301635742,-1.16508948802948,0.0,-22.52801513671875,-1.4044976234436035,6.357931224931659,36,33.963375091552734,41.098915100097656,-16.737648010253906,-1.2607262134552002,12.144165872415046,-22.582727432250977,-1.4043352603912354,-16.737648010253906,-1.2607262134552002,-18.01447105407715,-1.2243320941925049,36
3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,-31.84273910522461,-0.8719794154167175,-31.84273910522461,-0.8719794154167175,0.0,-26.19841766357422,-1.344008445739746,5.6640247123526954,36,36.425479888916016,44.42601013183594,-18.9998836517334,-1.1182639598846436,12.845216708024536,-25.33342170715332,-2.3199286460876465,-18.9998836517334,-1.1182639598846436,-20.643129348754883,-1.1995387077331543,36
4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,-34.80412292480469,-0.5788613557815552,-34.80412292480469,-0.5788613557815552,0.0,-26.296127319335938,-0.8229289054870605,8.511495649502196,36,23.00910758972168,45.437557220458984,-22.276424407958984,-0.9205112457275391,12.532356313809391,-27.52203369140625,-0.3436688780784607,-22.276424407958984,-0.9205112457275391,-23.64776611328125,-0.9287667274475098,36
5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,-38.077056884765625,-0.2521708011627197,-38.077056884765625,-0.2521708011627197,0.0,-29.965103149414062,-0.7308599948883057,8.126065268546261,36,18.71564483642578,52.01243209838867,-25.998088836669922,-0.710730791091919,12.087669186873075,-31.72334861755371,-0.37564048171043396,-25.998088836669922,-0.710730791091919,-27.395517349243164,-0.7030173540115356,36
6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,-41.34334182739258,0.07385636121034622,-41.34334182739258,0.07385636121034622,0.0,-33.300689697265625,0.9880398511886597,8.094441595291459,36,15.423169136047363,47.96721267700195,-29.46225929260254,0.37760746479034424,11.884964742540003,-35.93175506591797,1.4298092126846313,-29.46225929260254,0.37760746479034424,-30.312898635864258,1.423403024673462,36
7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,-44.61831283569336,0.40075016021728516,-44.61831283569336,0.40075016021728516,0.0,-39.29884719848633,-1.9792786836624146,5.827628330901495,36,12.291585922241211,43.87464904785156,-32.691986083984375,0.8927314877510071,11.936469972951434,-41.39093017578125,-1.5998750925064087,-32.691986083984375,0.8927314877510071,-33.09712600708008,0.989732563495636,36
8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,-47.93851089477539,0.7270652055740356,-47.93851089477539,0.7270652055740356,0.0,-38.16938400268555,-2.9694666862487793,10.445103554346224,36,7.792683124542236,48.98661422729492,-31.790552139282227,0.5534693598747253,16.148891834635354,-39.25341796875,-2.9157207012176514,-31.790552139282227,0.5534693598747253,-29.737529754638672,-0.5371212363243103,36
9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,-51.25859451293945,1.0533686876296997,-51.25859451293945,1.0533686876296997,0.0,-50.824920654296875,0.21745654940605164,0.9417123331992494,36,28.298961639404297,47.394935607910156,-34.83290100097656,-0.7725280523300171,16.526866195801773,-48.8220329284668,-0.4385124742984772,-34.83290100097656,-0.7725280523300171,-37.91447448730469,-2.8532729148864746,36
