Variant,Label,AblationProtocol,Frames,MLE_m,MedLE_m,P90_m,LSR@5_pct,LSR@10_pct,LSR@15_pct,MHE_deg,MedHE_deg,HSR@15_pct,JumpRate_pct,MaxFinalStep_m,SelectedCapture_pct,InferenceMean_ms,FPS,DeltaMLE_m_vsFull,DeltaLSR15_pp_vsFull,DeltaMHE_deg_vsFull,DeltaHSR15_pp_vsFull,DeltaLatency_ms_vsFull
frames1,1 frame (retrained temporal),retrained temporal-context ablation,1474,3.6406830093161173,3.342086859177507,6.392362007179105,76.93351424694708,99.18588873812755,100.0,37.53717820610277,23.945518295768082,37.58480325644505,0.47489823609226595,24.5748297935125,98.98236092265942,53.500967362157624,18.691250818528587,-0.017727557452464904,0.0,0.13349836413028981,0.20352781546811372,5.94780300750196
frames2,2 frames (retrained temporal),retrained temporal-context ablation,1474,3.6341163280703572,3.356107478738991,6.379333148748826,77.54409769335142,99.18588873812755,100.0,37.467815240527486,24.085571486522717,37.58480325644505,0.5427408412483039,24.622035982659284,99.05020352781547,52.92109576820963,18.89605620374763,-0.024294238698225,0.0,0.06413539855500261,0.20352781546811372,5.367931413553968
full,SoftMS visual anchor (Full),trained Full baseline,1474,3.6584105667685822,3.36603027111308,6.502063682134365,76.86567164179104,99.18588873812755,100.0,37.40367984197248,23.69805325300426,37.381275440976935,0.7462686567164178,24.65652906844877,99.05020352781547,47.553164354655664,21.029094773628785,0.0,0.0,0.0,0.0,0.0
