frame_id,reference_x,reference_y,search_center_x,search_center_y,search_center_error_m,base_ms_x,base_ms_y,base_ms_error_m,final_x,final_y,error_final_m,variance_x,variance_y,second_ms_nearest_candidate_m,second_ms_capture
0,-37.63298034667969,0.8348962068557739,-34.456548431129285,8.177258244093709,8.0,-46.12792205810547,0.1896466314792633,8.519412051018847,-48.49949264526367,0.13191372156143188,10.88922742484092,17.692672729492188,16.957679748535156,1.1097068786621094,True
1,-47.69226837158203,1.7922438383102417,-54.9941647025521,-1.4761364901959033,8.000000000000004,-49.338104248046875,0.06552153825759888,2.38544453587961,-48.94727325439453,0.055971547961235046,2.1423535474139186,17.672340393066406,7.443083763122559,2.1660690307617188,True
2,-50.9120979309082,2.1374623775482178,-43.320147635635415,-0.3848957877620647,8.000000000000002,-49.14432144165039,0.16025304794311523,2.652242532094329,-49.55670166015625,0.1724260151386261,2.38714619501199,19.770864486694336,8.41182804107666,2.342602252960205,True
3,-54.1414794921875,2.4837052822113037,-58.035718904520756,9.471902431650516,8.0,-49.50408935546875,1.330151081085205,4.778710555690941,-49.19385528564453,0.6541988253593445,5.275043048623675,18.960071563720703,25.65299415588379,2.9864797592163086,True
4,-57.659645080566406,2.8609108924865723,-59.50861348295809,-4.922489125947347,7.999999999999999,-53.702091217041016,0.19862350821495056,4.7696967093471025,-49.259132385253906,0.12048030644655228,8.83620808610855,20.141124725341797,10.213480949401855,2.3187670707702637,True
5,-60.85377502441406,3.1642963886260986,-54.232792099133164,7.654573117641676,8.000000000000002,-49.82912063598633,1.1956121921539307,11.199050042290112,-49.46263122558594,0.1644844114780426,11.779517347659937,21.660587310791016,11.139179229736328,1.52284574508667,True
6,-64.02477264404297,3.465484857559204,-71.94001774443146,4.626904248122328,8.0,-63.927677154541016,0.3966856300830841,3.070334873045553,-49.955970764160156,0.07782228291034698,14.47091718085176,29.79830551147461,8.200014114379883,2.053576946258545,True
7,-67.50447845458984,3.795994520187378,-62.452550581093966,-2.407071234824044,8.0,-53.84861373901367,0.3005288243293762,14.096131439548879,-49.4338264465332,0.020269060507416725,18.4608929021095,20.437454223632812,5.977106094360352,2.066364288330078,True
8,-70.70535278320312,4.076558589935303,-70.24037645923912,12.063034472209845,8.0,-63.8661003112793,0.9473980665206909,7.521104969086164,-49.908226013183594,-0.01860811561346054,21.196482543915113,24.962814331054688,6.026906967163086,0.7416238188743591,True
9,-73.90149688720703,4.35670804977417,-79.63914290137156,-1.2181837174390697,8.0,-71.52447509765625,0.24154473841190338,4.752346964099028,-53.662811279296875,0.2841072380542755,20.644381136460623,22.476078033447266,6.932952404022217,1.2853401899337769,True
