frame_id,image_path,reference_x,reference_y,search_center_x,search_center_y,search_center_error_m,base_ms_x,base_ms_y,base_ms_error_m,base_ms_candidate_count,variance_x,variance_y,final_x,final_y,error_final_m,gru_xy_x,gru_xy_y,kalman_xy_x,kalman_xy_y
0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,0.0,-13.725164413452148,-1.2636386156082153,5.134360062203189,36,43.06544876098633,40.68419647216797,-15.993510246276855,-1.4613702297210693,2.873361774405056,-13.639911651611328,-0.904373288154602,-15.993510246276855,-1.4613702297210693
1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,-25.919267654418945,-1.4582853317260742,-25.919267654418945,-1.4582853317260742,0.0,-22.217599868774414,-1.649889349937439,3.706623327918987,36,20.64237403869629,39.683265686035156,-20.12523078918457,-0.906126856803894,5.820287121536477,-21.829418182373047,-0.776105523109436,-20.12523078918457,-0.906126856803894
2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,-28.881437301635742,-1.16508948802948,-28.881437301635742,-1.16508948802948,0.0,-22.52801513671875,-1.4044976234436035,6.357931224931659,36,22.349876403808594,39.91154479980469,-22.129501342773438,-1.0290427207946777,6.753306443176769,-22.582727432250977,-1.4043352603912354,-22.129501342773438,-1.0290427207946777
3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,-31.84273910522461,-0.8719794154167175,-31.84273910522461,-0.8719794154167175,0.0,-26.19841766357422,-1.344008445739746,5.6640247123526954,36,12.852201461791992,46.99002456665039,-24.86393928527832,-1.58831787109375,7.015467747054655,-25.33342170715332,-2.3199286460876465,-24.86393928527832,-1.58831787109375
4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,-34.80412292480469,-0.5788613557815552,-34.80412292480469,-0.5788613557815552,0.0,-26.296127319335938,-0.8229289054870605,8.511495649502196,36,13.121379852294922,47.23345184326172,-27.250043869018555,-0.9848952889442444,7.564983406191072,-27.52203369140625,-0.3436688780784607,-27.250043869018555,-0.9848952889442444
5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,-38.077056884765625,-0.2521708011627197,-38.077056884765625,-0.2521708011627197,0.0,-29.965103149414062,-0.7308599948883057,8.126065268546261,36,15.776595115661621,49.3802490234375,-30.61806869506836,-0.6212689280509949,7.4681147715682386,-31.72334861755371,-0.37564048171043396,-30.61806869506836,-0.6212689280509949
6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,-41.34334182739258,0.07385636121034622,-41.34334182739258,0.07385636121034622,0.0,-33.300689697265625,0.9880398511886597,8.094441595291459,36,22.321102142333984,44.24400329589844,-34.411190032958984,0.46334657073020935,6.943085130140687,-35.93175506591797,1.4298092126846313,-34.411190032958984,0.46334657073020935
7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,-44.61831283569336,0.40075016021728516,-44.61831283569336,0.40075016021728516,0.0,-39.29884719848633,-1.9792786836624146,5.827628330901495,36,60.50379943847656,45.15879821777344,-38.408504486083984,-0.2231857180595398,6.2410748849120035,-41.39093017578125,-1.5998750925064087,-38.408504486083984,-0.2231857180595398
8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,-47.93851089477539,0.7270652055740356,-47.93851089477539,0.7270652055740356,0.0,-38.16938400268555,-2.9694666862487793,10.445103554346224,36,36.70043182373047,47.83539581298828,-40.588748931884766,-1.2823232412338257,7.6194909830853375,-39.25341796875,-2.9157207012176514,-40.588748931884766,-1.2823232412338257
9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,-51.25859451293945,1.0533686876296997,-51.25859451293945,1.0533686876296997,0.0,-50.824920654296875,0.21745654940605164,0.9417123331992494,36,50.503849029541016,55.56766128540039,-45.55134963989258,-1.0495980978012085,6.082360836184042,-48.8220329284668,-0.4385124742984772,-45.55134963989258,-1.0495980978012085
10,/yh/study/new_data/model_dataset_flight/vi/vi_000010.jpg,-54.585689544677734,1.3803616762161255,-54.585689544677734,1.3803616762161255,0.0,-54.069576263427734,1.8826282024383545,0.7201698288917598,36,47.5858039855957,38.81713104248047,-51.340660095214844,-0.07239656895399094,3.555379395618868,-54.49335479736328,0.9927739500999451,-51.340660095214844,-0.07239656895399094
