frame_id,image_path,reference_x,reference_y,softms_x,softms_y,G_measurement_s,G_measurement_e,G_measurement_x,G_measurement_y,G_error_m,measurement_var_s,measurement_var_e,K_raw_s,K_raw_e,K_raw_x,K_raw_y,K_raw_error_m,K_original_s,K_original_e,K_original_x,K_original_y,K_original_error_m,K_raw_gain_vs_G_m,K_original_gain_vs_G_m,previous_kalman_output_s,previous_kalman_output_e,teacher_feedback_ms_s,teacher_feedback_ms_e,teacher_feedback_ms_x,teacher_feedback_ms_y,teacher_feedback_support,predicted_progress_s,predicted_cross_e,prior_center_x,prior_center_y,prior_jitter_x,prior_jitter_y,search_heading_deg
0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,-18.780746459960938,-2.1595981121063232,-31.556917190551758,-1.597339391708374,11.53759765625,0.19620782136917114,-30.274046394543564,-1.1306687052080897,11.539265102711566,8.128725051879883,7.553771018981934,0.0,0.0,-18.780745674413577,-2.1595981213156596,7.856013413017934e-07,0.0,0.0,-18.780745674413577,-2.1595981213156596,7.856013413017934e-07,11.539264317110225,11.539264317110225,0.0,0.0,0.0,0.0,-18.780745674413577,-2.1595981213156596,0.0,0.0,0.0,-22.286636481787085,-5.560398167149495,-3.505890021826147,-3.400800055043172,173.90999929632898
1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,-25.919267654418945,-1.4582853317260742,-36.07573699951172,-2.2079522609710693,14.61447811126709,1.0942018032073975,-33.42883105948262,-1.6971669344632048,7.513361894305223,7.578360557556152,7.094918251037598,7.172638198106864,-2.5747915259014817,-25.639743888045725,1.1616115420730848,2.634766244908659,7.172638198106864,-2.5747915259014817,-25.639743888045725,1.1616115420730848,2.634766244908659,4.878595649396564,4.878595649396564,0.0,0.0,9.289485446759436,-3.28257369646644,-27.6695556640625,2.0899767875671387,0.6555992960929871,7.172638198106864,-3.2970461857116757,-29.320126756208943,-4.996454472878796,-3.4008591017899956,-3.5381691411527214,173.95121059671789
2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,-28.881437301635742,-1.16508948802948,-41.0084228515625,-2.610828161239624,19.52044105529785,1.9968781471252441,-38.402872493645205,-2.07427275688668,9.56474476042127,7.9708404541015625,7.41921854019165,10.149196069256064,-1.2544242492441746,-28.739581951955795,0.16448041574017247,1.3371159520560896,10.149196069256064,-1.2544242492441746,-28.739581951955795,0.16448041574017247,1.3371159520560896,8.22762880836518,8.22762880836518,7.172638198106864,-2.5747915259014817,17.365972617033563,-1.3731911099150127,-35.90303039550781,1.0482087135314941,0.6538112163543701,10.149196069256064,-1.3986535063579029,-32.171866822075074,-4.837355860378661,-3.2904295204393312,-3.672266372349181,173.98398854781274
3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,-31.84273910522461,-0.8719794154167175,-46.2479248046875,-3.545149087905884,25.176212310791016,3.5245180130004883,-44.18879339255574,-2.9932675369722337,12.526967700141158,8.229093551635742,7.635387420654297,13.12488189497482,-0.9670671080806106,-31.728960291617334,0.19443708984837715,1.0724690117330649,13.12488189497482,-0.9670671080806106,-31.728960291617334,0.19443708984837715,1.0724690117330649,11.454498688408094,11.454498688408094,10.149196069256064,-1.2544242492441746,17.378375788545597,-1.4393544152133244,-35.90834426879883,1.1153144836425781,0.6544226408004761,13.12488189497482,-1.4732520311825055,-35.01743958123959,-4.674853821484464,-3.1747004760149813,-3.8028744060677466,174.0081296913516
4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,-34.80412292480469,-0.5788613557815552,-46.26588439941406,-3.548011541366577,24.391050338745117,3.421471357345581,-43.39713022724819,-2.974100683190028,8.920591120290828,8.002418518066406,7.444428443908691,16.100650121172926,0.24479657981646136,-34.81650196293598,-0.6948865643769103,0.11668371615033384,16.100650121172926,0.24479657981646136,-34.81650196293598,-0.6948865643769103,0.11668371615033384,8.803907404140494,8.803907404140494,13.12488189497482,-0.9670671080806106,22.315607937932224,-0.2006919998696402,-40.94912338256836,0.4074361026287079,0.6514368057250977,16.100650121172926,-0.23566911556034836,-37.857903164306414,-4.508640038984245,-3.0537802395017297,-3.9297786832026897,174.02963572923235
5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,-38.077056884765625,-0.2521708011627197,-51.42624282836914,-4.190382957458496,29.559711456298828,4.605292797088623,-48.66221412528389,-3.602895161499135,11.102833311612315,8.452777862548828,7.818251609802246,19.38977197054549,0.6544864436499183,-38.13052578625319,-0.7533196289362082,0.5039931259501743,19.38977197054549,0.6544864436499183,-38.13052578625319,-0.7533196289362082,0.5039931259501743,10.59884018566214,10.59884018566214,16.100650121172926,0.24479657981646136,22.343078917689862,-0.22236369622132734,-40.97414016723633,0.43189990520477295,0.6527230739593506,19.38977197054549,-0.26057337296388106,-41.004842975164706,-4.304938624144119,-2.9277860903990813,-4.0527678229814,174.046168242139
6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,-41.34334182739258,0.07385636121034622,-51.460304260253906,-4.058963775634766,29.66127586364746,4.578466415405273,-48.760359326041396,-3.5654451526530844,8.261759139800157,6.956280708312988,6.585270404815674,22.672211946844765,1.980075825285803,-41.535073717703575,-1.723192192302302,1.8072478029988386,22.672211946844765,1.980075825285803,-41.535073717703575,-1.723192192302302,1.8072478029988386,6.4545113368013185,6.4545113368013185,19.38977197054549,0.6544864436499183,27.297731991053883,1.1066220554056783,-46.04182434082031,-0.363943874835968,0.6369565725326538,22.672211946844765,1.0664075317326207,-44.1401860619692,-4.097777656010714,-2.796844234576623,-4.17163401722106,174.0566872003683
7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,-44.61831283569336,0.40075016021728516,-56.322105407714844,-4.6285400390625,34.0753288269043,5.540258407592773,-53.251538496949046,-4.053519996788357,9.714582232384199,7.846068859100342,7.315150260925293,25.963380910728766,2.4335098162372613,-44.855773940534995,-1.8249053333941743,2.238287325737131,25.963380910728766,2.4335098162372613,-44.855773940534995,-1.8249053333941743,2.238287325737131,7.476294906647068,7.476294906647068,22.672211946844765,1.980075825285803,32.53639899208163,2.342429841690509,-51.38203430175781,-1.0370043516159058,0.6287474632263184,25.963380910728766,2.3087478194467708,-47.2794025398481,-3.8854232629079872,-2.6610897041547403,-4.286173423125272,174.0495228922179
8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,-47.93851089477539,0.7270652055740356,-60.826114654541016,-5.069700241088867,38.59077453613281,6.444286346435547,-57.837409981805735,-4.473399969610114,11.181817436066163,8.28058910369873,7.674434185028076,29.29946028508333,3.353809324776656,-48.27066113435042,-2.386084654936954,3.130818716510003,29.29946028508333,3.353809324776656,-48.27066113435042,-2.386084654936954,3.130818716510003,8.05099871955616,8.05099871955616,25.963380910728766,2.4335098162372613,37.38974444366527,3.2528153315645443,-56.30457305908203,-1.4273580312728882,0.6147028207778931,29.29946028508333,3.2182518385809646,-50.45917713416896,-3.6691213481962457,-2.5206662393935693,-4.396186553770281,174.04318076808886
9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,-51.25859451293945,1.0533686876296997,-60.814186096191406,-5.128445148468018,38.11024475097656,6.365396022796631,-57.3512225620422,-4.445934528600671,8.20746321397515,8.438026428222656,7.801241874694824,32.635424637613376,3.585000344602621,-51.61232606569903,-2.26205669198389,3.3342422616246132,32.635424637613376,3.585000344602621,-51.61232606569903,-2.26205669198389,3.3342422616246132,4.873220952350536,4.873220952350536,29.29946028508333,3.353809324776656,37.368735048279355,3.2911600651057333,-56.287750244140625,-1.4677152633666992,0.6131093502044678,32.635424637613376,3.254212371429977,-53.63432066555253,-3.448109977798337,-2.375726152613076,-4.501478665428037,174.04095303252194
