frame_index,frame_id,reference_x,reference_y,search_center_x,search_center_y,jitter_m,visual_x,visual_y,visual_error_m,final_x,final_y,final_error_m,kalman_xy_x,kalman_xy_y,gru_xy_x,gru_xy_y
0,0,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,0.0,-29.983240127563477,0.5294792056083679,7.655834700711288,-32.42005157470703,1.9277328252792358,5.326248046817532,-31.20507049560547,0.6774904727935791,-32.42005157470703,1.9277328252792358
1,1,-47.69226837158203,1.7922438383102417,-47.69226837158203,1.7922438383102417,0.0,-38.5411376953125,-2.2640621662139893,10.009835715759804,-29.915061950683594,-1.6885401010513306,18.114770905638032,-31.608428955078125,-1.1209948062896729,-29.915061950683594,-1.6885401010513306
2,2,-50.9120979309082,2.1374623775482178,-50.9120979309082,2.1374623775482178,0.0,-52.826560974121094,0.47830119729042053,2.5333741464502255,-41.96724319458008,-0.051451027393341064,9.208787550396877,-42.65868377685547,-0.6197512149810791,-41.96724319458008,-0.051451027393341064
3,3,-54.1414794921875,2.4837052822113037,-54.1414794921875,2.4837052822113037,0.0,-54.71105194091797,3.310852289199829,1.0042832994344266,-49.44241714477539,1.8745732307434082,4.738378288084616,-50.90510940551758,1.2848466634750366,-49.44241714477539,1.8745732307434082
4,4,-57.659645080566406,2.8609108924865723,-57.659645080566406,2.8609108924865723,0.0,-53.950042724609375,3.2270076274871826,3.727623433060274,-53.5638427734375,4.345871448516846,4.35668502327724,-55.131317138671875,2.4269344806671143,-53.5638427734375,4.345871448516846
5,5,-60.85377502441406,3.1642963886260986,-60.85377502441406,3.1642963886260986,0.0,-74.12993621826172,11.407760620117188,15.627256911591983,-61.71080780029297,9.399540901184082,6.293868389974098,-64.70275115966797,6.989554405212402,-61.71080780029297,9.399540901184082
6,6,-64.02477264404297,3.465484857559204,-64.02477264404297,3.465484857559204,0.0,-76.53621673583984,9.284444808959961,13.798424844095967,-68.98959350585938,10.576139450073242,8.672419208269881,-74.03557586669922,8.91592025756836,-68.98959350585938,10.576139450073242
7,7,-67.50447845458984,3.795994520187378,-67.50447845458984,3.795994520187378,0.0,-75.00284576416016,6.89797830581665,8.114666703909634,-72.3751220703125,10.396966934204102,8.203414291743997,-78.72177124023438,8.898970603942871,-72.3751220703125,10.396966934204102
8,8,-70.70535278320312,4.076558589935303,-70.70535278320312,4.076558589935303,0.0,-76.60934448242188,6.798001289367676,6.501028253340979,-74.1634521484375,8.780789375305176,5.83851338114901,-81.12118530273438,8.647931098937988,-74.1634521484375,8.780789375305176
9,9,-73.90149688720703,4.35670804977417,-73.90149688720703,4.35670804977417,0.0,-77.20052337646484,4.774257659912109,3.3253456141807387,-74.90025329589844,7.474491119384766,3.2738487492632617,-81.82532501220703,7.444884777069092,-74.90025329589844,7.474491119384766
10,10,-77.41057586669922,4.6642866134643555,-77.41057586669922,4.6642866134643555,0.0,-77.10169982910156,4.742007255554199,0.3185041676475935,-76.89276123046875,6.187312126159668,1.608644991853489,-81.8252944946289,6.4732747077941895,-76.89276123046875,6.187312126159668
11,11,-80.71418762207031,4.9646830558776855,-80.71418762207031,4.9646830558776855,0.0,-80.55012512207031,3.9123966693878174,1.064999128214739,-78.35426330566406,5.596715927124023,2.443094007503886,-83.50942993164062,5.361258029937744,-78.35426330566406,5.596715927124023
12,12,-84.01985931396484,5.2652668952941895,-84.01985931396484,5.2652668952941895,0.0,-83.39042663574219,4.375438690185547,1.0899448293475291,-84.57463073730469,5.698406219482422,0.703833081286149,-85.15397644042969,4.7672905921936035,-84.57463073730469,5.698406219482422
13,13,-87.32689666748047,5.565974712371826,-87.32689666748047,5.565974712371826,0.0,-89.2957763671875,4.447353839874268,2.2644646008064795,-91.69698333740234,5.383121490478516,4.373910470435538,-88.4438705444336,4.424110412597656,-91.69698333740234,5.383121490478516
14,14,-90.52931213378906,5.903904438018799,-90.52931213378906,5.903904438018799,0.0,-88.38897705078125,3.113213300704956,3.516957675525267,-93.72298431396484,5.0042572021484375,3.3179673210322473,-89.95382690429688,3.65098237991333,-93.72298431396484,5.0042572021484375
15,15,-93.73101806640625,6.241759300231934,-93.73101806640625,6.241759300231934,0.0,-92.62348937988281,4.5176897048950195,2.049154889469686,-96.60908508300781,5.507349967956543,2.970290696107538,-92.45845031738281,3.772026777267456,-96.60908508300781,5.507349967956543
16,16,-97.24320983886719,6.612377643585205,-97.24320983886719,6.612377643585205,0.0,-95.0941390991211,5.2694926261901855,2.534135989716583,-99.00211334228516,5.8594069480896,1.9132972593434456,-94.96022033691406,4.226741790771484,-99.00211334228516,5.8594069480896
17,17,-100.48795318603516,6.946656227111816,-100.48795318603516,6.946656227111816,0.0,-95.1971435546875,5.546492099761963,5.472944923775362,-99.92752838134766,6.285140037536621,0.8669945967415877,-96.54175567626953,4.731512546539307,-99.92752838134766,6.285140037536621
18,18,-103.73233032226562,7.28089714050293,-103.73233032226562,7.28089714050293,0.0,-98.91188049316406,4.662332534790039,5.485764955699213,-101.3519287109375,7.449499607086182,2.3863651487045083,-98.8202896118164,4.732048988342285,-101.3519287109375,7.449499607086182
19,19,-107.29228973388672,7.647648811340332,-107.29228973388672,7.647648811340332,0.0,-109.48255157470703,3.7318825721740723,4.486699474128823,-107.5091323852539,7.352808952331543,0.36599354900363235,-105.14595031738281,4.431488990783691,-107.5091323852539,7.352808952331543
