frame_index,frame_id,reference_x,reference_y,search_center_x,search_center_y,jitter_m,visual_x,visual_y,visual_error_m,final_x,final_y,final_error_m,kalman_xy_x,kalman_xy_y,gru_xy_x,gru_xy_y
0,0,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,0.0,-29.69103240966797,0.6151264905929565,7.944988090764576,-32.72703170776367,2.1306312084198,5.0741759175219805,-30.96364974975586,0.7216982245445251,-32.72703170776367,2.1306312084198
1,1,-47.69226837158203,1.7922438383102417,-47.69226837158203,1.7922438383102417,0.0,-39.5966911315918,-1.8984417915344238,8.897164226144746,-31.596721649169922,0.5879969596862793,16.14053390808454,-31.984100341796875,-0.8764139413833618,-31.596721649169922,0.5879969596862793
2,2,-50.9120979309082,2.1374623775482178,-50.9120979309082,2.1374623775482178,0.0,-51.9869384765625,0.570592999458313,1.900095220397723,-41.428829193115234,1.1477473974227905,9.534774338970278,-42.50088882446289,-0.4164659082889557,-41.428829193115234,1.1477473974227905
3,3,-54.1414794921875,2.4837052822113037,-54.1414794921875,2.4837052822113037,0.0,-54.185997009277344,4.601127624511719,2.117890267459771,-49.17683792114258,3.2357823848724365,5.021283291878138,-50.47269821166992,2.1759302616119385,-49.17683792114258,3.2357823848724365
4,4,-57.659645080566406,2.8609108924865723,-57.659645080566406,2.8609108924865723,0.0,-53.45266342163086,4.556041240692139,4.535654481552537,-52.35968017578125,4.475816249847412,5.540536734395602,-54.626380920410156,3.681154251098633,-52.35968017578125,4.475816249847412
5,5,-60.85377502441406,3.1642963886260986,-60.85377502441406,3.1642963886260986,0.0,-73.4153060913086,9.627350807189941,14.126681675534211,-61.5981559753418,7.47712516784668,4.376596289238632,-64.28559875488281,7.115807056427002,-61.5981559753418,7.47712516784668
6,6,-64.02477264404297,3.465484857559204,-64.02477264404297,3.465484857559204,0.0,-76.6735610961914,7.9935503005981445,13.434851170133859,-71.27610778808594,8.576684951782227,8.871653046327843,-73.86697387695312,8.335955619812012,-71.27610778808594,8.576684951782227
7,7,-67.50447845458984,3.795994520187378,-67.50447845458984,3.795994520187378,0.0,-75.13109588623047,6.675940990447998,8.15226257674342,-76.3999252319336,8.823033332824707,10.217636350561584,-78.69279479980469,8.408661842346191,-76.3999252319336,8.823033332824707
8,8,-70.70535278320312,4.076558589935303,-70.70535278320312,4.076558589935303,0.0,-77.14640045166016,6.686550617218018,6.949759236823611,-78.19403839111328,7.9198408126831055,8.417317291026281,-81.4210205078125,8.257287979125977,-78.19403839111328,7.9198408126831055
9,9,-73.90149688720703,4.35670804977417,-73.90149688720703,4.35670804977417,0.0,-77.87831115722656,5.52518892288208,4.144924521514234,-78.25619506835938,7.244163513183594,5.225016296826687,-82.29512786865234,7.493522644042969,-78.25619506835938,7.244163513183594
10,10,-77.41057586669922,4.6642866134643555,-77.41057586669922,4.6642866134643555,0.0,-77.76382446289062,5.47208309173584,0.8816573716694098,-80.36788177490234,5.702239990234375,3.1341674248580587,-82.41837310791016,6.831230640411377,-80.36788177490234,5.702239990234375
11,11,-80.71418762207031,4.9646830558776855,-80.71418762207031,4.9646830558776855,0.0,-81.38468933105469,4.772594451904297,0.6974744249988044,-81.99176788330078,4.948596000671387,1.2776815398333512,-84.24998474121094,5.988711357116699,-81.99176788330078,4.948596000671387
12,12,-84.01985931396484,5.2652668952941895,-84.01985931396484,5.2652668952941895,0.0,-83.02679443359375,5.197080612182617,0.9954030469267342,-82.76927947998047,4.261125087738037,1.6038237717562749,-85.55926513671875,5.5590081214904785,-82.76927947998047,4.261125087738037
13,13,-87.32689666748047,5.565974712371826,-87.32689666748047,5.565974712371826,0.0,-88.45319366455078,5.225813865661621,1.1765433809444543,-85.46855163574219,2.9626681804656982,3.1985389095728483,-88.24958801269531,5.290661334991455,-85.46855163574219,2.9626681804656982
14,14,-90.52931213378906,5.903904438018799,-90.52931213378906,5.903904438018799,0.0,-87.89710235595703,3.8179931640625,3.358504750232243,-89.11144256591797,1.368410587310791,4.7519531333237195,-89.55512237548828,4.518959999084473,-89.11144256591797,1.368410587310791
15,15,-93.73101806640625,6.241759300231934,-93.73101806640625,6.241759300231934,0.0,-92.50254821777344,4.928804397583008,1.798051374513469,-91.41547393798828,0.7309713363647461,5.977501868954487,-92.07659912109375,4.489381790161133,-91.41547393798828,0.7309713363647461
16,16,-97.24320983886719,6.612377643585205,-97.24320983886719,6.612377643585205,0.0,-95.82901763916016,5.159788608551025,2.027302267155478,-94.27336883544922,1.1539578437805176,6.214040738238082,-94.95089721679688,4.611348628997803,-94.27336883544922,1.1539578437805176
17,17,-100.48795318603516,6.946656227111816,-100.48795318603516,6.946656227111816,0.0,-96.0688705444336,5.30503511428833,4.714150111247208,-94.00311279296875,0.819915771484375,8.921328574498734,-96.86669921875,4.81198263168335,-94.00311279296875,0.819915771484375
18,18,-103.73233032226562,7.28089714050293,-103.73233032226562,7.28089714050293,0.0,-99.83624267578125,4.200925827026367,4.96645972911557,-98.45289611816406,3.8042361736297607,6.3213603752686796,-99.42900085449219,4.511242866516113,-98.45289611816406,3.8042361736297607
19,19,-107.29228973388672,7.647648811340332,-107.29228973388672,7.647648811340332,0.0,-108.90025329589844,4.2247443199157715,3.78177497667059,-105.62007904052734,6.015554428100586,2.3366687139575797,-105.21378326416016,4.326623439788818,-105.62007904052734,6.015554428100586
20,20,-110.61548614501953,7.9523024559021,-110.61548614501953,7.9523024559021,0.0,-112.25946044921875,3.3430213928222656,4.893681991234582,-110.4170150756836,6.196857452392578,1.7666289722830582,-110.52745056152344,3.871302366256714,-110.4170150756836,6.196857452392578
21,21,-113.93445587158203,8.25656795501709,-113.93445587158203,8.25656795501709,0.0,-115.35295104980469,3.897193431854248,4.584351077725415,-113.15808868408203,5.968804836273193,2.415906889205679,-114.82522583007812,3.7449612617492676,-113.15808868408203,5.968804836273193
22,22,-117.24945068359375,8.560468673706055,-117.24945068359375,8.560468673706055,0.0,-117.55745697021484,4.316703796386719,4.254927520718457,-115.6128921508789,6.187855243682861,2.882293933541162,-118.05901336669922,3.858147144317627,-115.6128921508789,6.187855243682861
23,23,-120.81004333496094,8.859625816345215,-120.81004333496094,8.859625816345215,0.0,-119.14064025878906,4.784757614135742,4.4035732645330175,-117.19644165039062,6.0453057289123535,4.580230855454505,-120.4798355102539,4.153512001037598,-117.19644165039062,6.0453057289123535
24,24,-124.06947326660156,9.133479118347168,-124.06947326660156,9.133479118347168,0.0,-120.57709503173828,5.42210054397583,5.096178632823754,-118.9251708984375,6.644478797912598,5.714802660654327,-122.59295654296875,4.6553802490234375,-118.9251708984375,6.644478797912598
