protocol,controlled_gt_prior,gt_prior_jitter_limit_m,prior_center_x,prior_center_y,prior_jitter_x,prior_jitter_y,progress_capped_to_gt,frame_id,image_path,gt_x,gt_y,gt_progress_s,gt_cross_e,gt_waypoint_leg,gt_step_parallel,gt_step_norm_m,controlled_gt_motion_envelope,gt_velocity_parallel,gt_heading_deg,gt_turn_rate_deg_per_frame,predicted_progress_s,predicted_cross_e,predicted_x,predicted_y,kalman_progress_std_m,acquisition_hypothesis_count,acquisition_radius_m,acquisition_selected_index,acquisition_target_index,acquisition_confidence,acquisition_margin,selected_hypothesis_center_s,selected_hypothesis_center_e,selected_candidate_capture,bank_candidate_capture,search_grid_size,raw_top1_x,raw_top1_y,hardms_x,hardms_y,visual_anchor_x,visual_anchor_y,visual_anchor_s,visual_anchor_e,visual_entropy,visual_margin,visual_var_s,visual_var_e,candidate_capture,measurement_s,measurement_e,measurement_var_s,measurement_var_e,local_visual_confidence,kalman_raw_measurement_s,kalman_raw_measurement_e,kalman_used_measurement_s,kalman_used_measurement_e,kalman_measurement_clip_s,kalman_measurement_clip_e,kalman_posterior_projection_m,kalman_step_limited,kalman_step_limit_m,kalman_motion_step_s,kalman_motion_step_e,v_parallel,v_cross,a_parallel,a_cross,heading_residual_deg,turn_rate_deg_per_frame,estimated_heading_deg,polynomial_heading_deg,heading_error_deg,poly_next_step_parallel,poly_next_step_cross,kalman_nis,kalman_r_scale,final_progress_s,final_cross_e,waypoint_leg_before_update,waypoint_leg,target_waypoint,route_remaining_m,route_leg_progress,progress_error_m,speed_error_m_per_frame,final_x,final_y,final_step_m,gt_step_for_jump_m,excess_step_over_gt_m,abnormal_jump,error_final_m
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-41.41473208662878,-2.1012529727827833,-3.781751739949091,-2.9361491796385573,0,0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,-37.63298034667969,0.8348962068557739,1.6489573374209092e-06,1.4927559429529398e-07,0,0.0,0.0,1,0.0,173.92622821886636,0.0,0.0,0.0,-37.632978691184114,0.8348961808190729,3.6110061656028045,1,0.0,0,0,0.4328393750041492,1.0,3.4498538970947266,3.319810152053833,1,1,6,-32.53472900390625,4.505537986755371,-37.266056060791016,4.535549163818359,-34.176910400390625,4.294039726257324,0.0,-3.805408239364624,0.5513505935668945,0.02468249201774597,6.22622013092041,23.745986938476562,1,0.5312890410423279,-3.7597084045410156,7.248357772827148,24.7274227142334,0.4328393750041492,0.5312890410423279,-3.7597084045410156,0.5312890410423279,-2.0641849687568463,0.0,-1.6955234357841693,0.0,1,0.0,0.0,0.0,0.7776965498924255,-0.0022175332996994257,-0.014878770336508751,0.00013807046343572438,-0.14160430896592416,-0.04210109928097348,173.78462390990043,173.78462390990043,0.14160430896592416,0.7702495455741882,-0.0040521505288779736,0.020349000623414316,1.0,0.0,0.0,0,0,1,729.3023853156254,0.0,1.6489573374209092e-06,0.7776965498924255,-37.632978691184114,0.8348961808190729,0.0,0.0,0.0,0,1.6557003061335768e-06
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-51.3870498450466,-1.2895301306937865,-3.6947814734645634,-3.0817739690040282,0,1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,-47.69226837158203,1.7922438383102417,10.104117586693746,0.11238863701456824,0,10.104740969237914,10.104740969237914,1,10.104740969237914,174.56350519669104,0.6372769778246966,10.046361691698882,-0.0024312904570251703,-47.622687721896575,1.9003081355623432,5.215232707015157,1,0.0,0,0,0.41416814108683786,1.0,13.452078819274902,3.5678036212921143,1,1,6,-42.0279541015625,-0.19259993731975555,-46.75927734375,-0.16259177029132843,-45.23747253417969,-1.432462215423584,7.3218994140625,3.059253454208374,0.670826256275177,0.05604523420333862,42.30845260620117,34.16094207763672,1,8.015218734741211,3.1297030448913574,43.3974609375,35.097835540771484,0.41416814108683786,8.015218734741211,3.1297030448913574,8.015218734741211,2.0309461423362576,0.0,1.0987569025550998,0.0,1,7.0,10.046361691698882,-0.0024312904570251703,0.8064935207366943,-0.0035911935847252607,-0.011742847040295601,0.0006800643168389797,-0.1879953940356871,-0.056597522123877635,173.73823282483067,173.73823282483067,0.8252723718603836,0.8006071448326111,-0.00587809132412076,0.02201074260275555,1.0,6.9992432741609125,0.10292516268261262,0,0,1,722.3031420414645,0.009597175897253922,3.104874312532834,9.29824744850122,-44.603822000027506,1.4731309053157309,7.000000000000001,10.104740969237914,0.0,0,3.1048887345559857
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-54.51428199964562,-1.0873869059428523,-3.6021840687374134,-3.22484928349107,0,2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,-50.9120979309082,2.1374623775482178,13.342399770459824,0.10979455772263991,0,3.2382832227808875,3.2382832227808875,1,3.2382832227808875,173.8803305005938,-0.6831746960972553,10.485916358823243,0.09842579151906558,-48.0704465172282,1.846526004898766,8.40813926573911,1,0.0,0,0,0.14289990869805544,1.0,16.583145141601562,3.6976842880249023,1,1,6,-70.35478210449219,9.503743171691895,-60.98381805419922,-4.830735206604004,-59.57240676879883,-1.8062787055969238,21.53681182861328,4.947734832763672,0.9125677943229675,0.014452211558818817,92.45767211914062,57.70359802246094,1,18.72871971130371,5.178319931030273,94.43128967285156,58.237117767333984,0.14289990869805544,18.72871971130371,5.178319931030273,13.128891107742895,1.684210640870857,5.599828603560816,3.494109290159417,0.0,1,3.4866759877639324,3.4866730846623297,-0.004499371163547039,0.8500113487243652,-0.015167012810707092,0.035921916365623474,-0.008994091302156448,-0.06365729636345273,-0.03090610240125854,173.8625709225029,173.8625709225029,0.01775957809089407,0.867949903011322,-0.020628388971090317,0.003694304941307251,1.0,10.485725153113341,0.13971580532364786,0,0,1,718.8166601625121,0.014377746959617249,2.856674617346483,2.3882718740565223,-48.074625235108904,1.8054475419713438,3.486675987763933,3.2382832227808875,0.2483927649830453,0,2.8568313129146565
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-57.64550818893699,-0.8814474091462432,-3.504028696749486,-3.365152691357547,0,3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,-54.1414794921875,2.4837052822113037,16.590288722828088,0.10719254995743437,0,3.2478899946519495,3.2478899946519495,1,3.2478899946519495,173.88032639355833,-4.107035451511243e-06,13.962149033770315,0.12553902310304582,-51.5300341263139,2.1873812714816694,11.72768547081606,1,0.0,0,0,0.19397049187169269,1.0,19.718584060668945,3.8242123126983643,1,1,6,-70.35478210449219,9.503743171691895,-60.98381805419922,-4.830735206604004,-60.5369758605957,-0.821093738079071,22.60020637512207,4.070140361785889,0.9034596681594849,0.03259332478046417,90.50204467773438,57.73947525024414,1,19.93810272216797,4.298163414001465,92.5926284790039,58.235015869140625,0.19397049187169269,19.93810272216797,4.298163414001465,16.74556788641747,1.7955903346913387,3.1925348357504992,2.5025730793101264,0.0,1,3.476452786844116,3.4764238806569736,-0.014176782220602036,0.8822715282440186,-0.01702437549829483,0.049243755638599396,-0.009022173471748829,-0.08771924572650767,-0.04031120618729998,173.83850897313985,173.83850897313985,0.04181742041849751,0.9068593978881836,-0.022923879325389862,0.003984676821882635,1.0,13.96144020633606,0.21133178089623836,0,0,1,715.3409451092894,0.01914355483739967,2.6288485164920274,2.365618466407931,-51.538406913795555,2.101995112440054,3.4764527868441144,3.2478899946519495,0.2285627921921649,0,2.6309103941569134
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-61.06003871509445,-0.6415523486375916,-3.400393634528043,-3.502463241124164,0,4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,-57.659645080566406,2.8609108924865723,20.12861673793889,0.1043575616514216,0,3.5383291508389427,3.5383291508389427,1,3.5383291508389427,173.88032155632646,-4.837231877058128e-06,17.710077147636113,0.19190674078529266,-55.26394548105317,2.5179501986439115,14.324686872761536,1,0.0,0,0,0.3013089617171224,1.0,23.13932991027832,3.9469516277313232,1,1,6,-75.08610534667969,9.533742904663086,-70.41590118408203,-0.01257393043488264,-73.28302764892578,1.5071663856506348,35.52105712890625,3.103595495223999,0.6435408592224121,0.0036992430686950684,26.089811325073242,45.30224609375,1,32.32520294189453,3.427065134048462,28.68138885498047,45.66443634033203,0.3013089617171224,32.32520294189453,3.427065134048462,20.7886767923582,2.0390665276185445,11.536526149536332,1.3879986064299175,0.0,1,3.748687270213766,3.7486369413000538,-0.0194250401109457,0.9358398914337158,-0.021854113787412643,0.0666518583893776,-0.01063977088779211,-0.018823667847224574,-0.030737942343480033,173.9074045510191,173.9074045510191,0.027082994692662652,0.969156801700592,-0.027492402121424675,0.0067568553081094685,1.0,17.70787451681884,0.34127872045300284,0,0,1,711.5945107988066,0.024280565747985695,2.420742221120051,2.602489259405227,-55.27756009711159,2.3691836630186254,3.7486872702137624,3.5383291508389427,0.21035811937481963,0,2.432308478914868
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-64.14514128436127,-0.472265461726169,-3.2913662599472175,-3.6365618503522676,0,5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,-60.85377502441406,3.1642963886260986,23.336917263843283,0.14064244739825194,0,3.208505704756041,3.208505704756041,1,3.208505704756041,174.57419812183036,0.6938765655039107,21.110023184956354,0.31701326164565363,-58.65804324926289,2.7532904588739164,11.61321805166064,1,0.0,0,0,0.5952434226792319,1.0,26.225027084350586,4.105046272277832,1,1,6,-79.81743621826172,9.563739776611328,-75.11666870117188,4.775583744049072,-77.13702392578125,3.9059526920318604,39.607234954833984,1.1260617971420288,0.6499819159507751,0.15212209522724152,18.313383102416992,42.246177673339844,1,36.32612228393555,1.493730068206787,21.2113094329834,42.54425048828125,0.5952434226792319,36.32612228393555,1.493730068206787,24.996942597324242,1.493730068206787,11.329179686611305,0.0,0.0,1,3.402235202422223,3.4021486681375133,-0.024265458807349205,0.9841012954711914,-0.02416243962943554,0.08143513649702072,-0.010891107842326164,0.004262298176245799,-0.03022718559982324,173.93049051704259,173.93049051704259,0.6437076047877777,1.0248210430145264,-0.029531754553318024,0.029098337369873342,1.0,21.098795437837325,0.6185145045793372,0,0,1,708.2035898777881,0.028930106170852912,2.2381218260059583,2.2244044092848494,-58.678780039123126,2.4522937025089724,3.4022352024222324,3.208505704756041,0.19372949766619163,0,2.2885696430475355
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-67.2018156732335,-0.30174683902330957,-3.1770430291905294,-3.7672316965825137,0,6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,-64.02477264404297,3.465484857559204,26.52198285419817,0.17666442190985815,0,3.1852692817892896,3.1852692817892896,1,3.1852692817892896,174.57419576006495,-2.3617654319307122e-06,24.46309817039234,0.5910892675793487,-62.021295371842434,2.8355381029089934,9.196068594780282,1,0.0,0,0,0.6206513122678108,1.0,29.28258514404297,4.258908271789551,1,1,6,-79.81743621826172,9.563739776611328,-75.11666870117188,4.775583744049072,-77.5286865234375,4.489935874938965,40.05848693847656,0.5867982506752014,0.6120627522468567,0.18169023096561432,15.353715896606445,38.26848602294922,1,36.72381591796875,0.9619907140731812,18.595779418945312,38.50786590576172,0.6206513122678108,36.72381591796875,0.9619907140731812,28.419889279128817,0.9619907140731812,8.30392663883993,0.0,0.0,1,3.364414513686095,3.3643027325550143,-0.027425236999988556,1.0309264659881592,-0.026709383353590965,0.09537976235151291,-0.011297855526208878,-0.0073338589253949945,-0.031302726950688683,173.91889435994096,173.91889435994096,0.6553014001239866,1.078612208366394,-0.0324963741004467,0.04572595122973391,1.0,24.462027277521887,0.7077143500592099,0,0,1,704.8403580381035,0.033541680063113026,2.059955576676284,2.1543428158011304,-62.03257046019421,2.7194543871792063,3.3644145136860906,3.1852692817892896,0.17914523189680098,0,2.127306043818607
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-70.56200789127028,-0.09826408944263809,-3.0575294366804333,-3.894258609630016,0,7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,-67.50447845458984,3.795994520187378,30.017126139965036,0.21619386667028173,0,3.4953668140903713,3.4953668140903713,1,3.4953668140903713,174.57420559931634,9.839251396384248e-06,28.12217265548048,0.6772464300538884,-65.66894577809786,3.13702717039458,9.740738522158537,1,0.0,0,0,0.36613448254467085,1.0,32.64544677734375,4.412105560302734,1,1,6,-84.54875946044922,9.593735694885254,-79.84799194335938,4.805581092834473,-82.4906005859375,4.7575201988220215,45.0208625793457,0.8457306027412415,0.6077423691749573,0.014450818300247192,12.93586540222168,30.60149383544922,1,41.66883087158203,1.255054235458374,16.396116256713867,30.809144973754883,0.36613448254467085,41.66883087158203,1.255054235458374,31.379042482478326,1.255054235458374,10.289788389103707,0.0,0.0,1,3.6602721868654946,3.6601453779585937,-0.030467920005321503,1.0799795389175415,-0.027952034026384354,0.10713067650794983,-0.010837922804057598,0.006988897686722988,-0.03356162192063198,173.93321711655307,173.93321711655307,0.6409884827632649,1.1335489749908447,-0.03323272615671158,0.0172499339197355,1.0,28.12180551351522,0.7678454176586561,0,0,1,701.1805798021102,0.03855987047312994,1.8953206264498164,2.41538727517283,-65.67816687480128,3.046897914745719,3.6602721868654964,3.4953668140903713,0.16490537277512507,0,1.97397054455076
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-73.63829274052361,0.05912712551819155,-2.9329399573204826,-4.017431464417111,0,8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,-70.70535278320312,4.076558589935303,33.22971848128238,0.2758856861948469,0,3.2131468476882663,3.2131468476882663,1,3.2131468476882663,174.9906943779613,0.4164887786449554,31.486533650809797,0.7357186109822683,-69.0206077564065,3.434862504087519,9.194763399893109,1,0.0,0,0,0.4984484201790658,1.0,35.72111511230469,4.581096172332764,1,1,6,-89.28009033203125,9.623729705810547,-84.5793228149414,4.835577011108398,-87.26212310791016,4.342400550842285,49.721675872802734,1.7633894681930542,0.6327273845672607,0.07403719425201416,11.60981559753418,36.05539321899414,1,46.33736038208008,2.191845178604126,15.393755912780762,36.223541259765625,0.4984484201790658,46.33736038208008,2.191845178604126,35.10726680630223,2.191845178604126,11.23009357577785,0.0,0.0,1,3.3648815089998436,3.3647281372945783,-0.03212680667638779,1.1347262859344482,-0.029538795351982117,0.11776071786880493,-0.010496419854462147,0.002825705622035141,-0.035627033773046816,173.9290539244884,173.9290539244884,1.0616404534729083,1.193608283996582,-0.03472813963890076,0.037017202662464777,1.0,31.47633034296266,1.0316459829152176,0,0,1,697.8260549726627,0.043159505544933086,1.7533881383197212,2.078420561753818,-69.04177346976616,3.139516724486486,3.3648815089998365,3.2131468476882663,0.1517346613115702,0,1.9093306653639688
GT+smooth-jitter_controlled_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,8.0,-76.7048948581411,0.22016547625838356,-2.80339797093407,-4.136542573515786,0,9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,-73.90149688720703,4.35670804977417,36.43756328176886,0.33548928842530945,0,3.2083984873152747,3.2083984873152747,1,3.2083984873152747,174.99069428429587,-9.36654270362917e-08,34.82495558639721,0.997958376461322,-72.3680367048769,3.5273295228136687,8.51555799500138,1,0.0,0,0,0.4890717888798418,1.0,38.787540435791016,4.74543571472168,1,1,6,-89.28009033203125,9.623729705810547,-84.5793228149414,4.835577011108398,-87.27328491210938,4.204402923583984,49.71817398071289,1.901793360710144,0.6370289325714111,0.07160434126853943,11.919164657592773,37.08595275878906,1,46.33185577392578,2.379920482635498,15.830097198486328,37.240394592285156,0.4890717888798418,46.33185577392578,2.379920482635498,38.41990300581678,2.379920482635498,7.911952768109007,0.0,0.0,1,3.348794690003507,3.3486252434345487,-0.03368760645389557,1.185265302658081,-0.030809640884399414,0.13167665898799896,-0.0098220594227314,0.028543233809457672,-0.03698040507459443,173.9547714526758,173.9547714526758,1.0359228316200586,1.2511212825775146,-0.0350973978638649,0.04283283152154851,1.0,34.81416887193203,1.3023115151191784,0,0,1,694.4882164436934,0.04773626080609246,1.623394409836827,2.0231331846571936,-72.38951380754929,3.2235435450585364,3.348794690003524,3.2083984873152747,0.14039620268824926,0,1.8894852812125125
