frame_id,reference_x,reference_y,meanshift_x,meanshift_y,error_m,latency_ms
0,-18.780746459960938,-2.1595981121063232,-29.051822662353516,-2.7776217460632324,10.289652824401855,6.381788989529014
1,-25.919267654418945,-1.4582853317260742,-32.741119384765625,-3.7533743381500244,7.197575569152832,6.05040998198092
2,-28.881437301635742,-1.16508948802948,-37.5518913269043,-8.594459533691406,11.418069839477539,6.110165995778516
3,-31.84273910522461,-0.8719794154167175,-45.128753662109375,-6.070940971374512,14.267004013061523,5.869967018952593
4,-34.80412292480469,-0.5788613557815552,-46.114768981933594,-4.167135715484619,11.866188049316406,5.879195989109576
5,-38.077056884765625,-0.2521708011627197,-52.31434631347656,-1.6353870630264282,14.30432415008545,6.113836978329346
6,-41.34334182739258,0.07385636121034622,-51.7699089050293,-0.8966439962387085,10.471636772155762,6.040924985427409
7,-44.61831283569336,0.40075016021728516,-55.92994689941406,-0.6031675338745117,11.356096267700195,5.9023459907621145
8,-47.93851089477539,0.7270652055740356,-59.66796112060547,-1.1199240684509277,11.873978614807129,6.052788987290114
9,-51.25859451293945,1.0533686876296997,-59.65226364135742,-1.4964141845703125,8.772403717041016,6.062311003915966
10,-54.585689544677734,1.3803616762161255,-62.56660842895508,-0.3987286686897278,8.176810264587402,5.946441990090534
11,-57.930152893066406,1.7030118703842163,-74.78584289550781,1.6988164186477661,16.85569190979004,5.906787991989404
12,-61.281715393066406,2.0263473987579346,-74.3546371459961,1.0944843292236328,13.106091499328613,5.959710018942133
13,-64.62455749511719,2.3488411903381348,-76.96472930908203,0.7692190408706665,12.440862655639648,5.848965985933319
14,-67.96265411376953,2.678952693939209,-78.66761779785156,3.0353078842163086,10.710893630981445,5.910037987632677
15,-71.30087280273438,3.009075880050659,-78.66068267822266,2.512904405593872,7.376515865325928,5.9481879870872945
16,-74.64299774169922,3.3395848274230957,-84.25431823730469,2.858433723449707,9.623355865478516,5.9659099788405
17,-77.97047424316406,3.6625680923461914,-89.58853149414062,3.0529375076293945,11.634039878845215,6.002909998642281
18,-81.29307556152344,3.9850776195526123,-89.48942565917969,1.565469741821289,8.54603099822998,5.886213999474421
19,-84.62059020996094,4.3080644607543945,-93.07505798339844,1.5381689071655273,8.896648406982422,5.939755996223539
20,-87.91920471191406,4.623467922210693,-95.82550811767578,2.105423927307129,8.297600746154785,5.950936989393085
21,-91.22086334228516,4.939162731170654,-95.76605224609375,3.02636981010437,4.93127965927124,6.000635999953374
22,-94.5164794921875,5.254280090332031,-104.50060272216797,1.7093735933303833,10.594766616821289,5.954774998826906
23,-97.71556854248047,5.570963382720947,-108.49246978759766,-0.24174803495407104,12.244558334350586,5.919090006500483
24,-101.2225570678711,5.918126583099365,-108.3864517211914,0.10169751197099686,9.22779655456543,5.9817069850396365
25,-104.41236877441406,6.233891487121582,-113.588623046875,-0.7928955554962158,11.55765438079834,5.949743004748598
26,-107.75296020507812,6.5345540046691895,-117.23823547363281,-1.3764467239379883,12.351290702819824,6.006162002449855
27,-111.09230041503906,6.835103988647461,-118.60450744628906,0.7375730276107788,9.67538833618164,5.983290000585839
28,-114.4308090209961,7.135579586029053,-120.18008422851562,1.0033490657806396,8.405856132507324,5.936631001532078
29,-117.76180267333984,7.465998649597168,-127.56864166259766,-0.9812479615211487,12.943340301513672,5.989386001601815
30,-121.08988952636719,7.79612922668457,-127.74774932861328,-1.0405288934707642,11.064069747924805,6.011805991875008
31,-124.41860961914062,8.126322746276855,-131.6422119140625,2.3427436351776123,9.253660202026367,5.98236799123697
32,-127.7506332397461,8.479126930236816,-137.03390502929688,2.9728610515594482,10.793428421020508,5.96981099806726
33,-131.07872009277344,8.831513404846191,-136.953125,2.923614263534546,8.331380844116211,5.97149200621061
34,-134.4064178466797,9.183857917785645,-141.07623291015625,3.2143874168395996,8.951033592224121,6.0231460083741695
35,-137.9134521484375,9.491893768310547,-145.80496215820312,3.105308771133423,10.152063369750977,5.888917978154495
36,-141.10328674316406,9.772066116333008,-145.80511474609375,3.1327786445617676,8.13555908203125,5.973509978502989
37,-144.29208374023438,10.052149772644043,-151.16534423828125,3.619917392730713,9.41357135772705,6.014252983732149
38,-147.48928833007812,10.328798294067383,-155.75814819335938,3.9405598640441895,10.449097633361816,6.020991975674406
39,-150.68637084960938,10.605437278747559,-155.7767333984375,3.918341636657715,8.404108047485352,5.953407002380118
40,-154.1981964111328,10.909310340881348,-160.20364379882812,3.4548275470733643,9.572602272033691,5.9108260029461235
41,-157.47799682617188,11.261993408203125,-164.9986572265625,3.03729248046875,11.144776344299316,6.009524018736556
42,-160.7559356689453,11.614477157592773,-164.97637939453125,3.022165060043335,9.572876930236816,5.969863006612286
43,-164.03280639648438,11.966845512390137,-170.07803344726562,2.7312119007110596,11.038192749023438,5.99260299350135
44,-167.38104248046875,12.304368019104004,-174.72299194335938,7.01967716217041,9.046113967895508,5.993553000735119
