frame_id,reference_x,reference_y,meanshift_x,meanshift_y,error_m,latency_ms
0,-37.63298034667969,0.8348962068557739,-40.00403594970703,-0.43743133544921875,2.690859079360962,986.4538310212083
1,-47.69226837158203,1.7922438383102417,-53.813392639160156,1.2085033655166626,6.148895263671875,9.34580501052551
2,-50.9120979309082,2.1374623775482178,-56.83416748046875,0.9981260299682617,6.030671119689941,7.837635988835245
3,-54.1414794921875,2.4837052822113037,-56.72254180908203,0.8917849063873291,3.032506227493286,7.70125599228777
4,-57.659645080566406,2.8609108924865723,-72.72826385498047,4.247552394866943,15.132285118103027,7.6620629988610744
5,-60.85377502441406,3.1642963886260986,-77.80322265625,4.055117130279541,16.972841262817383,7.711489015491679
6,-64.02477264404297,3.465484857559204,-77.33518981933594,3.8306312561035156,13.315424919128418,7.666931982384995
7,-67.50447845458984,3.795994520187378,-78.88429260253906,3.273344039916992,11.391809463500977,7.649618026334792
8,-70.70535278320312,4.076558589935303,-80.12628936767578,3.0112552642822266,9.480976104736328,7.757940998999402
9,-73.90149688720703,4.35670804977417,-78.7362060546875,2.4943764209747314,5.18099308013916,7.736991014098749
10,-77.41057586669922,4.6642866134643555,-80.57584381103516,2.197333335876465,4.013075828552246,8.050468022702262
11,-80.71418762207031,4.9646830558776855,-87.88217163085938,1.882598876953125,7.802514553070068,7.734843995422125
12,-84.01985931396484,5.2652668952941895,-87.3201904296875,2.3867433071136475,4.379278659820557,7.67369000823237
13,-87.32689666748047,5.565974712371826,-90.44956970214844,3.0136380195617676,4.033052444458008,7.7108660188969225
14,-90.52931213378906,5.903904438018799,-94.34864044189453,1.105233907699585,6.1330671310424805,7.812214986188337
15,-93.73101806640625,6.241759300231934,-94.68101501464844,2.317892551422119,4.037230014801025,7.748561998596415
16,-97.24320983886719,6.612377643585205,-99.01058959960938,2.4580740928649902,4.5146284103393555,7.657462992938235
17,-100.48795318603516,6.946656227111816,-107.55535888671875,-0.5974773168563843,10.337416648864746,7.674149004742503
18,-103.73233032226562,7.28089714050293,-108.02691650390625,-0.9723496437072754,9.30373764038086,7.68298000912182
19,-107.29228973388672,7.647648811340332,-111.8050765991211,-2.478947162628174,11.086623191833496,7.666466000955552
20,-110.61548614501953,7.9523024559021,-113.99007415771484,-0.5569670796394348,9.1539888381958,7.633244997123256
21,-113.93445587158203,8.25656795501709,-116.18521118164062,0.33282774686813354,8.23720645904541,7.724673021584749
22,-117.24945068359375,8.560468673706055,-118.56489562988281,0.663122296333313,8.006152153015137,7.704652001848444
23,-120.81004333496094,8.859625816345215,-120.34172821044922,1.0470532178878784,7.826596260070801,7.675983011722565
24,-124.06947326660156,9.133479118347168,-121.51927185058594,2.0605411529541016,7.518641948699951,7.639168004970998
25,-127.31895446777344,9.40649700164795,-130.34019470214844,2.7726950645446777,7.289391040802002,7.634947978658602
26,-130.83126831054688,9.741641998291016,-136.71859741210938,2.801213502883911,9.101109504699707,7.658312009880319
27,-134.03652954101562,10.047489166259766,-136.71688842773438,2.9080941677093506,7.625960826873779,7.6610950054600835
28,-137.2352752685547,10.352712631225586,-141.2081298828125,3.1474740505218506,8.22794246673584,7.629221014212817
29,-140.4192352294922,10.665609359741211,-145.73257446289062,3.3838467597961426,9.014190673828125,7.714281004155055
30,-143.60858154296875,10.979033470153809,-145.802734375,3.4671971797943115,7.82572603225708,7.723665999947116
31,-147.09031677246094,11.321191787719727,-150.98260498046875,3.6662673950195312,8.587652206420898,7.637913018697873
32,-150.38534545898438,11.621426582336426,-155.9425048828125,3.732753276824951,9.649518013000488,7.6585939968936145
33,-153.68882751464844,11.922432899475098,-155.9215850830078,3.7098610401153564,8.510672569274902,7.622951990924776
34,-156.9862060546875,12.222880363464355,-160.17616271972656,3.5933098793029785,9.200287818908691,7.655963010620326
35,-161.97410583496094,12.701958656311035,-164.8834228515625,3.1967854499816895,9.940444946289062,7.57983498624526
36,-166.95358276367188,13.180227279663086,-170.06692504882812,6.983015060424805,6.935296535491943,7.636513008037582
37,-170.4643096923828,13.542064666748047,-175.24253845214844,7.292459487915039,7.8669586181640625,7.598793017677963
38,-173.6732940673828,13.872800827026367,-175.21234130859375,7.328034400939941,6.72329044342041,8.195447007892653
39,-176.89031982421875,14.204366683959961,-179.54051208496094,7.623959541320801,7.094030857086182,7.565574022009969
40,-180.07899475097656,14.495210647583008,-183.7825469970703,7.863883972167969,7.59544563293457,7.636080001248047
41,-183.2713623046875,14.786392211914062,-183.87197875976562,7.876941204071045,6.935506820678711,7.654601999092847
42,-186.7760009765625,15.10605525970459,-188.11630249023438,7.902852535247803,7.326837062835693,7.642682990990579
43,-190.19520568847656,15.40483283996582,-192.80056762695312,7.7414093017578125,8.094194412231445,7.680581009481102
44,-193.5978240966797,15.702159881591797,-192.88333129882812,7.789239883422852,7.9451117515563965,7.611220993567258
45,-196.71273803710938,15.974347114562988,-197.96759033203125,7.87586784362793,8.195121765136719,7.618164992891252
46,-199.96063232421875,16.28047752380371,-203.30239868164062,8.140730857849121,8.799027442932129,7.631780026713386
47,-203.51315307617188,16.61532211303711,-203.234375,8.113214492797852,8.50667667388916,7.603973994264379
48,-206.75160217285156,16.920562744140625,-208.1121826171875,12.630481719970703,4.500663757324219,7.59320700308308
49,-210.1930389404297,17.253925323486328,-212.27024841308594,12.371253967285156,5.306154727935791,7.638545008376241
50,-213.3181915283203,17.556650161743164,-212.18093872070312,12.31741714477539,5.361241340637207,7.673082000110298
51,-216.74961853027344,17.889041900634766,-216.22686767578125,12.11018180847168,5.802455902099609,7.680002978304401
52,-219.85296630859375,18.18168067932129,-219.6932373046875,12.04661750793457,6.137142181396484,7.631964981555939
53,-223.26548767089844,18.50347328186035,-219.83291625976562,12.042793273925781,7.315937042236328,7.668639009352773
54,-226.6659393310547,18.824125289916992,-223.36434936523438,12.26502799987793,7.343177318572998,7.660112984012812
55,-229.90402221679688,19.161306381225586,-227.9225311279297,13.092450141906738,6.384146213531494,7.568075001472607
56,-233.15289306640625,19.499608993530273,-227.18124389648438,12.092052459716797,9.514856338500977,7.62045499868691
57,-236.7150115966797,19.870529174804688,-231.7759552001953,12.367277145385742,8.982932090759277,7.6180879841558635
58,-241.94894409179688,20.40029525756836,-239.32579040527344,20.830883026123047,2.6582589149475098,8.17899897811003
59,-246.72323608398438,20.88353729248047,-243.54837036132812,19.108253479003906,3.6374998092651367,7.662488002097234
