frame_id,image_path,reference_x,reference_y,previous_final_x,previous_final_y,previous_final_error_to_current_ref_m,prior_x,prior_y,prior_error_m,ms1_x,ms1_y,ms1_error_m,ms1_support,kalman_x_prime_x,kalman_x_prime_y,kalman_error_m,pred_speed_m_per_frame,pred_acceleration_m_per_frame2,pred_heading_deg,pred_heading_delta_deg,delta_x,delta_y,ms2_x,ms2_y,ms2_support,final_x,final_y,next_prior_x,next_prior_y,error_final_m,tracking_core_latency_ms
0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,-37.63298034667969,0.8348962068557739,-37.632978691184114,0.8348961808190729,1.6557003061335768e-06,-37.63298034667969,0.8348962068557739,0.0,-29.379743576049805,-7.919555187225342,12.031472744573124,0.8614180088043213,-30.617728843319952,-6.606387482018679,10.226752006072115,0.6573588252067566,0.010612819343805313,171.370252237942,-2.555984426578886,-0.6551629900932312,0.09943204373121262,-27.2622013092041,-3.8784117698669434,0.7082085609436035,-27.2622013092041,-3.8784117698669434,-27.2622013092041,-3.8784117698669434,11.391590315999826,20.874649984762073
1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,-47.69226837158203,1.7922438383102417,-27.2622013092041,-3.8784117698669434,21.20245210346697,-47.69226837158203,1.7922438383102417,0.0,-38.289581298828125,-8.364156723022461,13.840628473822012,0.7962461113929749,-35.853089811758984,-7.3730346793628945,14.972256986770379,0.6448289155960083,0.008466264232993126,170.7010166426858,-3.225210416881555,-0.6405324339866638,0.10487954318523407,-30.592994689941406,-4.5242414474487305,0.7306132316589355,-30.592994689941406,-4.5242414474487305,-31.23352712392807,-4.419361904263496,18.228635352237898,19.687887048348784
2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,-50.9120979309082,2.1374623775482178,-30.592994689941406,-4.5242414474487305,21.383270432023405,-50.9120979309082,2.1374623775482178,0.0,-48.397003173828125,-11.207976341247559,13.580369517587698,0.6336275339126587,-43.53575898495323,-9.383035208363598,13.679628681825104,0.5950649976730347,0.006949273869395256,167.18173435208004,-3.5192825040491615,-0.5836232900619507,0.13279162347316742,-32.416015625,-6.483269691467285,0.705920934677124,-32.416015625,-6.483269691467285,-32.99963891506195,-6.350478067994118,20.406422569198227,20.422860980033875
3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,-54.1414794921875,2.4837052822113037,-32.416015625,-6.483269691467285,23.503242763989988,-54.1414794921875,2.4837052822113037,0.0,-55.264671325683594,-1.1715716123580933,3.823952022555358,0.7017571330070496,-47.7015108421986,-2.9298030609995065,8.413041589987113,0.5457283854484558,0.006392084062099457,163.5324872219473,-3.6492496914536914,-0.5264078974723816,0.1556045114994049,-34.987144470214844,-1.388113021850586,0.706898033618927,-34.987144470214844,-1.388113021850586,-35.513552367687225,-1.232508510351181,19.541738078114673,22.03519199974835
4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,-57.659645080566406,2.8609108924865723,-34.987144470214844,-1.388113021850586,23.06721674045226,-57.659645080566406,2.8609108924865723,0.0,-54.5906982421875,-1.025267481803894,4.951849861778806,0.7146285176277161,-47.29461164420216,-1.1603120003981888,11.117740404021369,0.49849188327789307,0.006081305909901857,159.78075993350768,-3.751724300231862,-0.4706266224384308,0.17333634197711945,-34.62023162841797,0.15522992610931396,0.715661883354187,-34.62023162841797,0.15522992610931396,-35.0908582508564,0.3285662680864334,23.197743030537573,20.6916710594669
5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,-60.85377502441406,3.1642963886260986,-34.62023162841797,0.15522992610931396,26.405553962858903,-60.85377502441406,3.1642963886260986,0.0,-66.44915008544922,-0.8209176659584045,6.869508944204966,0.5213757753372192,-53.869096847764865,-0.43510535214613477,7.857571006541,0.4538303017616272,0.005573613103479147,155.97299777311727,-3.8077655754849937,-0.4170529246330261,0.18591947853565216,-53.06705093383789,1.2864938974380493,0.6937567591667175,-53.06705093383789,1.2864938974380493,-53.48410385847092,1.4724133759737015,8.009944710088288,23.407345986925066
6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,-64.02477264404297,3.465484857559204,-53.06705093383789,1.2864938974380493,11.17227222558551,-64.02477264404297,3.465484857559204,0.0,-76.68767547607422,-1.219804286956787,13.501890330660535,0.7212483286857605,-67.10384147481099,-0.2028986706824525,4.7893321637658275,0.41187140345573425,0.005496940575540066,152.11676859037644,-3.856228755853996,-0.36648353934288025,0.1939057558774948,-73.39755249023438,2.6728310585021973,0.6121485829353333,-73.39755249023438,2.6728310585021973,-73.76403602957726,2.866736814379692,9.406237403464326,22.992825019173324
7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,-67.50447845458984,3.795994520187378,-73.39755249023438,2.6728310585021973,5.999151419263591,-67.50447845458984,3.795994520187378,0.0,-74.32975006103516,-1.110846996307373,8.406035104003854,0.6219715476036072,-73.94796270882698,0.43878204307430346,7.265629012761771,0.3730113208293915,0.0057303267531096935,148.22716710335095,-3.8896061827805557,-0.3195485472679138,0.1979188174009323,-77.19245147705078,2.63077449798584,0.7289294004440308,-77.19245147705078,2.63077449798584,-77.5120000243187,2.828693315386772,9.757794780792956,23.846565047279
8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,-70.70535278320312,4.076558589935303,-77.19245147705078,2.63077449798584,6.646257676636838,-70.70535278320312,4.076558589935303,0.0,-76.52979278564453,-1.1622166633605957,7.833828406123353,0.6682462096214294,-76.80188192526927,0.39519398420052365,7.121805455108877,0.33684948086738586,0.0055763572454452515,144.32723837030036,-3.89993001371103,-0.27590832114219666,0.19806143641471863,-77.92119598388672,2.4569931030273438,0.7328395843505859,-77.92119598388672,2.4569931030273438,-78.19710430502892,2.6550545394420624,7.395362429471261,21.4311380404979
9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,-73.90149688720703,4.35670804977417,-77.92119598388672,2.4569931030273438,4.445997942727908,-73.90149688720703,4.35670804977417,0.0,-78.17402648925781,-1.2649343013763428,7.060975281407609,0.7502561211585999,-78.0701667519273,0.2639888086622042,5.841931121435363,0.30360153317451477,0.005520790349692106,140.41269303242598,-3.914545337874388,-0.23609916865825653,0.1952301561832428,-77.72984313964844,1.9115080833435059,0.7457469701766968,-77.72984313964844,1.9115080833435059,-77.9659423083067,2.1067382395267487,4.542602547484721,21.817339933477342
