frame_index,frame_id,reference_x,reference_y,search_center_x,search_center_y,jitter_m,visual_x,visual_y,visual_error_m,final_x,final_y,final_error_m,kalman_xy_x,kalman_xy_y,gru_xy_x,gru_xy_y
0,0,-18.780746459960938,-2.1595981121063232,-32.67391386895652,-16.54639411905739,20.0,-25.822996139526367,-10.279403686523438,10.748233488144674,-25.495620727539062,-4.545280933380127,7.1260801955285205,-24.357635498046875,-6.1953229904174805,-25.495620727539062,-4.545280933380127
1,1,-25.919267654418945,-1.4582853317260742,-28.906267948274465,-21.23397316412541,20.0,-21.3670654296875,-17.611404418945312,16.782306198515638,-24.59685707092285,-11.80022144317627,10.426140814542075,-23.410226821899414,-13.32351016998291,-24.59685707092285,-11.80022144317627
2,2,-28.881437301635742,-1.16508948802948,-19.85719510044096,-19.013424219711737,20.0,-13.280580520629883,-19.940258026123047,24.41093373747254,-16.48745346069336,-18.209854125976562,21.074506803542338,-18.273550033569336,-18.785242080688477,-16.48745346069336,-18.209854125976562
3,3,-31.84273910522461,-0.8719794154167175,-14.145877407913076,-10.18976273905265,20.0,-12.698774337768555,-6.502741813659668,19.954870889160507,-12.202437400817871,-14.324496269226074,23.805706474333984,-14.975101470947266,-14.091130256652832,-12.202437400817871,-14.324496269226074
4,4,-34.80412292480469,-0.5788613557815552,-14.981800833973153,2.081128668134358,20.0,-13.787142753601074,0.3237842321395874,21.0363548309625,-9.90936279296875,-6.6415300369262695,25.622354176753177,-13.121901512145996,-6.492369651794434,-9.90936279296875,-6.6415300369262695
5,5,-38.077056884765625,-0.2521708011627197,-23.462772211006605,13.40149843001218,20.0,-23.230623245239258,6.382781505584717,16.2615861442134,-14.202954292297363,-0.7152772545814514,23.8785938066482,-17.61789321899414,-0.24666889011859894,-14.202954292297363,-0.7152772545814514
6,6,-41.34334182739258,0.07385636121034622,-37.34381857444722,19.66987161301982,20.0,-29.987836837768555,11.824658393859863,16.341017164788003,-22.662805557250977,6.264049053192139,19.67945428369244,-25.968538284301758,6.3747053146362305,-22.662805557250977,6.264049053192139
7,7,-44.61831283569336,0.40075016021728516,-52.71322098796047,18.689338460202592,20.0,-54.136837005615234,18.416597366333008,20.375795761822275,-34.51571273803711,13.359580993652344,16.43148883402692,-35.24565887451172,13.108777046203613,-34.51571273803711,13.359580993652344
8,8,-47.93851089477539,0.7270652055740356,-65.13304535628409,10.94215133599848,20.0,-77.623046875,14.115007400512695,32.563916726589696,-66.67699432373047,17.682796478271484,25.27108197543497,-64.01898193359375,15.857048034667969,-66.67699432373047,17.682796478271484
9,9,-51.25859451293945,1.0533686876296997,-71.19143796426454,-0.5842368646834217,20.0,-80.41927337646484,3.80735445022583,29.290435800141974,-80.39297485351562,13.229779243469238,31.576527545848226,-77.31771850585938,10.896504402160645,-80.39297485351562,13.229779243469238
10,10,-54.585689544677734,1.3803616762161255,-69.88245551690054,-11.50408440388551,20.0,-79.83740997314453,-2.491393566131592,25.54681728227793,-87.29801940917969,6.733330726623535,33.147410197760635,-85.94839477539062,5.363279819488525,-87.29801940917969,6.733330726623535
