frame_id,image_path,reference_x,reference_y,raw_visual_x,raw_visual_y,forward_ms_x,forward_ms_y,variance_x,variance_y,final_x,final_y,error_final_m,gru_xy_x,gru_xy_y,kalman_xy_x,kalman_xy_y,center_ms_xy_x,center_ms_xy_y
0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,-37.63298034667969,0.8348962068557739,-47.173274993896484,0.3239101767539978,-47.4183349609375,1.2465226650238037,89.26033782958984,47.56270980834961,-36.247154235839844,1.8328641653060913,1.7077628803727352,-36.247154235839844,1.8328641653060913,-44.93092346191406,0.5731917023658752,-41.07306671142578,-0.36354029178619385
1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,-47.69226837158203,1.7922438383102417,-55.411617279052734,0.3687759041786194,-55.31175231933594,1.0650802850723267,51.849403381347656,47.405120849609375,-41.36223602294922,1.8655741214752197,6.330457081851744,-41.36223602294922,1.8655741214752197,-53.472774505615234,0.39598506689071655,-51.42314529418945,0.8116291761398315
2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,-50.9120979309082,2.1374623775482178,-59.55194854736328,-0.35581880807876587,-59.664276123046875,0.5333092212677002,112.47334289550781,40.15605163574219,-62.022377014160156,5.741756439208984,11.680292675728161,-62.022377014160156,5.741756439208984,-59.59664535522461,-0.09688963741064072,-71.58085632324219,3.8134336471557617
3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,-54.1414794921875,2.4837052822113037,-64.48216247558594,4.817620754241943,-63.7204704284668,3.6572651863098145,48.95671081542969,39.7679328918457,-67.78401184082031,3.714780330657959,13.697964617358327,-67.78401184082031,3.714780330657959,-65.0970458984375,2.3224124908447266,-77.65717315673828,3.0308525562286377
4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,-57.659645080566406,2.8609108924865723,-64.4043960571289,5.044628143310547,-63.52406692504883,3.6202664375305176,34.994319915771484,45.915287017822266,-65.52401733398438,11.593125343322754,11.751592239170089,-65.52401733398438,11.593125343322754,-67.38671875,3.974534749984741,-77.46334075927734,8.583483695983887
5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,-60.85377502441406,3.1642963886260986,-74.50151824951172,9.402082443237305,-74.67754364013672,10.244522094726562,31.52988624572754,57.386226654052734,-66.96123504638672,13.524666786193848,12.026568201061862,-66.96123504638672,13.524666786193848,-73.76258087158203,7.417234420776367,-80.6702880859375,13.071598052978516
6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,-64.02477264404297,3.465484857559204,-77.28295135498047,7.592116355895996,-77.32193756103516,8.13058090209961,50.54108810424805,58.43730926513672,-70.4570083618164,10.815333366394043,9.766981592683692,-70.4570083618164,10.815333366394043,-77.93669128417969,8.354053497314453,-81.6361083984375,11.919560432434082
7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,-67.50447845458984,3.795994520187378,-76.83134460449219,6.7694292068481445,-76.89202880859375,7.033714294433594,54.65156173706055,60.96222686767578,-70.68609619140625,8.719378471374512,5.861945151059653,-70.68609619140625,8.719378471374512,-79.25354766845703,8.459847450256348,-81.85929870605469,10.704232215881348
8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,-70.70535278320312,4.076558589935303,-78.69801330566406,6.663487911224365,-78.58065795898438,6.747995376586914,53.66086196899414,60.75569152832031,-72.75137329101562,9.333612442016602,5.641171431721619,-72.75137329101562,9.333612442016602,-80.86308288574219,8.251870155334473,-80.5303955078125,10.59701919555664
9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,-73.90149688720703,4.35670804977417,-83.46031188964844,4.506056785583496,-83.32086181640625,4.359896659851074,51.48192596435547,43.67704391479492,-73.66064453125,3.5335540771484375,0.8576667884555036,-73.66064453125,3.5335540771484375,-83.58717346191406,7.008901119232178,-80.72810363769531,5.171924114227295
10,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000010.jpg,-77.41057586669922,4.6642866134643555,-83.48213195800781,4.268667221069336,-83.35269165039062,4.035205841064453,49.69127655029297,44.00987243652344,-73.322021484375,3.0296761989593506,4.403206575262033,-73.322021484375,3.0296761989593506,-84.81182861328125,5.912641525268555,-80.35254669189453,5.0676116943359375
11,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000011.jpg,-80.71418762207031,4.9646830558776855,-89.50161743164062,4.226266860961914,-89.49958038330078,4.081515312194824,43.26799011230469,42.07745361328125,-80.15872192382812,1.2697117328643799,3.7364896921862876,-80.15872192382812,1.2697117328643799,-88.31517791748047,5.078073501586914,-88.0821762084961,4.158871173858643
12,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000012.jpg,-84.01985931396484,5.2652668952941895,-92.71859741210938,4.374085903167725,-92.61844635009766,4.3544416427612305,38.592132568359375,38.20790100097656,-81.68907165527344,1.1469652652740479,4.732122084829883,-81.68907165527344,1.1469652652740479,-92.12613677978516,4.588416576385498,-90.21121215820312,4.472148418426514
13,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000013.jpg,-87.32689666748047,5.565974712371826,-95.54998779296875,4.8378143310546875,-95.21464538574219,5.064400672912598,40.15665054321289,36.97944259643555,-83.9415512084961,0.23502683639526367,6.315027247213202,-83.9415512084961,0.23502683639526367,-95.40416717529297,4.503233909606934,-90.69834899902344,5.000617504119873
14,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000014.jpg,-90.52931213378906,5.903904438018799,-95.9180679321289,4.043323040008545,-95.55913543701172,4.236004829406738,54.45527267456055,43.43352508544922,-89.06788635253906,-2.002596378326416,8.040430366153899,-89.06788635253906,-2.002596378326416,-97.02680969238281,4.144182205200195,-94.91839599609375,3.869485378265381
15,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000015.jpg,-93.73101806640625,6.241759300231934,-103.42815399169922,4.030221462249756,-103.43807220458984,4.221320152282715,56.79588317871094,46.0991325378418,-93.2057113647461,2.1931960582733154,4.082500637470562,-93.2057113647461,2.1931960582733154,-101.29039001464844,3.917466640472412,-98.20326232910156,4.5711989402771
16,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000016.jpg,-97.24320983886719,6.612377643585205,-107.76311492919922,2.343148946762085,-107.68199920654297,2.167095899581909,38.506832122802734,49.59906005859375,-101.43930053710938,1.4531530141830444,6.650171119941537,-101.43930053710938,1.4531530141830444,-106.47349548339844,3.09320068359375,-106.45391845703125,2.875777244567871
