frame_id,image_path,reference_x,reference_y,predicted_query_x,predicted_query_y,selected_ref_index,selected_ref_x,selected_ref_y,selected_ref_error_m,base_ms_x,base_ms_y,base_ms_error_m,base_ms_candidate_count,variance_x,variance_y,final_x,final_y,error_final_m,gru_xy_x,gru_xy_y,kalman_xy_x,kalman_xy_y,center_ms_xy_x,center_ms_xy_y,center_ms_candidate_count
0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,-18.780746459960938,-2.1595981121063232,-18.780745674413577,-2.1595981213156596,0,-18.780745674413577,-2.1595981213156596,7.856013413017934e-07,-13.725164413452148,-1.2636386156082153,5.134360062203189,36,43.06544876098633,40.68419647216797,-13.725164413452148,-1.2636386156082153,5.134360062203189,-14.418731689453125,-0.6991007924079895,-16.415767669677734,-1.3471858501434326,-13.725164413452148,-1.2636386156082153,36
1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,-25.919267654418945,-1.4582853317260742,-15.256464791011368,-0.9489445815785482,0,-18.780745674413577,-2.1595981213156596,7.17288893597703,-13.827496528625488,-1.4174894094467163,12.09183994542795,36,45.11065673828125,39.18145751953125,-8.236135482788086,-1.5946162939071655,17.68365769660269,-14.586066246032715,-0.8014416098594666,-14.838642120361328,-0.8571389317512512,-8.236135482788086,-1.5946162939071655,36
2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,-28.881437301635742,-1.16508948802948,-13.486091669299748,-0.41613572895227463,0,-18.780745674413577,-2.1595981213156596,10.149532933584515,-14.285270690917969,-1.2087042331695557,14.59623177309219,36,49.56132888793945,40.08137893676758,-9.200145721435547,-1.4000201225280762,19.6826936842467,-15.038673400878906,-0.6011853218078613,-14.384541511535645,-0.52607661485672,-9.200145721435547,-1.4000201225280762,36
3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,-31.84273910522461,-0.8719794154167175,-13.373202172062015,-0.12705032495286384,0,-18.780745674413577,-2.1595981213156596,13.125305113342373,-17.921974182128906,-1.1044631004333496,13.922706084231278,36,51.882568359375,43.8110466003418,-17.921974182128906,-1.1044631004333496,13.922706084231278,-18.67578887939453,-0.4970574378967285,-16.06419563293457,-0.3261582851409912,-17.921974182128906,-1.1044631004333496,36
4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,-34.80412292480469,-0.5788613557815552,-15.9150748612115,0.008524812267294901,0,-18.780745674413577,-2.1595981213156596,16.101159810096373,-18.259353637695312,-0.8167037963867188,16.546478773147797,36,52.94972610473633,44.462127685546875,-18.259353637695312,-0.8167037963867188,16.546478773147797,-19.0089111328125,-0.21061503887176514,-17.414905548095703,-0.10190983861684799,-18.259353637695312,-0.8167037963867188,36
5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,-38.077056884765625,-0.2521708011627197,-17.688909877751787,0.20104998666048257,0,-18.780745674413577,-2.1595981213156596,19.390355987150517,-22.079648971557617,-0.44820138812065125,15.998608937423068,36,49.69124221801758,49.194828033447266,-22.079648971557617,-0.44820138812065125,15.998608937423068,-22.818714141845703,0.14882495999336243,-20.150663375854492,0.17738668620586395,-22.079648971557617,-0.44820138812065125,36
6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,-41.34334182739258,0.07385636121034622,-21.065675415251224,0.4740095467828891,1,-23.729281422612917,-1.631625679269363,17.696434469508976,-22.026264190673828,1.1317435503005981,19.346023201884694,36,48.06031036376953,51.58266830444336,-22.026264190673828,1.1317435503005981,19.346023201884694,-22.760540008544922,1.7256380319595337,-21.85072898864746,1.0158926248550415,-22.026264190673828,1.1317435503005981,36
7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,-44.61831283569336,0.40075016021728516,-22.962890458261583,1.4518048723951744,1,-23.729281422612917,-1.631625679269363,20.987667448518202,-20.257080078125,1.379749059677124,24.380896216373287,36,51.40555953979492,50.648773193359375,-20.257080078125,1.379749059677124,24.380896216373287,-20.98656463623047,1.970529317855835,-22.117380142211914,1.6769441366195679,-20.257080078125,1.379749059677124,36
8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,-47.93851089477539,0.7270652055740356,-23.018711686022023,2.169475504777991,1,-23.729281422612917,-1.631625679269363,24.32386100778541,-17.92422103881836,1.1202433109283447,30.01686500252708,36,42.177818298339844,51.13264465332031,-17.92422103881836,1.1202433109283447,30.01686500252708,-18.64859962463379,1.707526445388794,-20.949487686157227,1.9725301265716553,-17.92422103881836,1.1202433109283447,36
9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,-51.25859451293945,1.0533686876296997,-21.335025199606303,2.4158802682646425,1,-23.729281422612917,-1.631625679269363,27.659939876570657,-19.792316436767578,2.0603270530700684,31.482385886662165,36,46.454891204833984,48.57271194458008,-19.803756713867188,4.444902420043945,31.63715097830475,-20.509559631347656,2.6429100036621094,-20.977197647094727,2.5149433612823486,-19.803756713867188,4.444902420043945,36
10,/yh/study/new_data/model_dataset_flight/vi/vi_000010.jpg,-54.585689544677734,1.3803616762161255,-21.27186146239128,2.9830203441272607,1,-23.729281422612917,-1.631625679269363,31.003064203801404,-16.582794189453125,0.968452513217926,38.00512760850454,36,45.3696174621582,51.0096321105957,-13.432008743286133,3.312086820602417,41.19899277332253,-17.2997989654541,1.5525370836257935,-19.37131690979004,2.398864507675171,-13.432008743286133,3.312086820602417,36
11,/yh/study/new_data/model_dataset_flight/vi/vi_000011.jpg,-57.930152893066406,1.7030118703842163,-19.177769186085605,2.720270759286124,1,-23.729281422612917,-1.631625679269363,34.36305307923089,-16.484914779663086,1.1929770708084106,41.44837629839651,36,41.23773956298828,49.12468719482422,-13.091143608093262,3.3369975090026855,44.86877157584236,-17.200199127197266,1.7767934799194336,-18.22281265258789,2.3138105869293213,-13.091143608093262,3.3369975090026855,36
12,/yh/study/new_data/model_dataset_flight/vi/vi_000012.jpg,-61.281715393066406,2.0263473987579346,-17.778638194999427,2.5332599893838332,537,-15.38091915590843,9.355897203561028,46.48231271727112,-12.742497444152832,5.614038944244385,48.67162633113556,36,58.58757781982422,51.55951690673828,-16.344524383544922,3.4247117042541504,44.95894303202761,-13.45541763305664,6.1970367431640625,-16.333301544189453,3.955928325653076,-16.344524383544922,3.4247117042541504,36
13,/yh/study/new_data/model_dataset_flight/vi/vi_000013.jpg,-64.62455749511719,2.3488411903381348,-15.500351177765854,4.5330881332503905,537,-15.38091915590843,9.355897203561028,49.739669790371885,-11.447235107421875,3.713913917541504,53.1948403501264,36,60.24123001098633,51.870338439941406,-11.176186561584473,1.3303980827331543,53.45807312101637,-12.15356159210205,4.29060173034668,-14.249261856079102,4.433840274810791,-11.176186561584473,1.3303980827331543,36
14,/yh/study/new_data/model_dataset_flight/vi/vi_000014.jpg,-67.96265411376953,2.678952693939209,-13.088224649547017,4.986274865687254,538,-11.1834053220594,6.701028547681233,56.921526574084176,-11.147300720214844,1.055655837059021,56.83853863286831,36,63.966957092285156,53.10405349731445,-14.764066696166992,1.5241966247558594,53.21111880808009,-11.849039077758789,1.6304643154144287,-12.5820894241333,3.5713605880737305,-14.764066696166992,1.5241966247558594,36
15,/yh/study/new_data/model_dataset_flight/vi/vi_000015.jpg,-71.30087280273438,3.009075880050659,-11.292623623923543,3.7740370146389073,538,-11.1834053220594,6.701028547681233,60.230726467394014,-14.787437438964844,1.4855098724365234,56.53396881516911,36,60.41114807128906,54.64155197143555,-18.629989624023438,1.656153678894043,52.68825612323677,-15.483744621276855,2.0564732551574707,-13.032649993896484,3.0694472789764404,-18.629989624023438,1.656153678894043,36
16,/yh/study/new_data/model_dataset_flight/vi/vi_000016.jpg,-74.64299774169922,3.3395848274230957,-12.175115885485974,3.098314760570336,538,-11.1834053220594,6.701028547681233,63.5485576071658,-15.233966827392578,2.0155258178710938,59.423783844836215,36,58.23153305053711,56.32640075683594,-18.41282081604004,1.9731419086456299,56.24677735960711,-15.923364639282227,2.581411361694336,-13.88527774810791,2.88944411277771,-18.41282081604004,1.9731419086456299,36
17,/yh/study/new_data/model_dataset_flight/vi/vi_000017.jpg,-77.97047424316406,3.6625680923461914,-13.447674547471815,2.866905049261919,538,-11.1834053220594,6.701028547681233,66.85615018089973,-14.448112487792969,1.4125001430511475,63.562199842018344,36,58.18223571777344,53.81744384765625,-17.19560432434082,1.354966640472412,60.8186635672848,-15.126534461975098,1.9712498188018799,-14.149672508239746,2.490325689315796,-17.19560432434082,1.354966640472412,36
18,/yh/study/new_data/model_dataset_flight/vi/vi_000018.jpg,-81.29307556152344,3.9850776195526123,-13.886095800380156,2.3754828944036808,538,-11.1834053220594,6.701028547681233,70.1622565951979,-17.755985260009766,0.8779682517051697,63.61301732040753,36,48.333839416503906,54.90182876586914,-21.24704360961914,-1.993971586227417,60.3429779060849,-18.4276065826416,1.432891607284546,-15.747294425964355,1.979557752609253,-21.24704360961914,-1.993971586227417,36
19,/yh/study/new_data/model_dataset_flight/vi/vi_000019.jpg,-84.62059020996094,4.3080644607543945,-15.947977695441255,1.7676363571902423,538,-11.1834053220594,6.701028547681233,73.47616213018448,-16.583681106567383,0.435835063457489,68.14701138603752,36,42.60895538330078,53.7800407409668,-21.400733947753906,-1.8299061059951782,63.517122955092994,-17.262845993041992,0.996906578540802,-16.47059440612793,1.4361873865127563,-21.400733947753906,-1.8299061059951782,36
20,/yh/study/new_data/model_dataset_flight/vi/vi_000020.jpg,-87.91920471191406,4.623467922210693,-16.80167635223847,1.1427968843863747,538,-11.1834053220594,6.701028547681233,76.7639183871728,-14.558613777160645,-0.2112925946712494,73.51973348395535,36,43.76373291015625,51.05754089355469,-19.845651626586914,-1.9060893058776855,68.3859908698831,-15.233119010925293,0.34669229388237,-16.2141170501709,0.7891210317611694,-19.845651626586914,-1.9060893058776855,36
21,/yh/study/new_data/model_dataset_flight/vi/vi_000021.jpg,-91.22086334228516,4.939162731170654,-16.399581350790413,0.4082527469562678,538,-11.1834053220594,6.701028547681233,80.05684766148858,-12.989831924438477,-0.20922331511974335,78.40025609385312,36,51.74143981933594,49.98236083984375,-16.190458297729492,-2.262059450149536,75.3751900963097,-13.66292953491211,0.34761959314346313,-15.314413070678711,0.3825044631958008,-16.190458297729492,-2.262059450149536,36
22,/yh/study/new_data/model_dataset_flight/vi/vi_000022.jpg,-94.5164794921875,5.254280090332031,-15.23514938641846,-0.004808834632499703,538,-11.1834053220594,6.701028547681233,83.3456317496179,-15.120351791381836,-0.12007259577512741,79.57781575713993,36,50.880653381347656,51.419620513916016,-18.06810188293457,-2.230701446533203,76.8139270425236,-15.790040969848633,0.4342876076698303,-15.461389541625977,0.17903152108192444,-18.06810188293457,-2.230701446533203,36
