current_frame_id,next_frame_id,current_reference_x,current_reference_y,current_search_center_x,current_search_center_y,current_search_center_error_m,current_ms_error_m,provisional_next_x,provisional_next_y,provisional_next_error_m,final_next_x,final_next_y,final_next_error_m,final_next_nearest_candidate_m,final_next_candidate_capture,ms_correction_gain_m
1,2,-47.69226837158203,1.7922438383102417,-54.9941647025521,-1.4761364901959033,8.000000000000004,2.38544453587961,-55.544586181640625,3.3809404373168945,4.796476318955406,-49.874107360839844,0.5664957761764526,1.8829127664808032,2.342602252960205,True,2.913563552474603
2,3,-50.9120979309082,2.1374623775482178,-43.320147635635415,-0.3848957877620647,8.000000000000002,2.652242532094329,-51.10298156738281,2.4543895721435547,3.0386393418599664,-49.19385528564453,0.6541988253593445,5.275043048623675,2.9864797592163086,True,-2.2364037067637086
3,4,-54.1414794921875,2.4837052822113037,-58.035718904520756,9.471902431650516,8.0,4.778710555690941,-54.187095642089844,11.617021560668945,9.419558038258538,-49.60889434814453,1.0833981037139893,8.244643052906623,2.3187670707702637,True,1.174914985351915
4,5,-57.659645080566406,2.8609108924865723,-59.50861348295809,-4.922489125947347,7.999999999999999,4.7696967093471025,-55.458919525146484,5.379750728607178,5.8320411341586595,-49.83625793457031,0.6342901587486267,11.3042741628208,1.52284574508667,True,-5.47223302866214
5,6,-60.85377502441406,3.1642963886260986,-54.232792099133164,7.654573117641676,8.000000000000002,11.199050042290112,-46.51845169067383,7.79281759262085,18.033221617955775,-49.467620849609375,0.657075822353363,14.825580247504885,3.333402156829834,True,3.20764137045089
6,7,-64.02477264404297,3.465484857559204,-71.94001774443146,4.626904248122328,8.0,3.070334873045553,-70.8912124633789,7.248456001281738,4.83626483194714,-63.052345275878906,0.29874885082244873,5.6614677525241195,2.066364288330078,True,-0.8252029205769791
7,8,-67.50447845458984,3.795994520187378,-62.452550581093966,-2.407071234824044,8.0,14.096131439548879,-58.22410583496094,-2.748690605163574,14.225524663723402,-49.895973205566406,-0.13038724660873413,21.230371444649276,0.7416238188743591,True,-7.004846780925874
8,9,-70.70535278320312,4.076558589935303,-70.24037645923912,12.063034472209845,8.0,7.521104969086164,-63.764305114746094,13.129983901977539,13.406454647314646,-58.00569534301758,1.0495920181274414,16.23617945142978,1.2853401899337769,True,-2.829724804115134
9,10,-73.90149688720703,4.35670804977417,-79.63914290137156,-1.2181837174390697,8.0,4.752346964099028,-78.59442138671875,-2.9550137519836426,7.7107216441904,-72.51543426513672,-0.327444851398468,6.991408607473134,2.2966055870056152,True,0.7193130367172662
10,11,-77.41057586669922,4.6642866134643555,-69.41402898211317,4.89931410678601,7.999999999999997,13.393839436734583,-66.73875427246094,4.678596496582031,13.978361235451871,-57.215423583984375,0.5680476427078247,23.906532878566484,0.880686342716217,True,-9.928171643114613
11,12,-80.71418762207031,4.9646830558776855,-86.7693512174816,10.192970904954652,8.0,14.436129516817395,-97.15045166015625,12.866361618041992,15.171983929138761,-96.7777099609375,13.44597053527832,15.155417024143883,5.305862903594971,True,0.01656690499487823
