frame_id,image_path,reference_x,reference_y,previous_final_x,previous_final_y,previous_final_error_to_current_ref_m,prior_x,prior_y,prior_error_m,ms1_x,ms1_y,ms1_error_m,ms1_support,kalman_x_prime_x,kalman_x_prime_y,kalman_error_m,pred_speed_m_per_frame,pred_acceleration_m_per_frame2,pred_heading_deg,pred_heading_delta_deg,delta_x,delta_y,ms2_x,ms2_y,ms2_support,final_x,final_y,next_prior_x,next_prior_y,error_final_m,tracking_core_latency_ms
0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,-37.63298034667969,0.8348962068557739,-37.632978691184114,0.8348961808190729,1.6557003061335768e-06,-37.63298034667969,0.8348962068557739,0.0,-29.590267181396484,-9.88371467590332,13.400516942081802,0.7289668321609497,-30.79667390786463,-8.275923047394961,11.390439552932545,0.6573611497879028,0.010615427978336811,171.3699790303752,-2.556255286268159,-0.6551660895347595,0.0994357168674469,-27.958438873291016,-5.801918029785156,0.7603942155838013,-27.958438873291016,-5.801918029785156,-27.958438873291016,-5.801918029785156,11.732180357120205,21.412873989902437
1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,-47.69226837158203,1.7922438383102417,-27.958438873291016,-5.801918029785156,21.144628659459944,-47.69226837158203,1.7922438383102417,0.0,-39.29630661010742,-14.616098403930664,18.431653996281806,0.4751046299934387,-36.79121308396959,-12.668611741885421,18.10937189675167,0.6448379755020142,0.008473774418234825,170.70033362376878,-3.225895570232672,-0.6405438184738159,0.10488924384117126,-31.338987350463867,-10.445956230163574,0.7650617361068726,-31.338987350463867,-10.445956230163574,-31.979531168937683,-10.341066986322403,20.425556077415763,21.025629015639424
2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,-50.9120979309082,2.1374623775482178,-31.338987350463867,-10.445956230163574,23.269058460780258,-50.9120979309082,2.1374623775482178,0.0,-50.259769439697266,-22.935531616210938,25.081478430737057,0.49528974294662476,-45.09359902006969,-19.525351497397423,22.430613780188146,0.5950906872749329,0.006963170133531094,167.18009510667923,-3.5202336078910856,-0.5836512446403503,0.13281555473804474,-40.11629867553711,-20.522693634033203,0.6827760934829712,-40.11629867553711,-20.522693634033203,-40.69994992017746,-20.38987807929516,25.100437287654586,20.87655710056424
3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,-54.1414794921875,2.4837052822113037,-40.11629867553711,-20.522693634033203,26.94438880422257,-54.1414794921875,2.4837052822113037,0.0,-53.76283645629883,-20.001028060913086,22.487921292552514,0.4143030047416687,-49.245679883417644,-20.173705197804715,23.180317156354242,0.545795202255249,0.0064146434888243675,163.53032888216956,-3.6497662245096736,-0.5264769196510315,0.15564647316932678,-43.589813232421875,-21.938579559326172,0.6043986082077026,-43.589813232421875,-21.938579559326172,-44.11629015207291,-21.782933086156845,26.604241348677235,21.40320197213441
4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,-57.659645080566406,2.8609108924865723,-43.589813232421875,-21.938579559326172,28.512714618299913,-57.659645080566406,2.8609108924865723,0.0,-53.148170471191406,-19.701126098632812,23.008670460060806,0.41185462474823,-49.59072354295902,-20.533865631376116,24.747182938297062,0.4985952377319336,0.006104922853410244,159.7782054427581,-3.7521200243168997,-0.47072693705558777,0.17339712381362915,-49.01446533203125,-22.961326599121094,0.7040586471557617,-49.01446533203125,-22.961326599121094,-49.48519226908684,-22.787929475307465,27.23099487638068,22.24689198192209
5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,-60.85377502441406,3.1642963886260986,-49.01446533203125,-22.961326599121094,28.683051275797943,-60.85377502441406,3.1642963886260986,0.0,-58.51408386230469,-17.5836181640625,20.879418407123318,0.34458139538764954,-54.759457169290776,-19.709102210939893,23.671355550831937,0.4539903998374939,0.005598190240561962,155.97104433901464,-3.807161957517094,-0.41720402240753174,0.1860038936138153,-53.773406982421875,-22.78989601135254,0.7267507314682007,-53.773406982421875,-22.78989601135254,-54.19061100482941,-22.603892117738724,26.902633974114377,23.056428064592183
6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,-64.02477264404297,3.465484857559204,-53.773406982421875,-22.78989601135254,28.18573260534274,-64.02477264404297,3.465484857559204,0.0,-76.64750671386719,-1.954893946647644,13.737318580370623,0.5679513216018677,-67.36656774620701,-10.40848927165945,14.270765664219844,0.4120364189147949,0.005506115034222603,152.11533425065073,-3.855730152044585,-0.36662861704826355,0.19399423897266388,-72.76860046386719,-3.693296432495117,0.5307705402374268,-72.76860046386719,-3.693296432495117,-73.13522908091545,-3.4993021935224533,11.300560804737248,23.933817981742322
7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,-67.50447845458984,3.795994520187378,-72.76860046386719,-3.693296432495117,9.154259090854378,-67.50447845458984,3.795994520187378,0.0,-73.85747528076172,-2.5530223846435547,8.981680484807889,0.4479103684425354,-73.41151978135915,-3.0200287609281258,9.019496139190315,0.37317338585853577,0.0057348450645804405,148.2260606127054,-3.889275345492633,-0.3196844458580017,0.19801150262355804,-77.2376708984375,0.22037380933761597,0.8045061826705933,-77.2376708984375,0.22037380933761597,-77.5573553442955,0.418385311961174,10.369189872735038,23.6627459526062
8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,-70.70535278320312,4.076558589935303,-77.2376708984375,0.22037380933761597,7.585600900438435,-70.70535278320312,4.076558589935303,0.0,-76.67243194580078,-2.3988430500030518,8.805501696736165,0.5296498537063599,-76.90452032296965,-1.3233867540382813,8.221258292013266,0.33700382709503174,0.005578823387622833,144.32629580419493,-3.8997652353973034,-0.2760314643383026,0.1981567144393921,-78.09575653076172,1.315860629081726,0.770569384098053,-78.09575653076172,1.315860629081726,-78.37178799510002,1.5140173435211182,7.889202797684263,23.47277896478772
9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,-73.90149688720703,4.35670804977417,-78.09575653076172,1.315860629081726,5.180595235441906,-73.90149688720703,4.35670804977417,0.0,-78.5129623413086,-2.89483642578125,8.593631997899983,0.5835748910903931,-78.34157920131699,-1.1651326091688738,7.085552569759721,0.3037462532520294,0.005522563122212887,140.41179144745556,-3.914501795418429,-0.23620831966400146,0.19532665610313416,-77.97460174560547,1.0556663274765015,0.7719655632972717,-77.97460174560547,1.0556663274765015,-78.21081006526947,1.2509929835796356,5.242810280742468,21.822097012773156
10,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000010.jpg,-77.41057586669922,4.6642866134643555,-77.97460174560547,1.0556663274765015,3.652432827653238,-77.41057586669922,4.6642866134643555,0.0,-78.57731628417969,-3.091154098510742,7.842712785684767,0.5647794604301453,-78.32971975260695,-1.3876306411899577,6.121317500357596,0.2733059525489807,0.00503702973946929,136.50710890274266,-3.9046821178260664,-0.20009954273700714,0.18984021246433258,-77.93309020996094,0.9364613890647888,0.7754689455032349,-77.93309020996094,0.9364613890647888,-78.13318975269794,1.1263016015291214,3.7642664813458553,21.414074930362403
11,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000011.jpg,-80.71418762207031,4.9646830558776855,-77.93309020996094,0.9364613890647888,4.8950048633910805,-80.71418762207031,4.9646830558776855,0.0,-82.4306869506836,-4.122162342071533,9.247547200818211,0.4536709785461426,-80.58302279998598,-2.0440218909142804,7.009932185245345,0.24573984742164612,0.004622450098395348,132.59886099928303,-3.9082479034596362,-0.16789618134498596,0.18259301781654358,-79.89811706542969,0.7001646757125854,0.7199851274490356,-79.89811706542969,0.7001646757125854,-80.06601324677467,0.882757693529129,4.3418991430227525,22.28625805582851
12,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000012.jpg,-84.01985931396484,5.2652668952941895,-79.89811706542969,0.7001646757125854,6.1505217208451946,-84.01985931396484,5.2652668952941895,0.0,-75.32434844970703,5.529036998748779,8.699510552778364,0.4734989404678345,-77.20337886472211,3.545202938140999,7.030151188388903,0.2203385978937149,0.004091356880962849,128.72827475890685,-3.87059093613124,-0.13912977278232574,0.17348681390285492,-77.88198852539062,3.8852810859680176,0.711260974407196,-77.88198852539062,3.8852810859680176,-78.02111829817295,4.0587678998708725,6.291090418295886,21.916327998042107
13,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000013.jpg,-87.32689666748047,5.565974712371826,-77.88198852539062,3.8852810859680176,9.593279985403814,-87.32689666748047,5.565974712371826,0.0,-80.77216339111328,6.548007011413574,6.627889238715184,0.5618385672569275,-79.58476015560032,5.454049197076367,7.7429455047521705,0.1971510499715805,0.004008982330560684,124.80842919423652,-3.919848979764903,-0.11368483304977417,0.1635196954011917,-81.1837158203125,5.737410545349121,0.6810810565948486,-81.1837158203125,5.737410545349121,-81.29740065336227,5.900930240750313,6.145572484792607,20.690247998572886
14,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000014.jpg,-90.52931213378906,5.903904438018799,-81.1837158203125,5.737410545349121,9.347079258825348,-90.52931213378906,5.903904438018799,0.0,-78.59603881835938,4.6338653564453125,12.000667118517631,0.524971067905426,-79.65918374706006,5.087255972928589,10.900761710059804,0.17606499791145325,0.0038215580862015486,121.02339790340392,-3.7850257413039055,-0.09172659367322922,0.15251757204532623,-79.74319458007812,4.3108978271484375,0.6923089027404785,-79.74319458007812,4.3108978271484375,-79.83492117375135,4.463415399193764,10.903118909043775,20.734800025820732
15,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000015.jpg,-93.73101806640625,6.241759300231934,-79.74319458007812,4.3108978271484375,14.120461462463288,-93.73101806640625,6.241759300231934,0.0,-86.0366439819336,5.752793788909912,7.709894929444035,0.5383992195129395,-83.45096422977196,5.160387152264658,10.33677283326372,0.1568537950515747,0.0034490483812987804,117.11654335853495,-3.9068613750581234,-0.07228030264377594,0.14114758372306824,-85.13055419921875,5.228311061859131,0.676003098487854,-85.13055419921875,5.228311061859131,-85.20283450186253,5.369458645582199,8.659968594784782,20.957062020897865
16,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000016.jpg,-97.24320983886719,6.612377643585205,-85.13055419921875,5.228311061859131,12.191475175193442,-97.24320983886719,6.612377643585205,0.0,-89.40702056884766,6.009622097015381,7.8593369010680485,0.5701138377189636,-87.65001865683975,5.688617589089943,9.637564510456473,0.13950201869010925,0.0028484463691711426,113.19444383143853,-3.922096112001837,-0.05550419166684151,0.12953567504882812,-89.6241455078125,5.768868446350098,0.7189708948135376,-89.6241455078125,5.768868446350098,-89.67964969947934,5.898404121398926,7.665614720723318,23.170109023340046
17,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000017.jpg,-100.48795318603516,6.946656227111816,-89.6241455078125,5.768868446350098,10.927465457548752,-100.48795318603516,6.946656227111816,0.0,-90.30874633789062,6.249402046203613,10.20305912215089,0.6071586012840271,-90.02747539157762,6.051972924841659,10.498669148977891,0.1239449605345726,0.0028150330763310194,109.24315890601865,-3.951287486740825,-0.041313402354717255,0.11834882944822311,-91.38711547851562,6.176440715789795,0.7496331334114075,-91.38711547851562,6.176440715789795,-91.42842888087034,6.294789545238018,9.133371716539868,22.66575605608523
