frame_id,reference_x,reference_y,latency_shared_candidate_ms,top1_x,top1_y,top1_error_m,weighted_centroid_x,weighted_centroid_y,weighted_centroid_error_m,softms_x,softms_y,softms_error_m
0,-18.780746459960938,-2.1595981121063232,8.82797798840329,-27.833980560302734,-0.28263363242149353,9.245758056640625,-29.243915557861328,-3.9874320030212402,10.621623039245605,-29.051822662353516,-2.7776217460632324,10.289652824401855
1,-25.919267654418945,-1.4582853317260742,7.470699027180672,-32.565303802490234,-0.2526208460330963,6.75451135635376,-32.815738677978516,-5.155066967010498,7.824800968170166,-32.741119384765625,-3.7533743381500244,7.197575569152832
2,-28.881437301635742,-1.16508948802948,7.666706980671734,-37.296630859375,-0.22260963916778564,8.467806816101074,-37.63481903076172,-8.626657485961914,11.502030372619629,-37.5518913269043,-8.594459533691406,11.418069839477539
3,-31.84273910522461,-0.8719794154167175,7.070047024171799,-42.150238037109375,-19.225236892700195,21.04962158203125,-45.29197692871094,-7.007940769195557,14.782829284667969,-45.128753662109375,-6.070940971374512,14.267004013061523
4,-34.80412292480469,-0.5788613557815552,6.9205210311338305,-51.490604400634766,-0.13258513808250427,16.692447662353516,-45.99397277832031,-5.90872049331665,12.39435863494873,-46.114768981933594,-4.167135715484619,11.866188049316406
5,-38.077056884765625,-0.2521708011627197,7.0608179667033255,-51.490604400634766,-0.13258513808250427,13.414080619812012,-52.130592346191406,-3.43300199508667,14.409008979797363,-52.31434631347656,-1.6353870630264282,14.30432415008545
6,-41.34334182739258,0.07385636121034622,7.150566030759364,-51.490604400634766,-0.13258513808250427,10.149362564086914,-51.746212005615234,-2.9495084285736084,10.83330249786377,-51.7699089050293,-0.8966439962387085,10.471636772155762
7,-44.61831283569336,0.40075016021728516,7.128338038455695,-60.95325469970703,-0.07257647067308426,16.341796875,-55.952789306640625,-2.323512077331543,11.657270431518555,-55.92994689941406,-0.6031675338745117,11.356096267700195
8,-47.93851089477539,0.7270652055740356,7.375170011073351,-60.95325469970703,-0.07257647067308426,13.039285659790039,-59.523345947265625,-3.395414352416992,12.296472549438477,-59.66796112060547,-1.1199240684509277,11.873978614807129
9,-51.25859451293945,1.0533686876296997,7.478297047782689,-60.95325469970703,-0.07257647067308426,9.759825706481934,-59.510955810546875,-3.9648942947387695,9.65838623046875,-59.65226364135742,-1.4964141845703125,8.772403717041016
10,-54.585689544677734,1.3803616762161255,7.338166993577033,-60.95325469970703,-0.07257647067308426,6.53122615814209,-63.24919509887695,-1.7402009963989258,9.208378791809082,-62.56660842895508,-0.3987286686897278,8.176810264587402
11,-57.930152893066406,1.7030118703842163,7.221348991151899,-75.14722442626953,0.017425041645765305,17.299386978149414,-74.57471466064453,1.2541418075561523,16.65061378479004,-74.78584289550781,1.6988164186477661,16.85569190979004
12,-61.281715393066406,2.0263473987579346,7.359575014561415,-75.14722442626953,0.017425041645765305,14.010285377502441,-73.92437744140625,0.2792556881904602,12.762805938720703,-74.3546371459961,1.0944843292236328,13.106091499328613
