frame_index,frame_id,reference_x,reference_y,search_center_x,search_center_y,jitter_m,visual_x,visual_y,visual_error_m,final_x,final_y,final_error_m,kalman_xy_x,kalman_xy_y,gru_xy_x,gru_xy_y
0,0,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,0.0,-13.30495834350586,-0.691025972366333,5.669299747405419,-15.783137321472168,-1.2020258903503418,3.1468404959625884,-15.55352783203125,-1.2558859586715698,-15.783137321472168,-1.2020258903503418
1,1,-25.919267654418945,-1.4582853317260742,-25.919267654418945,-1.4582853317260742,0.0,-22.19786834716797,-1.0342878103256226,3.7454754974718196,-20.443035125732422,-0.6688565015792847,5.532840191629551,-20.12802505493164,-0.9612614512443542,-20.443035125732422,-0.6688565015792847
2,2,-28.881437301635742,-1.16508948802948,-28.881437301635742,-1.16508948802948,0.0,-22.5069580078125,-0.8341652750968933,6.383063300805211,-23.906118392944336,-0.2433863878250122,5.0599737991524,-22.13640785217285,-0.7429831624031067,-23.906118392944336,-0.2433863878250122
3,3,-31.84273910522461,-0.8719794154167175,-31.84273910522461,-0.8719794154167175,0.0,-26.191736221313477,-0.5247195959091187,5.661662562906446,-28.14893913269043,0.22203665971755981,3.8524056652623844,-25.519290924072266,-0.4828500747680664,-28.14893913269043,0.22203665971755981
4,4,-34.80412292480469,-0.5788613557815552,-34.80412292480469,-0.5788613557815552,0.0,-26.278181076049805,-0.08026640117168427,8.540508259881976,-29.5305118560791,0.19267262518405914,5.329750311972378,-26.849224090576172,-0.1336154192686081,-29.5305118560791,0.19267262518405914
5,5,-38.077056884765625,-0.2521708011627197,-38.077056884765625,-0.2521708011627197,0.0,-29.922191619873047,-0.019295698031783104,8.158189646129204,-31.71072769165039,0.10892505943775177,6.376561582518753,-29.49273109436035,0.08515747636556625,-31.71072769165039,0.10892505943775177
6,6,-41.34334182739258,0.07385636121034622,-41.34334182739258,0.07385636121034622,0.0,-33.208229064941406,1.5414695739746094,8.266435035737969,-34.8865852355957,1.2071382999420166,6.555458308796404,-32.49747085571289,0.9540084600448608,-34.8865852355957,1.2071382999420166
7,7,-44.61831283569336,0.40075016021728516,-44.61831283569336,0.40075016021728516,0.0,-38.8209228515625,-1.1581573486328125,6.0033260155725365,-40.1784782409668,1.2064517736434937,4.512348204472741,-36.13977813720703,0.13439379632472992,-40.1784782409668,1.2064517736434937
8,8,-47.93851089477539,0.7270652055740356,-47.93851089477539,0.7270652055740356,0.0,-37.929718017578125,-1.8996907472610474,10.347742830897435,-43.430519104003906,1.080909252166748,4.521857538111102,-38.463985443115234,-0.7532967925071716,-43.430519104003906,1.080909252166748
9,9,-51.25859451293945,1.0533686876296997,-51.25859451293945,1.0533686876296997,0.0,-50.55075454711914,1.3096060752868652,0.7527914824477424,-49.85212326049805,1.663588285446167,1.533143614115582,-44.406620025634766,0.19108441472053528,-49.85212326049805,1.663588285446167
