frame_id,reference_x,reference_y,search_center_x,search_center_y,search_center_error_m,base_ms_x,base_ms_y,base_ms_error_m,final_x,final_y,error_final_m,variance_x,variance_y
0,-37.63298034667969,0.8348962068557739,-34.456548431129285,8.177258244093709,8.0,-46.12792205810547,0.1896466314792633,8.519412051018847,-42.23652267456055,4.741921901702881,6.038000641337018,8.337594985961914,31.151222229003906
1,-47.69226837158203,1.7922438383102417,-54.9941647025521,-1.4761364901959033,8.000000000000004,-49.338104248046875,0.06552153825759888,2.38544453587961,-45.670684814453125,2.2479329109191895,2.0723061089880432,23.459901809692383,7.270424842834473
2,-50.9120979309082,2.1374623775482178,-43.320147635635415,-0.3848957877620647,8.000000000000002,-49.14432144165039,0.16025304794311523,2.652242532094329,-49.73642349243164,0.5776734948158264,1.9532413429944449,13.029464721679688,8.71023941040039
3,-54.1414794921875,2.4837052822113037,-58.035718904520756,9.471902431650516,8.0,-49.50408935546875,1.330151081085205,4.778710555690941,-46.57563400268555,0.4237460792064667,7.841265834612507,26.133037567138672,49.950721740722656
4,-57.659645080566406,2.8609108924865723,-59.50861348295809,-4.922489125947347,7.999999999999999,-53.702091217041016,0.19862350821495056,4.7696967093471025,-48.226131439208984,0.44931304454803467,9.736887788295517,23.904865264892578,13.102293014526367
5,-60.85377502441406,3.1642963886260986,-54.232792099133164,7.654573117641676,8.000000000000002,-49.82912063598633,1.1956121921539307,11.199050042290112,-45.96898651123047,0.23112183809280396,15.171039582905927,26.824657440185547,47.3697509765625
6,-64.02477264404297,3.465484857559204,-71.94001774443146,4.626904248122328,8.0,-63.927677154541016,0.3966856300830841,3.070334873045553,-51.05754470825195,1.96575927734375,13.053665276645924,21.471572875976562,19.28058624267578
7,-67.50447845458984,3.795994520187378,-62.452550581093966,-2.407071234824044,8.0,-53.84861373901367,0.3005288243293762,14.096131439548879,-50.21124267578125,0.918902575969696,17.5309344233828,20.906728744506836,6.6212663650512695
8,-70.70535278320312,4.076558589935303,-70.24037645923912,12.063034472209845,8.0,-63.8661003112793,0.9473980665206909,7.521104969086164,-51.36662292480469,2.197394371032715,19.429815508586668,20.751968383789062,50.88813781738281
9,-73.90149688720703,4.35670804977417,-79.63914290137156,-1.2181837174390697,8.0,-71.52447509765625,0.24154473841190338,4.752346964099028,-56.483951568603516,3.37296724319458,17.44530397843893,27.586742401123047,14.636236190795898
10,-77.41057586669922,4.6642866134643555,-69.41402898211317,4.89931410678601,7.999999999999997,-64.67952728271484,0.5031164884567261,13.393839436734583,-58.91184616088867,3.0052788257598877,18.572972502222193,32.69310760498047,24.181865692138672
11,-80.71418762207031,4.9646830558776855,-86.7693512174816,10.192970904954652,8.0,-94.01118469238281,10.585332870483398,14.436129516817395,-72.27862548828125,4.830946922302246,8.43662218345942,30.766902923583984,66.97093963623047
12,-84.01985931396484,5.2652668952941895,-83.0866278246927,-2.680114089116243,8.0,-92.3224105834961,0.6882588863372803,9.4805780360298,-83.9977798461914,4.477499961853027,0.7880762934643134,34.89301300048828,29.43393325805664
