frame_id,gt_x_m,gt_y_m,pred_x_m,pred_y_m,gt_lat,gt_lon,pred_lat,pred_lon,error_m,latency_ms,correction_gate,candidate_capture
4,-34.80412292480469,-0.5788613557815552,-31.653844833374023,-3.795078754425049,23.45075225830078,120.28585815429688,23.450723008227506,120.28589064734074,4.50203358591261,16.954350285232067,0.9071159362792969,1
5,-34.80412292480469,-0.5788613557815552,-37.45424270629883,-2.276808738708496,23.45075225830078,120.28585815429688,23.45073664707911,120.28583385017265,3.14740530778211,14.150294475257397,0.9572070837020874,1
6,-34.80412292480469,-0.5788613557815552,-37.25613784790039,-2.8037307262420654,23.45075225830078,120.28585815429688,23.450731913658363,120.28583579000423,3.310954680858283,14.858323149383068,0.6712967157363892,1
7,-44.61831283569336,0.40075016021728516,-37.42396545410156,-0.2919890284538269,23.450759887695312,120.2857666015625,23.45075447701793,120.2858341466458,7.227622142208144,15.40462952107191,0.29069721698760986,1
8,-44.61831283569336,0.40075016021728516,-44.30251693725586,-0.15034574270248413,23.450759887695312,120.2857666015625,23.450755749421216,120.28576679225851,0.6351643438393748,14.314881525933743,0.703230082988739,1
9,-44.61831283569336,0.40075016021728516,-41.16139221191406,2.5513997077941895,23.450759887695312,120.2857666015625,23.450780019613536,120.28579754997425,4.0713135074080675,14.6848289296031,0.6798102259635925,1
10,-54.585689544677734,1.3803616762161255,-52.1558952331543,-0.5073127746582031,23.450769424438477,120.2856674194336,23.450752542731806,120.28568989242217,3.0768840128928088,15.256620943546295,0.9050645232200623,1
11,-54.585689544677734,1.3803616762161255,-51.52600860595703,-0.08715704083442688,23.450769424438477,120.2856674194336,23.45075631705498,120.28569606023642,3.3934140082908395,14.506854116916656,0.2518211305141449,1
12,-54.585689544677734,1.3803616762161255,-53.060367584228516,2.547457695007324,23.450769424438477,120.2856674194336,23.45077998420183,120.28568103588005,1.9206041237347466,14.450310729444027,0.7679068446159363,1
13,-64.62455749511719,2.3488411903381348,-59.62932205200195,3.3796286582946777,23.45077896118164,120.28556823730469,23.450787459720786,120.28561671304922,5.100480363284513,15.155772678554058,0.6369462609291077,1
14,-64.62455749511719,2.3488411903381348,-64.19479370117188,2.6752989292144775,23.45077896118164,120.28556823730469,23.450781132619177,120.28557200820892,0.5396958160468945,15.274635516107082,0.7690223455429077,1
15,-64.62455749511719,2.3488411903381348,-62.143253326416016,1.5958666801452637,23.45077896118164,120.28556823730469,23.4507714359143,120.2855920967763,2.5930370206794207,15.445598401129246,0.9673851728439331,1
16,-74.64299774169922,3.3395848274230957,-64.96586608886719,1.1294022798538208,23.450786590576172,120.28546905517578,23.4507672455933,120.28556445791169,9.926317742235707,14.323016628623009,0.5784587264060974,1
17,-74.64299774169922,3.3395848274230957,-76.43108367919922,0.6797304153442383,23.450786590576172,120.28546905517578,23.45076320612221,120.28545219114915,3.2050080831942713,15.144942328333855,0.9993686079978943,1
18,-74.64299774169922,3.3395848274230957,-72.51092529296875,1.1340856552124023,23.450786590576172,120.28546905517578,23.450767287664775,120.28549057711847,3.0675657328340318,15.774961560964584,0.9912506341934204,1
19,-84.62059020996094,4.3080644607543945,-83.82598876953125,0.6128559112548828,23.450796127319336,120.28536987304688,23.450762605378323,120.28537978065653,3.779676927123166,14.791512861847878,0.9860448837280273,1
20,-84.62059020996094,4.3080644607543945,-84.7441177368164,0.8197197914123535,23.450796127319336,120.28536987304688,23.450764463668175,120.28537079038958,3.490531131793278,14.73500020802021,0.9796599745750427,1
21,-84.62059020996094,4.3080644607543945,-82.33416748046875,4.106930732727051,23.450796127319336,120.28536987304688,23.45079399318648,120.28539438848627,2.295252420647603,14.349404722452164,0.958543598651886,1
22,-94.5164794921875,5.254280090332031,-85.50434112548828,5.356729030609131,23.450803756713867,120.2852783203125,23.450805220315612,120.28536334632513,9.012720661703433,14.781918376684189,0.9999299049377441,1
23,-94.5164794921875,5.254280090332031,-89.993408203125,8.6403226852417,23.450803756713867,120.2852783203125,23.45083471733928,120.28531938963407,5.6500848082559,15.148458071053028,0.9879924058914185,1
24,-94.5164794921875,5.254280090332031,-90.9552993774414,3.1455650329589844,23.450803756713867,120.2852783203125,23.450785357091462,120.28530997085007,4.1386813120672645,14.617903158068657,0.8474932909011841,1
25,-104.41236877441406,6.233891487121582,-94.0298080444336,3.8716068267822266,23.45081329345703,120.2851791381836,23.450791879235865,120.285279865435,10.647908533050385,15.10585192590952,0.9996119141578674,1
26,-104.41236877441406,6.233891487121582,-98.89984130859375,5.7291951179504395,23.45081329345703,120.2851791381836,23.450808566235402,120.28523217834457,5.535582849752847,14.322892762720585,0.9995633959770203,1
27,-104.41236877441406,6.233891487121582,-108.15853118896484,4.957526206970215,23.45081329345703,120.2851791381836,23.450801634215633,120.28514151777664,3.957630751417926,14.730026945471764,0.9835669994354248,1
28,-114.4308090209961,7.135579586029053,-112.37284088134766,4.114206314086914,23.450820922851562,120.28507995605469,23.45079405854414,120.28510025149436,3.6556708429800397,15.13262651860714,0.9295120239257812,1
29,-114.4308090209961,7.135579586029053,-117.72645568847656,6.7197394371032715,23.450820922851562,120.28507995605469,23.450817464446416,120.2850478292008,3.321778136229711,15.046299435198307,0.8736027479171753,1
30,-114.4308090209961,7.135579586029053,-111.21487426757812,9.071022033691406,23.450820922851562,120.28507995605469,23.450838586377355,120.28511159023799,3.7534216132023768,14.775722287595272,0.950151264667511,1
31,-124.41860961914062,8.126322746276855,-112.25543212890625,8.704449653625488,23.450830459594727,120.28498077392578,23.45083529340164,120.28510140115422,12.176909188293418,14.359473250806332,0.9847225546836853,1
32,-124.41860961914062,8.126322746276855,-119.52510833740234,8.868587493896484,23.450830459594727,120.28498077392578,23.450836767876943,120.28503021689573,4.9494759065918315,14.805058017373085,0.754692792892456,1
33,-124.41860961914062,8.126322746276855,-122.34233856201172,9.390420913696289,23.450830459594727,120.28498077392578,23.45084145558631,120.28500263073663,2.4308117326408385,15.210873447358608,0.8680874109268188,1
34,-134.4064178466797,9.183857917785645,-130.17892456054688,10.606794357299805,23.45083999633789,120.28488159179688,23.45085238245487,120.28492589532952,4.4605434192702615,14.582901261746883,0.9460802674293518,1
35,-134.4064178466797,9.183857917785645,-132.23532104492188,9.90677261352539,23.45083999633789,120.28488159179688,23.45084609405255,120.2849057592114,2.2882890944807417,14.752687886357307,0.3641625642776489,1
36,-134.4064178466797,9.183857917785645,-133.22825622558594,8.000784873962402,23.45083999633789,120.28488159179688,23.450828972273374,120.28489603644624,1.669648655388146,14.20891098678112,0.9531139135360718,1
37,-144.29208374023438,10.052149772644043,-139.46432495117188,6.617803573608398,23.450847625732422,120.2847900390625,23.450816548740974,120.28483497321379,5.9246931346864535,14.828702434897423,0.9256250262260437,1
38,-144.29208374023438,10.052149772644043,-142.2071533203125,4.388189315795898,23.450847625732422,120.2847900390625,23.45079651977532,120.28480811559345,6.035510161755595,14.793571084737778,0.8971258997917175,1
39,-144.29208374023438,10.052149772644043,-148.81008911132812,6.380851745605469,23.450847625732422,120.2847900390625,23.450814420166488,120.28474346001944,5.821580690548685,14.303977601230145,0.9491512179374695,1
40,-154.1981964111328,10.909310340881348,-150.01956176757812,4.837636470794678,23.450855255126953,120.2846908569336,23.450800557227808,120.28473161693155,7.370631660109509,14.563710428774357,0.49655014276504517,1
41,-154.1981964111328,10.909310340881348,-157.7761993408203,4.616477966308594,23.450855255126953,120.2846908569336,23.45079857052716,120.28465566437491,7.238911814583965,14.714237302541733,0.9608004093170166,1
42,-154.1981964111328,10.909310340881348,-154.84043884277344,8.612311363220215,23.450855255126953,120.2846908569336,23.450834465709292,120.28468441117575,2.3850953113819062,14.842474833130836,0.5990131497383118,1
43,-164.03280639648438,11.966845512390137,-158.35377502441406,7.8582634925842285,23.450864791870117,120.28459167480469,23.45082769198202,120.28465000878647,7.009411069300416,14.942728914320469,0.9891743659973145,1
44,-164.03280639648438,11.966845512390137,-161.62530517578125,5.922285079956055,23.450864791870117,120.28459167480469,23.450810300792043,120.28461797414816,6.506364034469231,15.019994229078293,0.7942100763320923,1
45,-164.03280639648438,11.966845512390137,-171.5004425048828,6.202495098114014,23.450864791870117,120.28459167480469,23.450812817961463,120.28452127736166,9.433627337669295,14.913559891283512,0.9633141756057739,1
46,-174.08189392089844,12.979852676391602,-175.53077697753906,9.757986068725586,23.45087432861328,120.28449249267578,23.45084475748028,120.28448181255433,3.532659982140031,14.744811691343784,0.919569194316864,1
47,-174.08189392089844,12.979852676391602,-178.3898162841797,15.595272064208984,23.45087432861328,120.28449249267578,23.450897194712553,120.28445381700305,5.03970372762425,15.441038645803928,0.8322049379348755,1
48,-184.13096618652344,13.948331832885742,-179.0164031982422,15.916569709777832,23.450881958007812,120.2844009399414,23.45090008097841,120.28444768149942,5.480211209536464,14.2900375649333,0.803734302520752,1
49,-184.13096618652344,13.948331832885742,-182.52362060546875,13.27235221862793,23.450881958007812,120.2844009399414,23.450876327568544,120.28441333902482,1.7437053236794833,14.600255526602268,0.787755012512207,1
50,-184.13096618652344,13.948331832885742,-182.9048309326172,12.786018371582031,23.450881958007812,120.2844009399414,23.45087195875726,120.28440960623485,1.6894911195977198,14.86126333475113,0.7384321689605713,1
51,-194.10855102539062,14.861151695251465,-185.78662109375,12.030415534973145,23.450891494750977,120.2843017578125,23.450865171061494,120.2843813879085,8.790198234183539,14.982339926064014,0.9417783617973328,1
52,-194.10855102539062,14.861151695251465,-190.90501403808594,8.289078712463379,23.450891494750977,120.2843017578125,23.450831562060987,120.28433126889412,7.311278446354118,14.916290529072285,0.8129438161849976,1
53,-194.10855102539062,14.861151695251465,-185.6208953857422,7.587365627288818,23.450891494750977,120.2843017578125,23.45082525846509,120.28438301068526,11.178025855210008,15.31886588782072,0.7675225734710693,1
54,-203.94317626953125,15.796236038208008,-203.3295135498047,13.5877685546875,23.450899124145508,120.2842025756836,23.450879161001698,120.28420960889724,2.29214104263887,14.965808019042015,0.9688867330551147,1
55,-203.94317626953125,15.796236038208008,-202.35501098632812,15.57905387878418,23.450899124145508,120.2842025756836,23.450897049022114,120.28421915117126,1.6029463675194062,14.120444655418396,0.9059056043624878,1
56,-203.94317626953125,15.796236038208008,-198.77835083007812,17.313648223876953,23.450899124145508,120.2842025756836,23.450912631148235,120.28425417362531,5.38311820056357,14.997104182839394,0.943597137928009,1
57,-213.8697052001953,16.76471519470215,-206.4822998046875,17.901079177856445,23.45090675354004,120.28410339355469,23.45091790813028,120.28417873699246,7.47429472122877,14.993623830378056,0.9200025200843811,1
58,-213.8697052001953,16.76471519470215,-208.99655151367188,15.016447067260742,23.45090675354004,120.28410339355469,23.450891995039136,120.28415411758185,5.177264557457389,14.743844978511333,0.8672259449958801,1
59,-213.8697052001953,16.76471519470215,-211.4695587158203,13.627443313598633,23.45090675354004,120.28410339355469,23.450879517406122,120.28412990203512,3.9500858221588637,14.778726734220982,0.7877027988433838,1
60,-223.8677215576172,17.811119079589844,-219.4974365234375,15.953531265258789,23.450916290283203,120.28401184082031,23.450900413009713,120.28405129350944,4.748686530813145,13.987199403345585,0.7191112041473389,1
61,-223.8677215576172,17.811119079589844,-224.22283935546875,15.286253929138184,23.450916290283203,120.28401184082031,23.450894418755414,120.28400502263202,2.5497161956414343,14.493212103843689,0.8917460441589355,1
62,-223.8677215576172,17.811119079589844,-222.65699768066406,20.108104705810547,23.450916290283203,120.28401184082031,23.45093773417792,120.28402035526518,2.5965352439912928,15.641962178051472,0.9002555012702942,1
63,-233.84530639648438,18.824125289916992,-231.96353149414062,19.75414276123047,23.450925827026367,120.2839126586914,23.45093455448367,120.28392922621217,2.0990496135249264,15.151471830904484,0.9965448975563049,1
64,-233.84530639648438,18.824125289916992,-232.97378540039062,20.31246566772461,23.450925827026367,120.2839126586914,23.450939569983674,120.28391933386303,1.7247335814104052,15.305529348552227,0.9904834032058716,1
65,-233.84530639648438,18.824125289916992,-232.63552856445312,20.693201065063477,23.450925827026367,120.2839126586914,23.45094299018794,120.28392264605483,2.2264336181691253,14.316540211439133,0.9717508554458618,1
66,-243.63906860351562,19.73694610595703,-238.6638946533203,20.011333465576172,23.4509334564209,120.2838134765625,23.450936864867078,120.28386361663487,4.982734616435115,14.614792540669441,0.8834139108657837,1
67,-243.63906860351562,19.73694610595703,-243.01332092285156,23.193256378173828,23.4509334564209,120.2838134765625,23.45096544856693,120.28382102729871,3.5124978089228476,14.93294257670641,0.9947636127471924,1
68,-243.63906860351562,19.73694610595703,-242.4894256591797,24.523271560668945,23.4509334564209,120.2838134765625,23.450977396296597,120.28382615725151,4.922457745667769,14.941117726266384,0.7557615637779236,1
69,-253.5655975341797,20.549577713012695,-245.09657287597656,22.97235107421875,23.45094108581543,120.2837142944336,23.450963464140823,120.28380062821334,8.80875754127801,15.1444710791111,0.9948970675468445,1
70,-253.5655975341797,20.549577713012695,-249.05088806152344,25.243900299072266,23.45094108581543,120.2837142944336,23.450983869814696,120.28376190778258,6.513007459268037,14.433570206165314,0.8590541481971741,1
71,-263.5738220214844,21.506925582885742,-260.45556640625,24.42381477355957,23.450950622558594,120.28362274169922,23.450976502861078,120.28365023381691,4.269866582530481,14.553540386259556,0.9249520301818848,1
72,-263.5738220214844,21.506925582885742,-264.3763122558594,20.649524688720703,23.450950622558594,120.28362274169922,23.450942597836377,120.2836118420952,1.1743623246606012,15.276611782610416,0.879161536693573,1
73,-263.5738220214844,21.506925582885742,-262.7103271484375,24.034563064575195,23.450950622558594,120.28362274169922,23.450973006153482,120.2836281553272,2.671062454271641,14.603273011744022,0.9783398509025574,1
74,-273.63311767578125,22.575592041015625,-269.8148498535156,25.943012237548828,23.450960159301758,120.28352355957031,23.450990150044092,120.28355858824247,5.091039966703148,15.135166235268116,0.5539273023605347,1
75,-273.63311767578125,22.575592041015625,-272.5755615234375,26.163484573364258,23.450960159301758,120.28352355957031,23.450992130580783,120.28353155550985,3.7405076980328755,14.541680924594402,0.8187534213066101,1
76,-273.63311767578125,22.575592041015625,-271.61895751953125,26.220382690429688,23.450960159301758,120.28352355957031,23.450992641705263,120.28354092252219,4.164293459049351,14.947237446904182,0.858781635761261,1
77,-283.5698547363281,23.666522979736328,-280.18487548828125,22.46310043334961,23.450969696044922,120.2834243774414,23.45095888946448,120.28345704553766,3.592535363063234,14.995047822594643,0.9964333772659302,1
78,-283.5698547363281,23.666522979736328,-282.9133605957031,21.560466766357422,23.450969696044922,120.2834243774414,23.45095078096829,120.28343032836572,2.206004834669873,14.605947770178318,0.9544008374214172,1
79,-283.5698547363281,23.666522979736328,-278.7665100097656,19.019275665283203,23.450969696044922,120.2834243774414,23.45092795306023,120.28347093409224,6.683489220750458,14.848066493868828,0.9785494208335876,1
80,-293.4555358886719,24.623870849609375,-291.2269592285156,20.799266815185547,23.450979232788086,120.2833251953125,23.450943942992787,120.28334892207786,4.42652797916428,14.103911817073822,0.947827935218811,1
81,-293.4555358886719,24.623870849609375,-293.44683837890625,15.6735258102417,23.450979232788086,120.2833251953125,23.450897897677915,120.2833271851467,8.950349265275053,14.633217826485634,0.8154902458190918,1
82,-293.4555358886719,24.623870849609375,-292.16436767578125,24.926952362060547,23.450979232788086,120.2833251953125,23.450981022622933,120.28333974302734,1.3262630799237607,15.184333547949791,0.9765832424163818,1
83,-303.45355224609375,25.5032958984375,-303.4189147949219,24.215181350708008,23.450986862182617,120.2832260131836,23.45097462867515,120.28322953913815,1.2885801647922561,14.4813172519207,0.9934970140457153,1
84,-303.45355224609375,25.5032958984375,-306.65625,23.161130905151367,23.450986862182617,120.2832260131836,23.450965159978896,120.28319783933482,3.9677461812282253,14.590655453503132,0.9788387417793274,1
85,-303.45355224609375,25.5032958984375,-309.5667724609375,22.222251892089844,23.450986862182617,120.2832260131836,23.450956725885224,120.28316933966342,6.938062493719997,14.271581545472145,0.7331393361091614,1
86,-313.44134521484375,26.44951057434082,-311.3363952636719,27.827058792114258,23.45099449157715,120.28313446044922,23.451007074722252,120.28315201161696,2.5156417450084687,15.108385123312473,0.9639238715171814,1
87,-313.44134521484375,26.44951057434082,-314.1070251464844,24.096515655517578,23.45099449157715,120.28313446044922,23.450973562683075,120.28312488176577,2.4453455501006522,15.454761683940887,0.9945084452629089,1
88,-313.44134521484375,26.44951057434082,-319.8823547363281,27.057783126831055,23.45099449157715,120.28313446044922,23.45100016420137,120.28306833006489,6.4696676231445895,14.650904573500156,0.9770558476448059,1
89,-323.3372497558594,27.373462677001953,-318.8669128417969,26.82756996154785,23.45100212097168,120.28303527832031,23.450998096161324,120.28307827321453,4.503544268908177,15.175365842878819,0.9270087480545044,1
90,-323.3372497558594,27.373462677001953,-321.7693786621094,22.67135238647461,23.45100212097168,120.28303527832031,23.450960760223605,120.2830498524333,4.956617894381204,14.851993881165981,0.9918530583381653,1
91,-323.3372497558594,27.373462677001953,-324.2217712402344,21.5933895111084,23.45100212097168,120.28303527832031,23.45095107671834,120.2830258387438,5.847360435222349,15.092622488737106,0.6437069773674011,1
92,-333.27398681640625,28.35307502746582,-324.523681640625,21.558338165283203,23.451011657714844,120.2829360961914,23.45095076184674,120.28302288245422,11.078641148426435,14.689542353153229,0.8321565389633179,1
93,-333.27398681640625,28.35307502746582,-325.9720153808594,19.3397216796875,23.451011657714844,120.2829360961914,23.450930831675755,120.2830087004521,11.599970923129469,14.90995567291975,0.948447585105896,1
