frame_id,image_path,reference_x,reference_y,raw_visual_x,raw_visual_y,forward_ms_x,forward_ms_y,variance_x,variance_y,final_x,final_y,error_final_m,gru_xy_x,gru_xy_y,kalman_xy_x,kalman_xy_y
0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,-37.63298034667969,0.8348962068557739,-47.173274993896484,0.3239101767539978,-47.4183349609375,1.2465226650238037,15.670164108276367,48.57905960083008,-41.0855827331543,1.583080768585205,3.5327387927074976,-42.14642333984375,2.2957494258880615,-41.0855827331543,1.583080768585205
1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,-47.69226837158203,1.7922438383102417,-55.411617279052734,0.3687759041786194,-55.31175231933594,1.0650802850723267,16.15480613708496,38.931365966796875,-47.23548126220703,1.663085699081421,0.4746959955805607,-48.97632598876953,1.5035954713821411,-47.23548126220703,1.663085699081421
2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,-50.9120979309082,2.1374623775482178,-59.55194854736328,-0.35581880807876587,-59.664276123046875,0.5333092212677002,9.884336471557617,45.54309844970703,-53.18526077270508,1.4241362810134888,2.3824574341052807,-53.71676254272461,1.0648506879806519,-53.18526077270508,1.4241362810134888
3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,-54.1414794921875,2.4837052822113037,-64.48216247558594,4.817620754241943,-63.7204704284668,3.6572651863098145,17.410457611083984,49.92661666870117,-58.01944351196289,3.14127779006958,3.9333200405971964,-57.93508529663086,4.6764912605285645,-58.01944351196289,3.14127779006958
4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,-57.659645080566406,2.8609108924865723,-64.4043960571289,5.044628143310547,-63.52406692504883,3.6202664375305176,17.762929916381836,49.18534851074219,-59.81364059448242,4.2222723960876465,2.5481369306725448,-57.272830963134766,4.71635627746582,-59.81364059448242,4.2222723960876465
5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,-60.85377502441406,3.1642963886260986,-74.50151824951172,9.402082443237305,-74.67754364013672,10.244522094726562,3.6149563789367676,34.23366928100586,-67.15038299560547,8.293951988220215,8.121615511295671,-68.66139221191406,10.889930725097656,-67.15038299560547,8.293951988220215
6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,-64.02477264404297,3.465484857559204,-77.28295135498047,7.592116355895996,-77.32193756103516,8.13058090209961,7.353676795959473,42.17346954345703,-71.23563385009766,9.581072807312012,9.454995256696124,-70.6876220703125,9.190322875976562,-71.23563385009766,9.581072807312012
7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,-67.50447845458984,3.795994520187378,-76.83134460449219,6.7694292068481445,-76.89202880859375,7.033714294433594,8.183738708496094,44.18584060668945,-72.42051696777344,9.683268547058105,7.669904180012358,-70.04407501220703,7.8211212158203125,-72.42051696777344,9.683268547058105
8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,-70.70535278320312,4.076558589935303,-78.69801330566406,6.663487911224365,-78.58065795898438,6.747995376586914,14.259405136108398,42.66514205932617,-73.48210144042969,8.828104972839355,5.503410409400529,-70.90758514404297,6.310414791107178,-73.48210144042969,8.828104972839355
9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,-73.90149688720703,4.35670804977417,-83.46031188964844,4.506056785583496,-83.32086181640625,4.359896659851074,14.287505149841309,42.726444244384766,-75.626708984375,7.194967746734619,3.321456741793384,-75.25599670410156,4.323628902435303,-75.626708984375,7.194967746734619
