frame_id,image_path,reference_x,reference_y,prior_x,prior_y,ms1_x,ms1_y,ms1_support,kalman_x_prime_x,kalman_x_prime_y,pred_speed_m_per_frame,pred_acceleration_m_per_frame2,pred_heading_deg,delta_x,delta_y,ms2_x,ms2_y,ms2_support,final_x,final_y,next_prior_x,next_prior_y,error_final_m,tracking_core_latency_ms
0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,-37.63298034667969,0.8348962068557739,-37.632978691184114,0.8348961808190729,-47.418331146240234,1.2465226650238037,0.6745452880859375,-45.95052827798182,1.184778692393094,0.23667341470718384,-0.10997029393911362,176.5253375140091,-0.18135425448417664,0.011011605150997639,-41.07306671142578,-0.36354029178619385,0.49968138337135315,-41.07306671142578,-0.36354029178619385,-41.25442096590996,-0.3525286866351962,3.642862094313922,18.30844604410231
1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,-47.69226837158203,1.7922438383102417,-41.25442096590996,-0.3525286866351962,-51.07492446899414,1.4835906028747559,0.7185693383216858,-48.90509145276441,1.0779013981548808,0.34732359647750854,-0.18464313447475433,-179.51368187967307,-0.25499284267425537,-0.002164393663406372,-39.5966911315918,-1.8984417915344238,0.5909616351127625,-39.5966911315918,-1.8984417915344238,-39.85168397426605,-1.9006061851978302,8.897164226144746,17.005196074023843
2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,-50.9120979309082,2.1374623775482178,-39.85168397426605,-1.9006061851978302,-51.31037521362305,1.3542628288269043,0.6936990022659302,-48.181669885839725,0.46554649877702703,0.42775678634643555,-0.2273070514202118,-174.7290114226741,-0.31277501583099365,-0.02885553240776062,-38.93550109863281,-2.3588109016418457,0.6027103662490845,-38.93550109863281,-2.3588109016418457,-39.248276114463806,-2.3876664340496063,12.792784883833054,18.29037698917091
3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,-54.1414794921875,2.4837052822113037,-39.248276114463806,-2.3876664340496063,-46.53212356567383,-0.6682220101356506,0.6074004173278809,-44.12108862635893,-1.2373773377335706,0.4835836887359619,-0.25360554456710815,-169.44655677896458,-0.3507457971572876,-0.06534534692764282,-32.9200553894043,1.2132976055145264,0.7210047841072083,-32.9200553894043,1.2132976055145264,-33.270801186561584,1.1479522585868835,21.259416187073388,18.520551966503263
4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,-57.659645080566406,2.8609108924865723,-33.270801186561584,1.1479522585868835,-37.912147521972656,-3.1147332191467285,0.7097674608230591,-36.184722730105776,-1.5282391197970404,0.5205892324447632,-0.27014610171318054,-163.83298822467117,-0.37027060985565186,-0.10734240710735321,-29.24787139892578,1.65024995803833,0.705224871635437,-29.24787139892578,1.65024995803833,-29.618142008781433,1.5429075509309769,28.437555866054417,18.826017039828002
5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,-60.85377502441406,3.1642963886260986,-29.618142008781433,1.5429075509309769,-32.522254943847656,-2.5962064266204834,0.663779079914093,-31.3744341223296,-0.9602641226199502,0.5491513013839722,-0.2818022668361664,-157.98375082325566,-0.37847957015037537,-0.1530405431985855,-26.40939712524414,1.3810278177261353,0.6409487724304199,-26.40939712524414,1.3810278177261353,-26.787876695394516,1.2279872745275497,34.490509066361795,18.484247964806855
6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,-64.02477264404297,3.465484857559204,-26.787876695394516,1.2279872745275497,-31.447439193725586,-6.790581703186035,0.7400388717651367,-29.556867950672064,-3.537126915287776,0.5695836544036865,-0.2901683449745178,-151.9653842776123,-0.37469032406806946,-0.19951684772968292,-23.474933624267578,-2.8523108959198,0.5632038116455078,-23.474933624267578,-2.8523108959198,-23.849623948335648,-3.0518277436494827,41.03905442030038,18.470240058377385
7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,-67.50447845458984,3.795994520187378,-23.849623948335648,-3.0518277436494827,-29.212244033813477,-8.457939147949219,0.5855920314788818,-27.015949399003134,-6.243832371188331,0.5843583941459656,-0.2962688207626343,-145.83007123299996,-0.3609210252761841,-0.24500487744808197,-24.353422164916992,-2.8005571365356445,0.5675158500671387,-24.353422164916992,-2.8005571365356445,-24.714343190193176,-3.0455620139837265,43.65235563717415,18.105416907928884
8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,-70.70535278320312,4.076558589935303,-24.714343190193176,-3.0455620139837265,-27.36386489868164,-11.808897018432617,0.6283639669418335,-26.275965363930425,-8.210652080991485,0.5951883792877197,-0.30060672760009766,-139.59689523795967,-0.33878135681152344,-0.2883572280406952,-23.795127868652344,-8.063063621520996,0.5699440240859985,-23.795127868652344,-8.063063621520996,-24.133909225463867,-8.351420849561691,48.455542809575704,18.699785927310586
9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,-73.90149688720703,4.35670804977417,-24.133909225463867,-8.351420849561691,-27.904829025268555,-16.06960105895996,0.6180546283721924,-26.355780427168067,-12.899065256561151,0.6000527739524841,-0.30271807312965393,-133.28794512426728,-0.3076537251472473,-0.32661181688308716,-24.18243980407715,-12.82067584991455,0.5524027347564697,-24.18243980407715,-12.82067584991455,-24.490093529224396,-13.147287666797638,52.60272953823606,18.42773996759206
