sequence_index,frame_id,image_path,active_leg_before,active_leg_after,active_waypoint_from,active_waypoint_to,search_heading_deg,forward_local_candidate_count,topology_recovery_candidate_count,selected_branch,selected_local_index,selected_recovery_index,leg_choice,leg_state_delta,leg_probability_previous,leg_probability_current,leg_probability_next,waypoint_switched_after_frame,waypoint_advanced_after_frame,waypoint_rollback_after_frame,gt_x,gt_y,hold_x,hold_y,local_x,local_y,recovery_x,recovery_y,fusion_hold,fusion_local,fusion_recovery,visual_x,visual_y,measurement_var_x,measurement_var_y,final_x,final_y,error_visual_m,error_final_m
11,11,/yh/study/new_data/model_dataset_flight/vi/vi_000011.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.43374958634376526,0.03195485472679138,0.5342956185340881,1,1,0,-57.930152893066406,1.7030118703842163,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.3332115709781647,0.3334849178791046,0.3333034813404083,-461.4723205566406,259.41253662109375,49.0,49.0,-277.80097519566897,113.56797192314846,478.8115234375,246.6920099793043
12,12,/yh/study/new_data/model_dataset_flight/vi/vi_000012.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.9299557209014893,0.07004423439502716,0.0,1,0,1,-61.281715393066406,2.0263473987579346,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.33320873975753784,0.3334881663322449,0.3333030343055725,-456.7713317871094,254.62449645996094,49.0,49.0,-293.5525379946335,125.97981994649207,469.2737731933594,263.27589784986117
13,13,/yh/study/new_data/model_dataset_flight/vi/vi_000013.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.4335867762565613,0.0318099707365036,0.5346032977104187,1,1,0,-64.62455749511719,2.3488411903381348,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.33320772647857666,0.3334888219833374,0.3333034813404083,-461.4723205566406,259.41253662109375,49.0,49.0,-308.14262375778833,137.5711818294535,472.831787109375,278.5428692396049
14,14,/yh/study/new_data/model_dataset_flight/vi/vi_000014.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.930235743522644,0.06976432353258133,0.0,1,0,1,-67.96265411376953,2.678952693939209,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.3332052230834961,0.3334916830062866,0.3333030641078949,-456.7713317871094,254.62449645996094,49.0,49.0,-320.91701756694516,147.63008197665428,463.302001953125,291.54200361240515
15,15,/yh/study/new_data/model_dataset_flight/vi/vi_000015.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.43348589539527893,0.031648602336645126,0.5348654389381409,1,1,0,-71.30087280273438,3.009075880050659,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.33320456743240356,0.3334919810295105,0.3333034813404083,-461.4723205566406,259.41253662109375,49.0,49.0,-332.8871661848586,157.14852980684594,466.8795471191406,303.62206794343757
16,16,/yh/study/new_data/model_dataset_flight/vi/vi_000016.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.9304751753807068,0.06952482461929321,0.0,1,0,1,-74.64299774169922,3.3395848274230957,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.33320239186286926,0.33349451422691345,0.3333030939102173,-456.7713317871094,254.62449645996094,49.0,49.0,-343.3560876459208,165.3848490080019,457.3468933105469,313.7919570818026
17,17,/yh/study/new_data/model_dataset_flight/vi/vi_000017.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.43340161442756653,0.031487543135881424,0.5351108312606812,1,1,0,-77.97047424316406,3.6625680923461914,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.3332020044326782,0.33349451422691345,0.3333035111427307,-461.4723205566406,259.41253662109375,49.0,49.0,-353.2724523561412,173.27810131539502,460.9573669433594,323.35832796366526
18,18,/yh/study/new_data/model_dataset_flight/vi/vi_000018.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.9306616187095642,0.0693383514881134,0.0,1,0,1,-81.29307556152344,3.9850776195526123,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.3332000970840454,0.3334968090057373,0.3333031237125397,-456.7713317871094,254.62449645996094,49.0,49.0,-361.9137111707674,180.06925615456802,451.4466247558594,331.29077720348215
19,19,/yh/study/new_data/model_dataset_flight/vi/vi_000019.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.43333470821380615,0.03142087906599045,0.5352444052696228,1,1,0,-84.62059020996094,4.3080644607543945,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.3331998586654663,0.33349665999412537,0.3333035409450531,-461.4723205566406,259.41253662109375,49.0,49.0,-370.187258334342,186.66240124487604,455.0775146484375,338.8235913977025
20,20,/yh/study/new_data/model_dataset_flight/vi/vi_000020.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.9307973384857178,0.06920268386602402,0.0,1,0,1,-87.91920471191406,4.623467922210693,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.33319810032844543,0.3334987461566925,0.33330315351486206,-456.7713317871094,254.62449645996094,49.0,49.0,-377.3542624341869,192.2876364235858,445.5921936035156,344.94998590811383
21,21,/yh/study/new_data/model_dataset_flight/vi/vi_000021.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.43328967690467834,0.03138049319386482,0.5353298187255859,1,1,0,-91.22086334228516,4.939162731170654,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.3331979811191559,0.333498477935791,0.3333035707473755,-461.4723205566406,259.41253662109375,49.0,49.0,-384.29398004463894,197.82514605336846,449.26922607421875,350.85161293031365
22,22,/yh/study/new_data/model_dataset_flight/vi/vi_000022.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.9309306740760803,0.06906931847333908,0.0,1,0,1,-94.5164794921875,5.254280090332031,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.3331964313983917,0.33350035548210144,0.3333032429218292,-456.7713317871094,254.62449645996094,49.0,49.0,-390.25653860559555,202.4977112124965,439.7886657714844,355.48157995210687
23,23,/yh/study/new_data/model_dataset_flight/vi/vi_000023.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.4332572817802429,0.031264886260032654,0.535477876663208,1,1,0,-97.71556854248047,5.570963382720947,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.3331964612007141,0.33349987864494324,0.33330366015434265,-461.4723205566406,259.41253662109375,49.0,49.0,-396.1014011362087,207.16869079371563,443.5701904296875,360.1051912843387
24,24,/yh/study/new_data/model_dataset_flight/vi/vi_000024.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.9310572743415833,0.06894270330667496,0.0,1,0,1,-101.2225570678711,5.918126583099365,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.3331950604915619,0.3335016965866089,0.3333032727241516,-456.7713317871094,254.62449645996094,49.0,49.0,-401.0707523434219,211.05558265906726,433.9006652832031,363.30471521207164
25,25,/yh/study/new_data/model_dataset_flight/vi/vi_000025.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.4331585168838501,0.03120432235300541,0.5356371402740479,1,1,0,-104.41236877441406,6.233891487121582,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.33319514989852905,0.33350110054016113,0.3333037495613098,-461.4723205566406,259.41253662109375,49.0,49.0,-406.0097412260163,215.00959225724606,437.7113342285156,366.8082173313011
26,26,/yh/study/new_data/model_dataset_flight/vi/vi_000026.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.9312016367912292,0.06879837810993195,0.0,1,0,1,-107.75296020507812,6.5345540046691895,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.333193838596344,0.33350276947021484,0.33330339193344116,-456.7713317871094,254.62449645996094,49.0,49.0,-410.1545370894341,218.24416706910975,428.2084045410156,369.14451636999866
27,27,/yh/study/new_data/model_dataset_flight/vi/vi_000027.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.4331424832344055,0.03114931657910347,0.5357082486152649,1,1,0,-111.09230041503906,6.835103988647461,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.3331940770149231,0.3335020840167999,0.3333038091659546,-461.4723205566406,259.41253662109375,49.0,49.0,-414.3396826605401,221.60153132973494,431.92767333984375,371.5960079866354
28,28,/yh/study/new_data/model_dataset_flight/vi/vi_000028.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.9313564300537109,0.06864363700151443,0.0,1,0,1,-114.4308090209961,7.135579586029053,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.3331928253173828,0.3335036635398865,0.3333035111427307,-456.7713317871094,254.62449645996094,49.0,49.0,-417.79659994057886,224.29187948130206,422.4308166503906,373.07862667870666
29,29,/yh/study/new_data/model_dataset_flight/vi/vi_000029.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.4331168234348297,0.031089479103684425,0.5357937216758728,1,1,0,-117.76180267333984,7.465998649597168,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.33319318294525146,0.33350279927253723,0.3333039879798889,-461.4723205566406,259.41253662109375,49.0,49.0,-421.35180379677075,227.1506641192371,426.1618957519531,374.73756286851255
30,30,/yh/study/new_data/model_dataset_flight/vi/vi_000030.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.9314610958099365,0.06853888183832169,0.0,1,0,1,-121.08988952636719,7.79612922668457,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.3331919014453888,0.33350446820259094,0.3333036005496979,-456.7713317871094,254.62449645996094,49.0,49.0,-424.2328537562468,229.38538102719093,416.6608581542969,375.49627598098266
31,31,/yh/study/new_data/model_dataset_flight/vi/vi_000031.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.43309256434440613,0.031040633097290993,0.5358667969703674,1,1,0,-124.41860961914062,8.126322746276855,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.3331923186779022,0.3335036337375641,0.3333040773868561,-461.4723205566406,259.41253662109375,49.0,49.0,-427.26007561934097,231.82628661230305,420.4164123535156,376.50315717509187
