frame_index,frame_id,reference_x,reference_y,search_center_x,search_center_y,jitter_m,visual_x,visual_y,visual_error_m,final_x,final_y,final_error_m,kalman_xy_x,kalman_xy_y,gru_xy_x,gru_xy_y
0,0,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,0.0,-13.725164413452148,-1.2636386156082153,5.134360062203189,-15.871011734008789,-1.7422877550125122,2.9395074603663773,-16.039731979370117,-1.6612141132354736,-15.871011734008789,-1.7422877550125122
1,1,-25.919267654418945,-1.4582853317260742,-25.919267654418945,-1.4582853317260742,0.0,-22.217599868774414,-1.649889349937439,3.706623327918987,-20.902904510498047,-1.416887879371643,5.016533956901856,-20.43785858154297,-1.5615719556808472,-20.902904510498047,-1.416887879371643
2,2,-28.881437301635742,-1.16508948802948,-28.881437301635742,-1.16508948802948,0.0,-22.52801513671875,-1.4044976234436035,6.357931224931659,-21.873504638671875,-0.7470747232437134,7.02038863256264,-22.25267219543457,-1.3965702056884766,-21.873504638671875,-0.7470747232437134
3,3,-31.84273910522461,-0.8719794154167175,-31.84273910522461,-0.8719794154167175,0.0,-26.19841766357422,-1.344008445739746,5.6640247123526954,-24.225963592529297,-1.8919501304626465,7.6847647635009775,-25.523059844970703,-1.2862255573272705,-24.225963592529297,-1.8919501304626465
4,4,-34.80412292480469,-0.5788613557815552,-34.80412292480469,-0.5788613557815552,0.0,-26.296127319335938,-0.8229289054870605,8.511495649502196,-24.68755531311035,-1.1317805051803589,10.131666192080884,-26.82665252685547,-0.9796174764633179,-24.68755531311035,-1.1317805051803589
5,5,-38.077056884765625,-0.2521708011627197,-38.077056884765625,-0.2521708011627197,0.0,-29.965103149414062,-0.7308599948883057,8.126065268546261,-26.15556526184082,-0.9363308548927307,11.941107046441973,-29.36572265625,-0.7589905858039856,-26.15556526184082,-0.9363308548927307
6,6,-41.34334182739258,0.07385636121034622,-41.34334182739258,0.07385636121034622,0.0,-33.300689697265625,0.9880398511886597,8.094441595291459,-28.277084350585938,0.25714555382728577,13.067542974038219,-32.289466857910156,0.17801903188228607,-28.277084350585938,0.25714555382728577
7,7,-44.61831283569336,0.40075016021728516,-44.61831283569336,0.40075016021728516,0.0,-39.29884719848633,-1.9792786836624146,5.827628330901495,-34.83182144165039,-3.0474700927734375,10.37620531402557,-35.85820770263672,-0.5738503932952881,-34.83182144165039,-3.0474700927734375
8,8,-47.93851089477539,0.7270652055740356,-47.93851089477539,0.7270652055740356,0.0,-38.16938400268555,-2.9694666862487793,10.445103554346224,-40.6484375,-2.4612998962402344,7.956811052405298,-38.407737731933594,-1.5342975854873657,-40.6484375,-2.4612998962402344
9,9,-51.25859451293945,1.0533686876296997,-51.25859451293945,1.0533686876296997,0.0,-50.824920654296875,0.21745654940605164,0.9417123331992494,-48.114051818847656,-0.25634729862213135,3.4063917448833894,-44.78377151489258,-0.9535728693008423,-48.114051818847656,-0.25634729862213135
10,10,-54.585689544677734,1.3803616762161255,-54.585689544677734,1.3803616762161255,0.0,-54.069576263427734,1.8826282024383545,0.7201698288917598,-53.70142364501953,0.163761168718338,1.5040089681056446,-50.82466125488281,0.4560248553752899,-53.70142364501953,0.163761168718338
11,11,-57.930152893066406,1.7030118703842163,-57.930152893066406,1.7030118703842163,0.0,-54.707862854003906,1.8979504108428955,3.2281812418756117,-57.5125846862793,1.1377193927764893,0.7027935632597133,-54.961856842041016,1.3202227354049683,-57.5125846862793,1.1377193927764893
12,12,-61.281715393066406,2.0263473987579346,-61.281715393066406,2.0263473987579346,0.0,-71.48768615722656,3.3606817722320557,10.29282699063413,-64.65846252441406,2.8018102645874023,3.4646448368260025,-62.52399444580078,2.5545411109924316,-64.65846252441406,2.8018102645874023
13,13,-64.62455749511719,2.3488411903381348,-64.62455749511719,2.3488411903381348,0.0,-75.41407775878906,6.955306053161621,11.731720506925376,-72.77407836914062,5.586877822875977,8.769240087362231,-71.41114044189453,4.732222080230713,-72.77407836914062,5.586877822875977
14,14,-67.96265411376953,2.678952693939209,-67.96265411376953,2.678952693939209,0.0,-74.39954376220703,6.409513473510742,7.439800540084338,-77.56683349609375,6.719682693481445,10.419585430191654,-76.18257904052734,6.067540645599365,-77.56683349609375,6.719682693481445
