current_index,next_index,current_frame_id,next_frame_id,current_reference_x,current_reference_y,current_ms_x,current_ms_y,provisional_next_x,provisional_next_y,next_reference_x,next_reference_y,provisional_next_error_m,final_next_ms_x,final_next_ms_y,final_next_error_m,ms_correction_gain_m,ms_improved_provisional,current_ms_candidate_count,final_ms_candidate_count
1,2,1,2,-25.919267654418945,-1.4582853317260742,-22.217599868774414,-1.649889349937439,-32.41823959350586,-0.5352174043655396,-28.881437301635742,-1.16508948802948,3.5924517106784983,-26.17717933654785,-0.8333360552787781,2.724531424278893,0.8679202863996052,True,36,36
2,3,2,3,-28.881437301635742,-1.16508948802948,-22.52801513671875,-1.4044976234436035,-30.610715866088867,-0.32323193550109863,-31.84273910522461,-0.8719794154167175,1.348704956053869,-26.19841766357422,-1.344008445739746,5.6640247123526954,-4.315319756298827,False,36,36
3,4,3,4,-31.84273910522461,-0.8719794154167175,-26.19841766357422,-1.344008445739746,-34.52181625366211,1.1595712900161743,-34.80412292480469,-0.5788613557815552,1.761205587246105,-26.296127319335938,-0.8229289054870605,8.511495649502196,-6.7502900622560915,False,36,36
4,5,4,5,-34.80412292480469,-0.5788613557815552,-26.296127319335938,-0.8229289054870605,-34.938167572021484,0.44176363945007324,-38.077056884765625,-0.2521708011627197,3.214680563528509,-29.965103149414062,-0.7308599948883057,8.126065268546261,-4.911384705017753,False,36,36
5,6,5,6,-38.077056884765625,-0.2521708011627197,-29.965103149414062,-0.7308599948883057,-37.43682861328125,3.2161097526550293,-41.34334182739258,0.07385636121034622,5.013442117754232,-30.257614135742188,3.92425537109375,11.735370935285147,-6.721928817530915,False,36,36
6,7,6,7,-41.34334182739258,0.07385636121034622,-33.300689697265625,0.9880398511886597,-41.460296630859375,3.1169772148132324,-44.61831283569336,0.40075016021728516,4.165447846524191,-32.99222183227539,3.993483781814575,12.168554840058528,-8.003106993534338,False,36,36
7,8,7,8,-44.61831283569336,0.40075016021728516,-39.29884719848633,-1.9792786836624146,-46.32014465332031,-0.015727579593658447,-47.93851089477539,0.7270652055740356,1.7806881852751808,-38.16938400268555,-2.9694666862487793,10.445103554346224,-8.664415369071042,False,36,36
8,9,8,9,-47.93851089477539,0.7270652055740356,-38.16938400268555,-2.9694666862487793,-47.873878479003906,2.0038065910339355,-51.25859451293945,1.0533686876296997,3.515627232601292,-37.91447448730469,-2.8532729148864746,13.904221944037607,-10.388594711436316,False,36,36
9,10,9,10,-51.25859451293945,1.0533686876296997,-50.824920654296875,0.21745654940605164,-54.88379669189453,2.032444477081299,-54.585689544677734,1.3803616762161255,0.7169936195015311,-54.069576263427734,1.8826282024383545,0.7201698288917598,-0.003176209390228779,False,36,36
10,11,10,11,-54.585689544677734,1.3803616762161255,-54.069576263427734,1.8826282024383545,-61.37158966064453,3.2299962043762207,-57.930152893066406,1.7030118703842163,3.7649924543743216,-74.13839721679688,10.3977689743042,18.39309612745793,-14.628103673083608,False,36,36
