frame_id,image_path,gt_x,gt_y,predicted_current_x,predicted_current_y,search_center_x,search_center_y,raw_top1_x,raw_top1_y,hardms_x,hardms_y,global_top1_x,global_top1_y,local_anchor_x,local_anchor_y,recovery_anchor_x,recovery_anchor_y,recovery_probability,leg_switch_probability,measurement_anchor_x,measurement_anchor_y,measurement_x,measurement_y,measurement_var_x,measurement_var_y,response_var_parallel,response_var_cross,confidence,global_entropy,global_margin,global_mode_mass,waypoint_pass_probability,route_prior_sigma_m,recovery_distance_m,kalman_nis,kalman_r_scale,v_parallel,v_cross,a_parallel,a_cross,poly_next_step_parallel,poly_next_step_cross,model_next_step_m,waypoint_leg_before_visual,waypoint_leg,target_waypoint,route_progress,route_remaining_m,route_cross_track_m,waypoint_alignment,movement_heading_deg,local_candidate_capture,candidate_capture,route_corridor_capture,final_x,final_y,final_vx,final_vy,final_speed,final_step_m,error_final_m
0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,-37.63298034667969,0.8348962068557739,-37.632978691184114,0.8348961808190729,-37.632978691184114,0.8348961808190729,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-4.1773552894592285,-0.4327203929424286,-32.193748474121094,3.048530340194702,-5.083888053894043,0.4899056851863861,0.03149056062102318,0.04854192957282066,-31.340044021606445,2.9679577350616455,-31.083311080932617,2.51214599609375,13231.7919921875,16882.140625,64204.87890625,82418.28125,0.391920268535614,0.9930096864700317,0.0001150879543274641,0.02840695157647133,0.27265268564224243,26.0,32.55091857910156,0.003407667523454615,1.0,1.999306559562683,-0.20558328926563263,0.7465011477470398,-0.1225442886352539,2.3725571632385254,-0.2668554186820984,2.3875174522399902,0,0,1,0.0,729.3023853156254,0.0,0.0,nan,1,0,1,-37.63099931054286,0.8352934888487814,0.0,0.0,0.0,0.0,0.0020204794375042637
1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,-47.69226837158203,1.7922438383102417,-39.962002380420486,1.351688536155796,-39.962002380420486,1.351688536155796,-32.53472900390625,4.505537986755371,-37.266056060791016,4.535549163818359,-4.1773552894592285,-0.4327203929424286,-36.899085998535156,1.0944453477859497,-4.945285797119141,0.46159714460372925,0.02885034680366516,0.048803962767124176,-35.977210998535156,1.0761874914169312,-35.667476654052734,0.5296276807785034,10082.2060546875,12973.361328125,62979.5859375,81556.53125,0.4257015287876129,0.992821216583252,9.549374226480722e-05,0.0286334827542305,0.2715509831905365,29.307271030252604,35.02802658081055,0.0018788753758669252,1.0,2.440697193145752,-0.2537529468536377,0.9107574224472046,-0.15092074871063232,2.896075963973999,-0.32921332120895386,2.9147276878356934,0,0,1,0.0032505459299463765,726.9317544153375,-0.2674599374839289,0.9928787362564457,167.1054292784702,1,0,1,-39.9563239677019,1.3508435389874267,-2.6918467637922734,0.6162467596390578,2.761484939032725,2.381790632148374,7.748526959633464
2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,-50.9120979309082,2.1374623775482178,-42.80130900574397,1.98463938151577,-42.80130900574397,1.98463938151577,-32.53472900390625,4.505537986755371,-37.266056060791016,4.535549163818359,-4.1773552894592285,-0.4327203929424286,-36.82036209106445,1.193730354309082,-4.84733247756958,0.49521440267562866,0.028279650956392288,0.04887040704488754,-35.916175842285156,1.1739765405654907,-35.59617614746094,0.6108901500701904,8484.67578125,10990.021484375,56244.4375,73334.890625,0.4342675507068634,0.9920352697372437,9.696476627141237e-05,0.030197924003005028,0.26798850297927856,34.84688158425013,37.98318862915039,0.006260026864055345,1.0,2.5461387634277344,-0.26585882902145386,0.9498329162597656,-0.1580813080072403,3.021055221557617,-0.3448994755744934,3.0406792163848877,0,0,1,0.007213703069469433,724.0414144601027,-0.5964338398240951,0.9926446177906553,167.01975754667322,1,0,1,-42.76644981963851,1.979501111492149,-3.2741213677984393,0.7547013657785602,3.3599769169716547,2.8795863673781334,8.147179568059462
3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,-54.1414794921875,2.4837052822113037,-45.73405287726142,2.64211900351905,-45.73405287726142,2.64211900351905,-37.266056060791016,4.535549163818359,-37.266056060791016,4.535549163818359,-4.1773552894592285,-0.4327203929424286,-41.60530471801758,3.359585762023926,-4.858210563659668,0.4714715778827667,0.02809334732592106,0.048893943428993225,-40.57295608520508,3.2784488201141357,-40.24953079223633,2.7103848457336426,8112.47216796875,10655.826171875,54871.56640625,72579.5234375,0.43728044629096985,0.9908231496810913,0.00010665191803127527,0.030429940670728683,0.2638587951660156,40.83068943089686,40.93343734741211,0.003668275296703823,1.0,2.5803399085998535,-0.2700121998786926,0.9624191522598267,-0.16057147085666656,3.061549425125122,-0.3502979278564453,3.0815248489379883,0,0,1,0.011307818367278157,721.0555664076536,-0.939912335451834,0.9924120413185519,166.93867994600942,1,0,1,-45.674846279512,2.6426822399107426,-3.4123358926251015,0.7916474272242011,3.502961874346943,2.983048638037139,8.468125626787735
4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,-57.659645080566406,2.8609108924865723,-48.682145196090296,3.314952940246245,-48.682145196090296,3.314952940246245,-37.266056060791016,4.535549163818359,-37.266056060791016,4.535549163818359,-4.1773552894592285,-0.4327203929424286,-41.648006439208984,3.3562159538269043,-4.809277534484863,0.47448840737342834,0.02801976352930069,0.04890488088130951,-40.61579132080078,3.275470495223999,-40.29108810424805,2.705906867980957,8060.47412109375,10617.0732421875,55002.015625,72960.375,0.4386434555053711,0.9902727007865906,9.964441414922476e-05,0.030352674424648285,0.26144346594810486,46.96677085852819,43.9647216796875,0.008604572308857838,1.0,2.59430193901062,-0.2717196047306061,0.9675483703613281,-0.16159288585186005,3.078076124191284,-0.3525160551071167,3.098196029663086,0,0,1,0.015425088548160682,718.0528314437471,-1.2970349520458218,0.9922361941077043,166.8860942562724,1,0,1,-48.52358970290327,3.306142817707161,-3.4374963341400533,0.8008099670128774,3.529543547045917,2.9249818855174072,9.146897798213507
5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,-60.85377502441406,3.1642963886260986,-51.5470876718154,3.9823677944851914,-51.5470876718154,3.9823677944851914,-42.0279541015625,-0.19259993731975555,-46.75927734375,-0.16259177029132843,-4.1773552894592285,-0.4327203929424286,-50.87144470214844,1.4811687469482422,-4.768186092376709,0.49057602882385254,0.027976766228675842,0.04891432449221611,-49.581626892089844,1.4534550905227661,-49.256736755371094,0.8834388256072998,7986.84130859375,10543.0234375,54789.4140625,72841.1875,0.43948110938072205,0.9904530644416809,9.475357364863157e-05,0.0304094385355711,0.2604082226753235,53.125297711338504,46.9090461730957,0.001528034840856697,1.0,2.602553606033325,-0.2726890742778778,0.9705288410186768,-0.16214820742607117,3.087818145751953,-0.3537631630897522,3.1080169677734375,0,0,1,0.019428199679382637,715.1333529470634,-1.6575668983059726,0.9927776148125507,167.16371544884137,1,0,1,-51.48021227464446,3.9127773402281942,-3.482278923587989,0.7934737994893469,3.571535688207691,3.0182151142096854,9.403398447305074
6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,-64.02477264404297,3.465484857559204,-54.51326564297446,4.591273239071006,-54.51326564297446,4.591273239071006,-70.32421875,14.261902809143066,-65.65401458740234,4.7155842781066895,-4.1773552894592285,-0.4327203929424286,-59.858821868896484,2.7237062454223633,-4.814629554748535,0.49594032764434814,0.027942873537540436,0.04892345517873764,-58.32072448730469,2.6614561080932617,-57.995582580566406,2.091031789779663,8380.734375,11094.3037109375,57703.3125,76935.40625,0.4400034546852112,0.990027904510498,0.00010427588131278753,0.02963240072131157,0.25811389088630676,59.191329377292384,49.867088317871094,0.0019368619205057131,1.0,2.607964277267456,-0.27343493700027466,0.9724550247192383,-0.16259972751140594,3.094191789627075,-0.3547348082065582,3.114459991455078,0,0,1,0.023560854323685536,712.1193980572876,-1.9492062636736602,0.9929625856442591,167.2744655735825,1,0,1,-54.64929142612229,4.5156987099785155,-3.530670878280589,0.7973246029850515,3.6195805521170397,3.2259226349112984,9.43411878255711
7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,-67.50447845458984,3.795994520187378,-57.688579797923666,5.195835167064125,-57.688579797923666,5.195835167064125,-70.32421875,14.261902809143066,-65.65401458740234,4.7155842781066895,-4.1773552894592285,-0.4327203929424286,-59.9779167175293,2.88999080657959,-4.792102336883545,0.47353559732437134,0.0279285479336977,0.04892865940928459,-58.4366569519043,2.822502613067627,-58.111305236816406,2.2515952587127686,8725.576171875,11589.0380859375,60197.59765625,80531.421875,0.44031766057014465,0.989488959312439,9.608257096260786e-05,0.02898503467440605,0.25595349073410034,65.08447992488814,53.106849670410156,0.0007386648295459429,1.0,2.6105687618255615,-0.2738119959831238,0.9733885526657104,-0.16283240914344788,3.0972630977630615,-0.3552281856536865,3.117567539215088,0,0,1,0.027978031020954714,708.8979405556086,-2.2143980287713,0.9928891587938029,167.25907045849408,1,0,1,-57.70944943406644,5.082476186690598,-3.517338892846678,0.7953072177941067,3.6061317859733437,3.1122023940760735,9.87915120803121
8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,-70.70535278320312,4.076558589935303,-60.75173976399961,5.763428243932991,-60.75173976399961,5.763428243932991,-75.05554962158203,14.291901588439941,-70.35478210449219,9.503743171691895,-4.1773552894592285,-0.4327203929424286,-69.36117553710938,4.394894599914551,-4.792175769805908,0.42081332206726074,0.02792154625058174,0.04893292114138603,-67.55831146240234,4.283932209014893,-67.23255157470703,3.712740898132324,9506.892578125,12675.8154296875,65666.9765625,88193.765625,0.44049614667892456,0.9881758093833923,8.135242387652397e-05,0.02773834392428398,0.25352001190185547,70.71615440353983,56.21402359008789,0.004483720488419659,1.0,2.610858917236328,-0.27398738265037537,0.9734940528869629,-0.16296786069869995,3.0976059436798096,-0.35547131299972534,3.1179356575012207,0,0,1,0.03223692461815954,705.7919192963617,-2.4546953774582527,0.9930202184020094,167.34155310286127,1,0,1,-61.120157189600896,5.671733812182129,-3.566999617325227,0.8011402175837008,3.655859942370382,3.4612356092677055,9.71702416160842
9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,-73.90149688720703,4.35670804977417,-64.16276270889563,6.3529638952900775,-64.16276270889563,6.3529638952900775,-79.81743621826172,9.563739776611328,-75.08610534667969,9.533742904663086,-4.1773552894592285,-0.4327203929424286,-74.404052734375,5.469365119934082,-4.737318992614746,0.4403078258037567,0.027914421632885933,0.04893278330564499,-72.4593505859375,5.328981876373291,-72.13350677490234,4.757830619812012,9843.6494140625,13089.66015625,68087.7890625,91191.9296875,0.44072017073631287,0.9890280365943909,7.076654583215714e-05,0.02726065367460251,0.25304943323135376,76.07073631136754,59.718868255615234,0.0062113479145091705,1.0,2.611569404602051,-0.27407306432724,0.9737370014190674,-0.16301211714744568,3.098437786102295,-0.355579137802124,3.1187744140625,0,0,1,0.03697330460626472,702.3376660732754,-2.6800051322982354,0.9930072296092906,167.3538352060205,1,0,1,-64.69002900172869,6.268604092593324,-3.5815791882297723,0.8036083082498466,3.670626076658969,3.6194252149564736,9.40778863940652
