frame_id,image_path,reference_x,reference_y,raw_visual_x,raw_visual_y,forward_ms_x,forward_ms_y,variance_x,variance_y,final_x,final_y,error_final_m,gru_xy_x,gru_xy_y,kalman_xy_x,kalman_xy_y
0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,-37.63298034667969,0.8348962068557739,-47.173274993896484,0.3239101767539978,-47.4183349609375,1.2465226650238037,15.670164108276367,48.57905960083008,-39.42561340332031,2.0975587368011475,2.1926809937354683,-39.42561340332031,2.0975587368011475,-45.118385314941406,1.0457130670547485
1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,-47.69226837158203,1.7922438383102417,-55.411617279052734,0.3687759041786194,-55.31175231933594,1.0650802850723267,16.15480613708496,38.931365966796875,-44.5673828125,1.3728384971618652,3.1529051044303893,-44.5673828125,1.3728384971618652,-53.47941589355469,1.0950933694839478
2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,-50.9120979309082,2.1374623775482178,-59.55194854736328,-0.35581880807876587,-59.664276123046875,0.5333092212677002,9.884336471557617,45.54309844970703,-51.746829986572266,0.6751546263694763,1.683781922907649,-51.746829986572266,0.6751546263694763,-59.672515869140625,0.8091682195663452
3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,-54.1414794921875,2.4837052822113037,-64.48216247558594,4.817620754241943,-63.7204704284668,3.6572651863098145,17.410457611083984,49.92661666870117,-55.90378189086914,2.876462936401367,1.8055382353536427,-55.90378189086914,2.876462936401367,-64.72404479980469,2.260740041732788
4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,-57.659645080566406,2.8609108924865723,-64.4043960571289,5.044628143310547,-63.52406692504883,3.6202664375305176,17.762929916381836,49.18534851074219,-59.168148040771484,6.049529552459717,3.5274452709682707,-59.168148040771484,6.049529552459717,-66.65410614013672,3.152215003967285
5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,-60.85377502441406,3.1642963886260986,-74.50151824951172,9.402082443237305,-74.67754364013672,10.244522094726562,3.6149563789367676,34.23366928100586,-66.58489227294922,10.51064682006836,9.317433636898578,-66.58489227294922,10.51064682006836,-73.59370422363281,7.388313293457031
6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,-64.02477264404297,3.465484857559204,-77.28295135498047,7.592116355895996,-77.32193756103516,8.13058090209961,7.353676795959473,42.17346954345703,-70.14376068115234,11.346341133117676,9.97747013196717,-70.14376068115234,11.346341133117676,-77.90298461914062,8.560620307922363
7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,-67.50447845458984,3.795994520187378,-76.83134460449219,6.7694292068481445,-76.89202880859375,7.033714294433594,8.183738708496094,44.18584060668945,-71.3916244506836,11.58877944946289,8.708467198588465,-71.3916244506836,11.58877944946289,-79.30007934570312,8.711873054504395
8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,-70.70535278320312,4.076558589935303,-78.69801330566406,6.663487911224365,-78.58065795898438,6.747995376586914,14.259405136108398,42.66514205932617,-73.52941131591797,11.012853622436523,7.489158522430984,-73.52941131591797,11.012853622436523,-80.86652374267578,8.45108413696289
9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,-73.90149688720703,4.35670804977417,-83.46031188964844,4.506056785583496,-83.32086181640625,4.359896659851074,14.287505149841309,42.726444244384766,-74.59680938720703,6.5468878746032715,2.2979005935298167,-74.59680938720703,6.5468878746032715,-83.52849578857422,7.0642313957214355
10,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000010.jpg,-77.41057586669922,4.6642866134643555,-83.48213195800781,4.268667221069336,-83.35269165039062,4.035205841064453,13.952750205993652,42.033363342285156,-75.59471893310547,4.865060329437256,1.826922682629471,-75.59471893310547,4.865060329437256,-84.71277618408203,5.825094699859619
11,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000011.jpg,-80.71418762207031,4.9646830558776855,-89.50161743164062,4.226266860961914,-89.49958038330078,4.081515312194824,16.192359924316406,40.06867599487305,-79.0966567993164,3.82334041595459,1.9796638563820754,-79.0966567993164,3.82334041595459,-88.25735473632812,4.933417797088623
12,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000012.jpg,-84.01985931396484,5.2652668952941895,-92.71859741210938,4.374085903167725,-92.61844635009766,4.3544416427612305,9.32663631439209,39.521339416503906,-82.30781555175781,3.5388777256011963,2.43136040293192,-82.30781555175781,3.5388777256011963,-92.04155731201172,4.468789577484131
13,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000013.jpg,-87.32689666748047,5.565974712371826,-95.54998779296875,4.8378143310546875,-95.21464538574219,5.064400672912598,8.220409393310547,38.92341613769531,-87.46925354003906,4.645493507385254,0.9314242469992907,-87.46925354003906,4.645493507385254,-95.16468811035156,4.520285129547119
14,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000014.jpg,-90.52931213378906,5.903904438018799,-95.9180679321289,4.043323040008545,-95.55913543701172,4.236004829406738,9.592682838439941,44.409114837646484,-89.31180572509766,4.196468830108643,2.0970594198458397,-89.31180572509766,4.196468830108643,-96.69391632080078,4.240187168121338
15,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000015.jpg,-93.73101806640625,6.241759300231934,-103.42815399169922,4.030221462249756,-103.43807220458984,4.221320152282715,17.01949119567871,46.90488052368164,-93.97857666015625,5.791635513305664,0.5137087510412133,-93.97857666015625,5.791635513305664,-101.06847381591797,4.069505214691162
16,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000016.jpg,-97.24320983886719,6.612377643585205,-107.76311492919922,2.343148946762085,-107.68199920654297,2.167095899581909,10.98974895477295,48.08043670654297,-99.37338256835938,4.122377395629883,3.276848652637128,-99.37338256835938,4.122377395629883,-106.33501434326172,3.128851890563965
17,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000017.jpg,-100.48795318603516,6.946656227111816,-107.80486297607422,1.778331995010376,-107.76741027832031,1.5020732879638672,10.316590309143066,45.89031982421875,-102.01150512695312,3.287287712097168,3.9638602958928084,-102.01150512695312,3.287287712097168,-108.76808166503906,2.1771907806396484
18,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000018.jpg,-103.73233032226562,7.28089714050293,-111.07989501953125,0.19105467200279236,-110.59184265136719,-0.32953792810440063,13.766583442687988,40.55718994140625,-105.3965835571289,3.5171728134155273,4.11525936485933,-105.3965835571289,3.5171728134155273,-111.36792755126953,0.7106602787971497
