frame_id,image_path,reference_x,reference_y,raw_visual_x,raw_visual_y,forward_ms_x,forward_ms_y,variance_x,variance_y,final_x,final_y,error_final_m,gru_xy_x,gru_xy_y,kalman_xy_x,kalman_xy_y
0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,-18.780746459960938,-2.1595981121063232,-26.108793258666992,-1.327972650527954,-25.940465927124023,-1.1768090724945068,11.025545120239258,42.36928939819336,-18.99636459350586,-0.45571017265319824,1.71747643061767,-18.99636459350586,-0.45571017265319824,-24.667766571044922,-1.6227809190750122
1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,-25.919267654418945,-1.4582853317260742,-32.75385284423828,-1.6537009477615356,-32.7042121887207,-1.453289270401001,0.8704622983932495,45.383934020996094,-25.191513061523438,-0.2984929084777832,1.3692133553630892,-25.191513061523438,-0.2984929084777832,-31.64771842956543,-1.4151767492294312
2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,-28.881437301635742,-1.16508948802948,-32.741546630859375,-1.2173349857330322,-32.694419860839844,-1.063921332359314,0.8357377052307129,45.358985900878906,-27.350971221923828,0.062470436096191406,1.9619454091457742,-27.350971221923828,0.062470436096191406,-33.84880828857422,-1.1108239889144897
3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,-31.84273910522461,-0.8719794154167175,-37.759361267089844,-4.056197166442871,-37.6081657409668,-3.554225206375122,2.919846534729004,59.843746185302734,-28.758956909179688,-0.41261935234069824,3.117807611157694,-28.758956909179688,-0.41261935234069824,-37.615909576416016,-2.147036552429199
4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,-34.80412292480469,-0.5788613557815552,-38.089752197265625,-3.3902556896209717,-37.825706481933594,-2.8977434635162354,5.09891939163208,55.794654846191406,-27.984882354736328,-0.926755428314209,6.828108979664106,-27.984882354736328,-0.926755428314209,-39.14789581298828,-2.591647148132324
5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,-38.077056884765625,-0.2521708011627197,-47.043678283691406,-0.372569739818573,-47.302757263183594,0.40231069922447205,16.00197982788086,50.04148864746094,-34.7645263671875,0.5182511806488037,3.4009422900050503,-34.7645263671875,0.5182511806488037,-44.50115203857422,-1.2375545501708984
6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,-41.34334182739258,0.07385636121034622,-51.81388473510742,1.0276379585266113,-51.7908935546875,1.8516839742660522,13.13239860534668,45.369319915771484,-42.08741760253906,3.2286038398742676,3.2413084415550784,-42.08741760253906,3.2286038398742676,-50.26960372924805,0.34560930728912354
7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,-44.61831283569336,0.40075016021728516,-55.695167541503906,0.7258738279342651,-55.67182540893555,1.3402328491210938,16.39130210876465,37.87477111816406,-46.811004638671875,3.776402711868286,4.025286013728352,-46.811004638671875,3.776402711868286,-55.2103271484375,1.1046748161315918
8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,-47.93851089477539,0.7270652055740356,-55.38252639770508,0.8341972231864929,-55.31098556518555,1.6038086414337158,16.02522087097168,40.60967254638672,-49.22422409057617,3.8398079872131348,3.3678221518516347,-49.22422409057617,3.8398079872131348,-57.46492385864258,1.649804711341858
9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,-51.25859451293945,1.0533686876296997,-59.47618103027344,-0.388387531042099,-59.605567932128906,0.5304596424102783,9.293020248413086,44.10500717163086,-52.51298522949219,4.534130096435547,3.6998913571624974,-52.51298522949219,4.534130096435547,-60.1913948059082,1.5057861804962158
